StartIndst,FinalIndst,Counts
8520,8520,10210
8610,8610,6655
6419,6419,3370
4711,4711,3289
5310,5310,2065
8424,8424,1642
4771,4771,1638
8520,8531,1490
7820,7820,1436
5610,5610,1335
8411,8411,1297
8690,8690,1167
8542,8542,1153
8520,8411,1122
8430,8413,1028
8413,8430,1018
8121,8121,959
4719,4719,866
8899,8899,860
8411,8520,805
6910,6910,789
8690,8610,761
4120,4120,744
7112,7112,705
6190,6190,689
8610,8690,654
6920,6920,652
5621,5629,645
5630,5630,643
4931,4931,580
6820,6820,562
4511,4511,518
8010,8010,512
6202,6202,503
5221,5221,463
4941,4941,450
5320,5320,434
8810,8810,430
8790,8790,416
3513,3513,391
9200,9200,385
6622,6622,379
7022,7022,379
8532,8532,378
5510,5510,375
7820,8610,372
8730,8730,371
8610,7820,369
8531,8520,361
5621,5621,360
4299,4120,325
4299,4299,325
8710,8710,315
8423,8423,315
6512,6512,302
5320,5210,290
4673,4673,282
4321,4321,281
4711,8520,277
8520,8899,277
8531,8531,274
6209,6209,274
4941,5320,274
3522,3522,266
8110,8110,266
3511,3513,265
8891,8891,259
3030,3030,257
8559,8559,257
8621,8621,249
8610,8710,248
8690,8412,247
8730,8710,242
8520,4711,239
4754,4754,238
6831,6831,238
8899,8520,236
4520,4520,234
7911,7911,232
3513,3511,228
7219,7219,227
8412,8690,219
5210,5210,217
6629,8220,213
8520,8610,198
6619,6619,198
8425,8425,196
7810,7820,193
4321,4299,192
4910,4910,190
6629,6629,183
8422,8422,182
8412,8412,181
5911,6020,178
8520,8121,177
6511,6511,176
7820,8520,175
8121,7010,175
5610,4711,173
8610,8621,171
4752,4752,171
8790,8730,169
4778,4778,168
8423,8110,168
8121,8520,165
5223,5223,164
8412,8610,158
6201,6201,157
8559,8532,155
8299,8299,154
5610,5630,153
6419,6629,152
6612,6419,147
9311,9311,147
6832,6832,147
4669,4669,145
4759,4759,145
5630,5610,145
3600,3600,144
8110,8220,140
4939,4931,139
8610,8412,139
8730,8790,138
8520,7820,138
8710,8610,137
9499,9499,137
8891,8520,136
8730,8810,134
8520,8891,134
4772,4772,134
4771,4711,133
8520,8532,133
3811,3811,133
2910,2910,133
2120,2120,132
4646,4646,132
8542,8610,131
8610,8520,129
4773,4773,128
8621,8610,127
4399,4399,127
8520,8810,126
4931,4939,126
3511,3511,126
5813,5813,125
4120,4221,125
7820,4711,122
4639,4639,121
4764,4764,121
8520,8542,120
8790,8810,120
4771,8520,119
8121,8110,117
2120,7219,114
5814,5814,114
8423,8411,113
7311,7311,113
4322,4322,113
4724,4724,112
4762,4762,112
5630,8520,111
8710,8730,111
7500,7500,111
9602,9602,111
9312,9312,110
1812,1812,110
8720,8610,109
7022,7112,109
4531,4531,109
6311,6311,109
7320,7320,109
5229,5229,109
5630,4711,108
7820,6419,108
7219,2120,108
7010,7010,108
4651,4651,107
1071,1071,107
8220,8220,106
4711,7820,105
6202,6201,105
5630,5510,105
8532,8520,104
8899,8710,104
1089,1085,104
4711,5610,104
8520,9700,104
8520,8790,102
8520,8110,102
8730,8610,101
9609,9609,101
7810,7810,100
6419,6619,100
1082,1082,100
8790,8520,99
1039,1085,99
4742,4742,99
8623,8623,99
7732,7732,97
2651,2651,95
8010,8110,95
