StartIndst,FinalIndst,Counts
8520,5621,48
7820,8411,48
2223,2223,48
7219,2120,48
2651,3030,48
4931,4910,48
8891,8899,47
8110,4120,47
8121,5630,47
4711,8531,47
8532,8542,47
8559,8532,47
8610,8110,47
7820,4771,47
6619,6419,47
2120,2120,47
4742,4742,47
6419,6499,46
4329,4329,46
2229,2229,46
3511,3511,46
5610,5629,46
4779,4779,46
6820,8520,45
5629,8520,45
8690,8412,45
9412,9412,45
7820,2910,45
8129,8121,44
7820,8730,44
4711,6920,44
8520,7810,44
4711,8411,44
7820,8299,44
8411,9311,44
4711,5510,44
8520,4771,44
4671,4671,44
210,210,44
8899,8730,43
8121,8610,43
4674,4673,43
4791,4752,43
8520,8510,43
8690,8710,42
5510,8520,42
7820,8531,42
4334,4334,42
8730,8690,42
8710,8690,42
8610,8412,42
4711,8899,41
5610,8542,41
4711,8542,41
8121,5621,41
4711,4511,41
8121,5510,41
4643,4643,41
1101,1101,41
5510,7820,40
5610,8891,40
8121,7010,40
7022,6920,40
4719,5610,40
8430,8411,40
8520,9491,40
7820,5320,40
6612,6612,40
6391,6391,40
8411,8610,39
8110,8610,39
6512,6622,39
8520,9499,39
8520,8710,39
4719,5630,39
8710,8520,39
5621,8520,39
9700,8810,39
8610,8411,39
4711,4778,39
8810,9700,39
9312,4711,39
5630,8121,38
4711,8730,38
8510,8520,38
8720,8720,38
7112,7022,38
4711,6512,38
8129,8129,38
4634,4634,38
8891,8510,38
7820,4719,38
5610,8121,37
8899,7820,37
7820,5630,37
4120,4299,37
4672,4672,37
8891,4711,37
9311,4711,37
4771,6419,37
3250,3250,37
5829,5829,37
9001,9001,37
8520,8424,37
1085,1085,37
6130,6130,37
5610,8710,36
8690,8790,36
8121,8531,36
8559,8531,36
8559,8542,36
6209,6202,36
4711,4752,36
2733,2825,36
9104,9104,36
5210,7820,35
2041,7010,35
1721,1721,35
7022,8520,35
811,811,35
4642,4642,35
4711,8010,35
8720,8690,35
4711,8690,35
8790,8720,35
5621,5610,35
8520,7022,35
9319,9319,35
4666,4666,35
7021,7021,35
4221,8110,35
9601,9601,35
4920,4920,35
5510,8121,34
8690,7820,34
8510,8891,34
5610,6920,34
6820,4120,34
6832,8520,34
5610,8531,34
7022,7112,34
4931,4939,34
4771,8411,34
8531,8532,34
8520,5510,34
8531,8559,34
8531,4711,34
7312,7312,34
8560,8560,34
7010,2041,34
7820,1013,34
2363,2399,34
6832,6820,33
8412,8610,33
6612,6619,33
7912,7912,33
8720,8790,33
8531,8542,33
6202,6209,33
8610,7022,33
7820,5510,33
8899,4711,33
8299,7820,32
8110,7820,32
9700,8610,32
9499,8520,32
9491,8520,32
8542,8531,32
8411,8542,32
4771,8542,32
8520,7112,32
8121,8810,32
4321,4322,32
6419,7022,32
2222,2222,32
9312,9311,32
5520,5520,32
4722,4722,32
8542,4711,32
8810,4711,32
1105,4634,32
7820,1071,32
1031,1031,32
7820,1012,32
8531,7820,31
4941,7820,31
7022,7820,31
4120,6820,31
4211,4299,31
6920,7022,31
4939,4931,31
8542,7820,30
5629,7820,30
7820,7010,30
8542,8899,30
2932,2932,30
4711,8710,30
4711,8790,30
4711,4941,30
8790,8690,30
7820,6202,30
7410,7410,30
4711,7022,30
9311,8411,30
8541,8532,30
7010,5510,30
7820,8559,30
4762,4711,30
4771,4764,30
7820,5629,30
8110,5629,30
3012,3012,30
8220,7820,29
8690,8730,29
5610,8730,29
8110,7010,29
8520,6832,29
8424,8520,29
5630,8531,29
6202,7022,29
2562,7022,29
9311,9312,29
8899,9700,29
7010,8110,29
4764,4711,29
2059,2825,29
8411,8412,29
9102,9102,29
4771,4772,29
8520,4719,29
4761,4761,29
5621,8121,28
8411,7820,28
8559,7820,28
8121,8730,28
4391,4391,28
8559,8610,28
8730,8899,28
4941,5210,28
3109,3109,28
9312,5630,28
8621,8520,28
5610,8790,28
8899,8542,28
7820,4673,28
8520,8621,28
6201,6209,28
5630,5621,28
8899,8299,28
4711,9311,28
2711,2712,28
5630,5629,28
4711,5310,28
2221,2221,28
4719,4645,28
3320,3320,28
2811,2811,28
8531,8121,27
8810,8121,27
9700,8899,27
7820,4120,27
4711,4120,27
8610,5630,27
8899,8531,27
7022,8299,27
4711,9312,27
4771,4775,27
8542,8559,27
8299,9700,27
4120,8110,27
8542,7219,27
3822,3822,27
5819,5819,27
8010,5629,27
4711,5629,27
4753,4753,27
4942,4942,27
1107,1107,27
4711,9200,27
4765,4765,27
8299,8121,26
8899,8891,26
8730,6820,26
8690,8899,26
8121,8710,26
5621,5630,26
5629,5630,26
7810,8520,26
8690,8542,26
7219,8542,26
2030,4673,26
8899,8690,26
5610,8810,26
8610,5610,26
4724,5610,26
7820,4791,26
5610,7022,26
8299,7022,26
8423,8411,26
5610,8299,26
8542,8532,26
3316,3316,26
6499,6499,26
8610,8559,26
4711,4639,26
3030,2651,26
7820,7219,26
7820,8423,26
5813,4711,26
4729,4729,26
4652,4652,26
3315,3011,26
5911,5911,26
8610,8121,25
5510,6820,25
6920,8610,25
8531,8610,25
4773,8610,25
9311,5630,25
6910,8520,25
8891,8531,25
2351,811,25
8110,8010,25
5610,7810,25
4711,7810,25
5610,9312,25
5630,9602,25
5610,4724,25
1623,1623,25
4711,8220,25
3832,3832,25
4711,8110,25
6619,6612,25
8010,4711,25
5621,4711,25
9200,4711,25
1082,4636,25
4673,2030,25
5610,9200,25
8413,8413,25
8730,8121,24
4771,6910,24
4711,6820,24
8623,8610,24
8220,8610,24
6419,6920,24
5630,8710,24
7112,8520,24
8622,8790,24
5630,8790,24
5630,8542,24
4752,4673,24
4711,4759,24
8299,5610,24
9312,5610,24
5630,8411,24
8542,8411,24
4711,8299,24
7820,8220,24
4711,4520,24
4719,4752,24
8730,9700,24
8610,9700,24
8690,4711,24
2829,2825,24
2825,2825,24
4120,4110,24
5630,4719,24
8122,8122,24
2892,2892,24
8531,8891,23
4771,8891,23
7022,6910,23
5610,7010,23
8891,8610,23
7022,8610,23
5630,6920,23
6820,8899,23
8610,8622,23
7112,6831,23
4711,5210,23
4711,9499,23
8520,4120,23
8541,8531,23
4711,4673,23
4711,7112,23
9312,8010,23
8891,8810,23
8520,6202,23
6619,7022,23
4771,7022,23
4638,4638,23
4631,4631,23
8520,8541,23
8230,8230,23
8891,9700,23
5629,4711,23
5610,6419,23
4932,4932,23
6621,6621,23
7820,1020,23
4634,1105,23
1013,1013,23
9511,6190,23
8532,7820,22
8610,8891,22
9700,8730,22
5630,6910,22
8720,8610,22
8299,8610,22
6820,6832,22
8520,9609,22
4711,9609,22
6419,8520,22
8560,8520,22
7820,4759,22
8542,8690,22
2410,2410,22
4711,6202,22
6920,7810,22
5610,8411,22
5630,9312,22
4221,4211,22
5610,9311,22
4532,4520,22
2712,2712,22
5610,4752,22
4666,4651,22
8520,8423,22
6920,4711,22
4752,4711,22
6512,6419,22
4675,4675,22
8121,8122,22
7820,6190,22
4771,4777,22
4221,4221,22
8122,8121,21
6820,7820,21
6419,7820,21
6820,8730,21
8010,8610,21
5510,8610,21
4639,6920,21
8559,8899,21
2829,2829,21
7022,6619,21
8531,5630,21
4778,8520,21
8891,8790,21
5320,4941,21
8542,6202,21
8891,8411,21
9700,8299,21
7820,8532,21
4711,5320,21
4673,4674,21
4724,4711,21
4639,4711,21
7112,2711,21
6512,6511,21
4632,4632,21
5510,4771,21
4764,4771,21
5222,5222,21
7990,7990,21
4741,4741,21
7820,1039,21
3102,3102,21
4711,6190,21
7219,8422,21
3011,3315,21
8710,8121,20
8010,7820,20
8520,6910,20
8810,6820,20
6831,6832,20
6920,5630,20
4120,8520,20
7820,7112,20
2312,2312,20
4771,4759,20
5630,8810,20
5629,8810,20
8531,5610,20
9311,5610,20
4711,5621,20
8542,7022,20
8690,8411,20
4651,4666,20
4771,5510,20
6619,6499,20
7820,9700,20
8730,4711,20
4775,4711,20
4776,4711,20
8520,8412,20
8610,4771,20
9511,9511,20
4312,4312,20
8121,4719,20
8520,8560,20
4711,8424,20
7820,1089,20
7820,3513,20
8790,8121,19
5630,8891,19
4711,6910,19
4642,7010,19
7820,6820,19
8610,6920,19
8299,6920,19
8710,8899,19
6209,6201,19
2561,2561,19
8790,5630,19
9602,5630,19
4764,8520,19
8541,8542,19
4711,8621,19
6820,8810,19
4771,8810,19
7022,6209,19
4778,5610,19
9200,5610,19
7820,5621,19
6910,8411,19
9312,9319,19
4711,8532,19
6629,6512,19
8532,8541,19
5610,8220,19
4322,4321,19
4531,4520,19
5630,8559,19
8790,8559,19
8292,8292,19
7820,4639,19
8690,9700,19
4711,9700,19
4711,8423,19
9321,9321,19
9700,4711,19
4772,4711,19
2599,2599,19
4742,6120,19
2711,2711,19
9312,4771,19
2740,2740,19
4711,4931,19
3821,3821,19
147,147,19
8531,8560,19
1920,1920,19
910,910,19
5630,8730,18
5610,6910,18
8520,7010,18
4711,7010,18
8899,6820,18
9312,8610,18
9311,8610,18
8542,6920,18
4771,6920,18
9004,9004,18
8710,5630,18
9499,8542,18
5229,4941,18
8412,8690,18
8610,8720,18
5510,8810,18
9499,5610,18
6512,4322,18
4771,4791,18
5510,5621,18
8559,7022,18
8220,8411,18
6419,8411,18
8424,8411,18
8520,4778,18
4771,4778,18
8121,8299,18
5630,8299,18
8110,8299,18
6419,8299,18
5630,4511,18
4520,4532,18
5621,5510,18
8899,8559,18
7820,8292,18
8520,7490,18
6612,6629,18
8790,9700,18
5610,8110,18
7022,8110,18
7820,1812,18
8790,4711,18
4730,4711,18
8110,4711,18
7820,2229,18
6622,6511,18
6920,6419,18
4752,4719,18
7820,4646,18
4661,4661,18
4321,3513,18
5320,7820,17
4639,7820,17
8730,8891,17
5610,6820,17
9499,8899,17
8621,8899,17
4771,8899,17
4791,5210,17
5610,9499,17
8730,5630,17
9609,8520,17
4724,8520,17
7490,8520,17
9200,8520,17
8559,8790,17
4771,8531,17
8121,8542,17
7820,8621,17
7820,8010,17
8730,8720,17
8810,8720,17
8542,5610,17
8110,5621,17
8010,9312,17
8520,8623,17
7820,4511,17
4531,4511,17
6622,6512,17
9329,9311,17
4711,4321,17
7010,4711,17
5210,4711,17
8411,4711,17
113,113,17
4759,4771,17
9602,4771,17
4772,4771,17
5630,6419,17
6619,6630,17
6419,6630,17
5510,5629,17
4719,4773,17
8520,4931,17
4711,4762,17
2042,2042,17
7820,8424,17
5630,9200,17
3700,3700,17
7820,1011,17
7112,7820,16
7820,8891,16
7820,6910,16
8790,6820,16
4711,4669,16
7810,8610,16
5629,8610,16
8411,6920,16
8610,6832,16
8531,8899,16
8532,8899,16
4711,6831,16
2512,2512,16
8520,6619,16
8542,9499,16
4771,9499,16
4110,4120,16
8899,8710,16
5629,8710,16
8542,5630,16
4778,5630,16
6202,8520,16
8220,8520,16
8610,8531,16
4719,8542,16
8542,7112,16
7490,7112,16
4772,4642,16
8299,8810,16
8891,5610,16
7010,5621,16
6622,7022,16
8790,8411,16
8810,8411,16
6202,8411,16
8532,8411,16
6920,8299,16
8690,8299,16
8810,8299,16
6202,8299,16
8411,8532,16
4941,5229,16
4771,9311,16
4719,5510,16
7820,4649,16
8531,8110,16
3299,3299,16
6820,4711,16
8710,4711,16
4941,4711,16
4759,4711,16
9602,4711,16
8424,4711,16
4519,4519,16
8531,4771,16
4778,4771,16
4775,4771,16
7022,6419,16
5610,4729,16
6430,6630,16
5610,4772,16
8291,8291,16
7220,7220,16
1082,1082,16
6619,6492,16
3317,4212,16
2540,2540,16
6910,7820,15
8621,7820,15
1013,7820,15
6920,6910,15
5621,8610,15
6910,6920,15
8899,6920,15
6831,6920,15
8531,6920,15
5630,8899,15
9491,8899,15
8299,8899,15
7311,6201,15
6832,6831,15
7810,5210,15
4711,6622,15
4711,6619,15
4333,4333,15
7112,4120,15
8541,8520,15
6920,8531,15
5629,8531,15
8621,8542,15
9311,8542,15
4511,4531,15
4520,4531,15
4311,4311,15
8531,8690,15
8559,8690,15
9700,8690,15
9329,9329,15
7820,4299,15
4222,4299,15
7820,3811,15
7022,6202,15
8730,5610,15
6820,8411,15
8412,8411,15
8531,9491,15
8121,9312,15
8531,9312,15
8899,8532,15
5610,9602,15
4711,4724,15
1071,4724,15
5630,9311,15
8531,9311,15
8542,8541,15
5610,5520,15
5610,4520,15
4711,4775,15
4711,8559,15
7112,7490,15
8121,9700,15
5811,5814,15
8810,8110,15
8899,8423,15
4778,4711,15
4773,4711,15
6630,6511,15
4711,4764,15
6910,6419,15
2410,2511,15
8610,4719,15
4771,4645,15
5914,5914,15
6202,6190,15
4711,3513,15
1813,1813,15
5224,5224,15
7010,7820,14
6619,7820,14
4120,7820,14
1012,7820,14
9700,8891,14
8411,8730,14
5510,8730,14
8610,6910,14
8542,6910,14
6920,7010,14
8411,6820,14
4110,6820,14
7820,4669,14
6910,8610,14
8622,8610,14
6419,8610,14
7112,6920,14
7810,6920,14
4719,6920,14
5610,8899,14
8542,6201,14
6920,6619,14
6630,6619,14
5630,9499,14
4399,4120,14
8891,5630,14
6831,8520,14
4520,8520,14
4752,8520,14
9313,8520,14
8621,8790,14
9312,8531,14
4520,4941,14
5610,8010,14
5610,8690,14
8110,4299,14
8520,8720,14
8720,8810,14
6920,6202,14
5610,6202,14
7010,5610,14
8790,5610,14
9329,5610,14
8810,5610,14
5210,4791,14
5610,4791,14
5630,7810,14
6910,7022,14
5814,7022,14
8299,8411,14
8610,8299,14
7820,9312,14
7820,5229,14
4771,9602,14
4771,4511,14
5510,9311,14
4531,4532,14
4120,4321,14
7112,7111,14
4711,4730,14
4719,4775,14
8690,8559,14
4618,4618,14
5610,9700,14
5630,8110,14
4676,4676,14
9499,4711,14
8299,4711,14
5310,4711,14
5530,4711,14
2790,2790,14
7311,7312,14
5610,4776,14
4711,4776,14
5630,4764,14
8891,4771,14
8542,4771,14
6202,6419,14
8710,5629,14
8220,5629,14
4771,5629,14
7820,5310,14
5610,1071,14
4711,1071,14
1061,1071,14
4771,4762,14
9603,9603,14
4641,4641,14
4719,9200,14
7010,4779,14
1072,1072,14
8411,8422,14
1013,1011,14
2363,2363,14
9700,8121,13
4719,8121,13
8891,7820,13
6202,7820,13
2562,7820,13
4321,7820,13
8810,8891,13
8610,6820,13
8299,6820,13
4778,8610,13
4511,8610,13
4764,8610,13
3317,3317,13
6820,6831,13
5630,6831,13
8520,6831,13
7820,3109,13
5610,6622,13
7022,6622,13
4771,6622,13
6419,6622,13
4339,4339,13
8411,4120,13
5510,8710,13
9200,5630,13
7810,8790,13
9700,8790,13
8810,8542,13
4673,4941,13
8299,7112,13
8542,8621,13
4771,4642,13
5630,8690,13
8411,8690,13
8299,8690,13
7112,4299,13
4321,4299,13
8520,3811,13
6622,8810,13
8220,6202,13
6190,6202,13
7820,6209,13
8899,5610,13
8710,5610,13
1071,5610,13
4762,5610,13
8710,7810,13
8790,7810,13
7010,7022,13
7311,7022,13
1085,7022,13
8730,8411,13
6920,8411,13
7022,8411,13
8710,8299,13
8610,8532,13
5610,4511,13
7820,4690,13
7732,7739,13
