,Id,SubActivity,MainActivity,MainIndustry
121,1582,Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,Manufacture of Food; Beverages & Tobacco,Manufacture of Food
123,1583,Manufacture of sugar,Manufacture of Food; Beverages & Tobacco,Manufacture of Food
124,1584,Manufacture of cocoa and  chocolate confectionery Manufacture of sugar confectionery,Manufacture of Food; Beverages & Tobacco,Manufacture of Food
122,1585,"Manufacture of macaroni, noodles, couscous and similar farinaceous products",Manufacture of Food; Beverages & Tobacco,Manufacture of Food
126,1586,Tea processing Production of coffee and coffee substitutes,Manufacture of Food; Beverages & Tobacco,Manufacture of Food
129,1587,Manufacture of condiments and seasonings,Manufacture of Food; Beverages & Tobacco,Manufacture of Food
135,1588,Manufacture of homogenized food preparations and dietetic food,Manufacture of Food; Beverages & Tobacco,Manufacture of Food
143,1589,Manufacture of soups Manufacture of other food products n.e.c.,Manufacture of Food; Beverages & Tobacco,Manufacture of Food
147,1591,Manufacture of distilled potable alcoholic beverages,Manufacture of Food; Beverages & Tobacco,Manufacture of Food
148,1592,Production of ethyl alcohol from fermented materials,Manufacture of Food; Beverages & Tobacco,Manufacture of Food
151,1593,Manufacture of wine of fresh grapes and grape juice Manufacture of wine based on concentrated grape must,Manufacture of Food; Beverages & Tobacco,Manufacture of Food
154,1594,Manufacture of cider and perry Manufacture of other fermented fruit beverages,Manufacture of Food; Beverages & Tobacco,Manufacture of Food
156,1595,Manufacture of other non-distilled fermented beverages,Manufacture of Food; Beverages & Tobacco,Manufacture of Food
157,1596,Manufacture of beer,Manufacture of Food; Beverages & Tobacco,Manufacture of Food
158,1597,Manufacture of malt,Manufacture of Food; Beverages & Tobacco,Manufacture of Food
159,1598,Production of mineral waters and soft drinks,Manufacture of Food; Beverages & Tobacco,Manufacture of Food
160,1600,Manufacture of tobacco products,Manufacture of Textiles & Textile Products,Manufacture of Textiles 
161,1711,Preparation and spinning of cotton-type fibres,Manufacture of Textiles & Textile Products,Manufacture of Textiles and Leather
162,1712,Preparation and spinning of woollen-type fibres,Manufacture of Textiles & Textile Products,Manufacture of Textiles and Leather
