,Id,SubActivity,MainActivity,MainIndustry
475,3512,Building and repairing of pleasure and sporting boats,Manufacture of Other Transport Equipment,Manufacture of Transport Equipment
477,3520,Manufacture of railway and tramway locomotives and rolling stock,Manufacture of Other Transport Equipment,Manufacture of Transport Equipment
462,3530,Manufacture of aircraft and spacecraft,Manufacture of Other Transport Equipment,Manufacture of Transport Equipment
484,3541,Manufacture of motorcycles,Manufacture of Other Transport Equipment,Manufacture of Transport Equipment
485,3542,Manufacture of bicycles,Manufacture of Other Transport Equipment,Manufacture of Transport Equipment
486,3543,Manufacture of invalid carriages,Manufacture of Other Transport Equipment,Manufacture of Transport Equipment
429,3550,Manufacture of other transport equipment n.e.c.,Manufacture of Other Transport Equipment,Manufacture of Transport Equipment
472,3611,Manufacture of chairs and seats,Manufacturing nec,Manufacture Other 
432,3612,Manufacture of other office and shop furniture,Manufacturing nec,Manufacture Other 
493,3613,Manufacture of other kitchen furniture,Manufacturing nec,Manufacture Other 
496,3614,Manufacture of other furniture,Manufacturing nec,Manufacture Other 
494,3615,Manufacture of mattresses,Manufacturing nec,Manufacture Other 
497,3621,Striking of coins,Manufacturing nec,Manufacture Other 
499,3622,Manufacture of jewellery and related articles n.e.c.,Manufacturing nec,Manufacture Other 
502,3630,Manufacture of musical instruments,Manufacturing nec,Manufacture Other 
503,3640,Manufacture of sports goods,Manufacturing nec,Manufacture Other 
377,3650,"Manufacture of other games and toys, n.e.c.",Manufacturing nec,Manufacture Other 
463,3650,Manufacture of professional and arcade games and toys,Manufacturing nec,Manufacture Other 
501,3661,Manufacture of imitation jewellery,Manufacturing nec,Manufacture Other 
282,3662,Manufacture of brooms and brushes,Manufacturing nec,Manufacture Other 
189,3663,Other manufacturing n.e.c.,Manufacturing nec,Manufacture Other 
527,3663,Manufacture of miscellaneous stationers' goods,Manufacturing nec,Manufacture Other 
686,3710,Recycling of metal waste and scrap,Recycling,Recycling
688,3720,Recycling of non-metal waste and scrap,Recycling,Recycling
666,4011,Production of electricity,"Electricity, Gas and Water Supply","Electricity, Gas and Water Supply"
667,4012,Transmission of electricity,"Electricity, Gas and Water Supply","Electricity, Gas and Water Supply"
668,4013,Distribution and trade of electricity,"Electricity, Gas and Water Supply","Electricity, Gas and Water Supply"
670,4021,Manufacture of gas,"Electricity, Gas and Water Supply","Electricity, Gas and Water Supply"
671,4022,Distribution and trade of gaseous fuels through mains,"Electricity, Gas and Water Supply","Electricity, Gas and Water Supply"
673,4030,Steam and hot water supply,"Electricity, Gas and Water Supply","Electricity, Gas and Water Supply"
674,4100,"Collection, purification and distribution of water","Electricity, Gas and Water Supply","Electricity, Gas and Water Supply"
712,4511,Demolition and wrecking of buildings; earth moving,Construction,Construction
714,4512,Test drilling and boring,Construction,Construction
694,4521,Construction of commercial buildings,Construction,Construction
699,4521,Construction of domestic buildings,Construction,Construction
702,4521,Construction of civil engineering constructions,Construction,Construction
734,4522,Erection of roof covering and frames,Construction,Construction
695,4523,"Construction of motorways, roads, airfields and sport facilities",Construction,Construction
706,4524,Construction of water projects,Construction,Construction
707,4525,Other construction work involving special trades,Construction,Construction
715,4531,Installation of electrical wiring and fittings,Construction,Construction
722,4532,Insulation work activities,Construction,Construction
719,4533,Plumbing,Construction,Construction
716,4534,Other building installation,Construction,Construction
724,4541,Plastering,Construction,Construction
728,4542,Joinery installation,Construction,Construction
729,4543,Floor and wall covering,Construction,Construction
730,4544,Painting and glazing,Construction,Construction
732,4545,Other building completion,Construction,Construction
741,4550,Renting of construction or demolition equipment with operator,Construction,Construction
742,5010,Sale of new and used motor vehicles,Construction,Construction
746,5020,Maintenance and repair of motor vehicles,Construction,Construction
747,5030,Sale of motor vehicle parts and accessories,Construction,Construction
749,5040,"Sale, maintenance and repair of motorcycles and related parts and accessories",Construction,Construction
835,5050,Retail sale of automotive fuel,Construction,Construction
750,5111,"Agents involved in the sale of agricultural raw materials, live animals, textile raw materials and semi-finished goods","Wholesale, Commission, Not Motors",Retail
751,5112,"Agents involved in the sale of fuels, ores, metals and industrial chemicals","Wholesale, Commission, Not Motors",Retail
752,5113,Agents involved in the sale of timber and building materials,"Wholesale, Commission, Not Motors",Retail
753,5114,"Agents involved in the sale of machinery, industrial equipment, ships and aircraft","Wholesale, Commission, Not Motors",Retail
754,5115,"Agents involved in the sale of furniture, household goods, hardware and ironmongery","Wholesale, Retail; Certain Repair (cont.)",Retail
755,5116,"Agents involved in the sale of textiles, clothing, footwear and leather goods","Wholesale, Retail; Certain Repair (cont.)",Retail
756,5117,"Agents involved in the sale of food, beverages and tobacco","Wholesale, Retail; Certain Repair (cont.)",Retail
757,5118,Agents specializing in the sale of particular products or ranges of products n.e.c.,"Wholesale, Retail; Certain Repair (cont.)",Retail
758,5119,Agents involved in the sale of a variety of goods,"Wholesale, Retail; Certain Repair (cont.)",Retail
759,5121,"Wholesale of grain, seeds and animal feeds","Wholesale, Retail; Certain Repair (cont.)",Retail
761,5122,Wholesale of flowers and plants,"Wholesale, Retail; Certain Repair (cont.)",Retail
762,5123,Wholesale of live animals,"Wholesale, Retail; Certain Repair (cont.)",Retail
763,5124,Wholesale of furskins,"Wholesale, Retail; Certain Repair (cont.)",Retail
764,5124,"Wholesale of hides, skins and leather n.e.c.","Wholesale, Retail; Certain Repair (cont.)",Retail
760,5125,Wholesale of unmanufactured tobacco,"Wholesale, Retail; Certain Repair (cont.)",Retail
108,5131,Wholesale of fruit and vegetables,"Wholesale, Retail; Certain Repair (cont.)",Retail
767,5132,Wholesale of meat and meat products,"Wholesale, Retail; Certain Repair (cont.)",Retail
768,5133,"Wholesale of dairy produce, Wholesale of eggs,edible oils and fats","Wholesale, Retail; Certain Repair (cont.)",Retail
149,5134,"Wholesale of wine, beer, spirits and other alcoholic beverages","Wholesale, Retail; Certain Repair (cont.)",Retail
771,5134,"Wholesale of fruit and vegetable juices, mineral water and soft drinks","Wholesale, Retail; Certain Repair (cont.)",Retail
773,5135,Wholesale of tobacco products,"Wholesale, Retail; Certain Repair (cont.)",Retail
774,5136,Wholesale of sugar and chocolate and sugar confectionery,"Wholesale, Retail; Certain Repair (cont.)",Retail
775,5137,"Wholesale of coffee, tea, cocoa and spices","Wholesale, Retail; Certain Repair (cont.)",Retail
766,5138,"Wholesale of other food, including fish, crustaceans and molluscs","Wholesale, Retail; Certain Repair (cont.)",Retail
777,5139,"Non-specialised wholesale of food, beverages and tobacco","Wholesale, Retail; Certain Repair (cont.)",Retail
778,5141,Wholesale of textiles,"Wholesale, Retail; Certain Repair (cont.)",Retail
779,5142,"Wholesale of adults' fur and leather clothing,Wholesale of children's and infants' clothing,Wholesale of footwear, Wholesale of clothing n.e.c.","Wholesale, Retail; Certain Repair (cont.)",Retail
783,5143,"Wholesale of gramophone records, audio tapes, compact discs and video tapes and of the equipment on which these are played, radios and televisions; wholesale of electrical household appliances n.e.c","Wholesale, Retail; Certain Repair (cont.)",Retail
790,5143,Wholesale of electrical household appliances and radio and television goods,"Wholesale, Retail; Certain Repair (cont.)",Retail
787,5144,"Wholesale of china and glassware, wallpaper and cleaning materials","Wholesale, Retail; Certain Repair (cont.)",Retail
788,5145,Wholesale of perfume and cosmetics,"Wholesale, Retail; Certain Repair (cont.)",Retail
789,5146,Wholesale of pharmaceutical goods,"Wholesale, Retail; Certain Repair (cont.)",Retail
785,5147," ""Wholesale of photographic goods", Wholesale of other household goods n.e.c.,Retail
791,5147,"Wholesale of furniture,jewellery, imitation jewellery, musical instruments, toys and games,travel and fancy goods", Wholesale of other household goods n.e.c.,Retail
811,5151,Wholesale of petroleum and petroleum products other fuels and related products, Wholesale of other household goods n.e.c.,Retail
813,5152,Wholesale of metals and metal ores, Wholesale of other household goods n.e.c.,Retail
816,5153,"Wholesale of wood, construction materials and sanitary equipment", Wholesale of other household goods n.e.c.,Retail
817,5154,"Wholesale of hardware, plumbing and heating equipment and supplies", Wholesale of other household goods n.e.c.,Retail
818,5155,Wholesale of chemical products, Wholesale of other household goods n.e.c.,Retail
820,5156,Wholesale of other intermediate products, Wholesale of other household goods n.e.c.,Retail
821,5157,Wholesale of waste and scrap, Wholesale of other household goods n.e.c.,Retail
805,5181,Wholesale of machine tools, Wholesale of other household goods n.e.c.,Retail
806,5182,"Wholesale of mining, construction and civil engineering machinery", Wholesale of other household goods n.e.c.,Retail
807,5183,Wholesale of machinery for the textile industry and of sewing and knitting machines, Wholesale of other household goods n.e.c.,Retail
801,5184,"Wholesale of computers, computer peripheral equipment and software", Wholesale of other household goods n.e.c.,Retail
808,5185,Wholesale of other office machinery and equipment, Wholesale of other household goods n.e.c.,Retail
803,5186,Wholesale of other electronic parts and equipment, Wholesale of other household goods n.e.c.,Retail
810,5187,"Wholesale of other machinery for use in industry, trade and navigation", Wholesale of other household goods n.e.c.,Retail
804,5188,"Wholesale of agricultural machinery and accessories and implements, including tractors", Wholesale of other household goods n.e.c.,Retail
822,5190,Other wholesale, Wholesale of other household goods n.e.c.,Retail
823,5211,"Retail sale by confectioners, tobacconists and newsagents (CTNs), non-specialised stores holding an alcohol licence, with food, beverages or tobacco predominating","Retail Trade, Not Motors; Repairs",Retail
826,5212,Other retail sale in non-specialised stores,"Retail Trade, Not Motors; Repairs",Retail
827,5221,Retail sale of fruit and vegetables,"Retail Trade, Not Motors; Repairs",Retail
829,5222,Retail sale of meat and meat products,"Retail Trade, Not Motors; Repairs",Retail
830,5223,"Retail sale of fish, crustaceans and molluscs","Retail Trade, Not Motors; Repairs",Retail
831,5224,"Retail sale of bread, cakes, flour confectionery and sugar confectionery","Retail Trade, Not Motors; Repairs",Retail
832,5225,Retail sale of alcoholic and other beverages,"Retail Trade, Not Motors; Repairs",Retail
833,5226,Retail sale of tobacco products,"Retail Trade, Not Motors; Repairs",Retail
828,5227,"Other retail sale of food, beverages and tobacco in specialised stores","Retail Trade, Not Motors; Repairs",Retail
861,5231,Dispensing chemists,"Retail Trade, Not Motors; Repairs",Retail
862,5232,Retail sale of hearing aids,"Retail Trade, Not Motors; Repairs",Retail
863,5232,Retail sale of medical and orthopaedic goods n.e.c.,"Retail Trade, Not Motors; Repairs",Retail
864,5233,Retail sale of cosmetic and toilet articles,"Retail Trade, Not Motors; Repairs",Retail
841,5241,Retail sale of textiles,"Retail Trade, Not Motors; Repairs",Retail
855,5242,"Retail sale of adults' fur and leather clothing, children's and infants' clothing, other women's clothing, other men's clothing","Retail Trade, Not Motors; Repairs",Retail
859,5243,"Retail sale of footwear, leather goods","Retail Trade, Not Motors; Repairs",Retail
843,5244,"Retail sale of furniture, lighting equipment and household articles n.e.c.","Retail Trade, Not Motors; Repairs",Retail
840,5245,Retail sale of electrical household appliances and radio and television goods,"Retail Trade, Not Motors; Repairs",Retail
842,5246,"Retail sale of hardware, paints and glass","Retail Trade, Not Motors; Repairs",Retail
850,5247,"Retail sale of books, newspapers and stationery","Retail Trade, Not Motors; Repairs",Retail
836,5248,"Retail sale of photographic, optical and precision equipment, office supplies and equipment (incl. computers),Retail sale of sports goods, games and toys, stamps and coins, Retail sale of mobile telephones","Retail Trade, Not Motors; Repairs",Retail
844,5248,Retail sale of floor coverings Other retail sale in specialised stores n.e.c.,"Retail Trade, Not Motors; Repairs",Retail
865,5248,Other retail sale  in specialised stores n.e.c.,"Retail Trade, Not Motors; Repairs",Retail
866,5248,"Retail sale of jewellery, clocks and watches ,Retail sale in commercial art galleries,Retail sale by opticians","Retail Trade, Not Motors; Repairs",Retail
872,5250,"Retail sale of antiques, including antique books, in stores","Retail Trade, Not Motors; Repairs",Retail
874,5250,Retail sale of other second-hand goods in stores,"Retail Trade, Not Motors; Repairs",Retail
879,5261,Retail sale via mail order houses,"Retail Trade, Not Motors; Repairs",Retail
876,5262,Retail sale via stalls and markets,"Retail Trade, Not Motors; Repairs",Retail
873,5263,Other non-store retail sale,"Retail Trade, Not Motors; Repairs",Retail
1279,5271,"Repair of boots, shoes and other articles of leather","Retail Trade, Not Motors; Repairs",Retail
1275,5272,Repair of electrical household goods,"Retail Trade, Not Motors; Repairs",Retail
1286,5273,"Repair of watches, clocks and jewellery","Retail Trade, Not Motors; Repairs",Retail
174,5274,Repair n.e.c.,"Retail Trade, Not Motors; Repairs",Retail
940,5510,Hotels and motels with restaurant (licensed and unlicensed) and without restaurant,Hotels and Restaurants,Hotels and Restaurants
944,5521,Youth hostels and mountain refuges,Hotels and Restaurants,Hotels and Restaurants
948,5522,"Camping sites, including caravan sites",Hotels and Restaurants,Hotels and Restaurants
943,5523,"Holiday centres and holiday villages, Other self-catering holiday accommodation,Other tourist or short-stay accommodation",Hotels and Restaurants,Hotels and Restaurants
950,5530,"Licensed restaurants,Unlicensed restaurants and cafes,Take-away food shops,Take-away mobile food stands",Hotels and Restaurants,Hotels and Restaurants
957,5540,"Licensed clubs,Independent public houses and bars,Tenanted public houses and bars,Managed public houses and bars",Hotels and Restaurants,Hotels and Restaurants
955,5551,Canteens,Hotels and Restaurants,Hotels and Restaurants
954,5552,Catering,Hotels and Restaurants,Hotels and Restaurants
882,6010,Inter-city services and Other transport via railways,Transport,Transport
885,6021,"Urban and suburban passenger railway transportation by underground, metro and similar systems, Other scheduled passenger land transport n.e.c.",Transport,Transport
888,6022,Taxi operation,Transport,Transport
890,6023,"Renting of buses and coaches, Other land passenger transport n.e.c.",Transport,Transport
892,6024,"Freight transport by road n.e.c.,Furniture removal activities",Transport,Transport
894,6030,Transport via pipelines,Transport,Transport
895,6110,"Passenger sea and coastal water transport, Freight sea and coastal water transport",Transport,Transport
897,6120,"Passenger inland water transport, Other inland water transport",Transport,Transport
899,6210,"Scheduled passenger air transport,Other scheduled air transport",Transport,Transport
902,6220,Other non-scheduled air transport,Transport,Transport
903,6230,Space transport,Transport,Transport
933,6311,Cargo handling,Transport,Transport
904,6312,"Storage and warehousing of frozen and refrigerated goods, liquids or gases, Storage and warehousing of grain, Storage and warehousing n.e.c.",Transport,Transport
917,6321,Other supporting land transport activities,Transport,Transport
930,6322,Other supporting water transport activities,Transport,Transport
932,6323,Other supporting air transport activities,Transport,Transport
1145,6330,"Activities of travel agencies, organisers,tour guides,Other tourist assistance activities n.e.c.",Transport,Transport
936,6340,Activities of other transport agencies,Transport,Transport
937,6411,National post activities,Post and Telecommunications,Post and Telecommunications
938,6412,Courier activities other than national post activities,Post and Telecommunications,Post and Telecommunications
993,6420,Telecommunications,Post and Telecommunications,Post and Telecommunications
1020,6511,Central banking,Finance,Finance
1021,6512,"Banks,Building societies",Finance,Finance
1041,6521,Financial leasing,Finance,Finance
1042,6522,"Credit granting by non-deposit taking finance houses and other specialist consumer credit grantors,Activities of mortgage finance companies,Other credit granting not elsewhere classified",Finance,Finance
1046,6522,Factoring,Finance,Finance
1029,6523," ""Activities of bank holding companies Financial intermediation not elsewhere classified""",Finance,Finance
1035,6523,"Activities of investment trusts,unit trusts, venture and development capital companies,open-ended investment companies,property unit trusts",Finance,Finance
1045,6523,Security dealing on own account,Finance,Finance
1048,6601,Life insurance,Finance,Finance
1051,6602,Pension funding,Finance,Finance
1049,6603,Non-life insurance,Finance,Finance
1054,6711,Administration of financial markets,Finance,Finance
1055,6712,Security broking and fund management,Finance,Finance
1061,6712,Fund management activities,Finance,Finance
1056,6713,Activities auxiliary to financial intermediation n.e.c.,Finance,Finance
1058,6720,Activities auxiliary to insurance and pension funding,Finance,Finance
690,7011,Development and selling of real estate,"Real Estate, Renting & Business",Buisness activities
1062,7012,Buying and selling of own real estate,"Real Estate, Renting & Business",Buisness activities
1063,7020,"Other letting of own property, Letting of conference and exhibition centres","Real Estate, Renting & Business",Buisness activities
1066,7031,Real estate agencies,"Real Estate, Renting & Business",Buisness activities
1067,7032,Management of real estate on a fee or contract basis,"Real Estate, Renting & Business",Buisness activities
1120,7110,Renting of automobiles,Renting Equipment Without Operator,Buisness activities
1121,7121,Renting of other land transport equipment,Renting Equipment Without Operator,Buisness activities
1135,7121,Renting of passenger land transport equipment,Renting Equipment Without Operator,Buisness activities
1131,7122,"Renting of passenger water transport equipment,Renting of other water transport equipment",Renting Equipment Without Operator,Buisness activities
1133,7123,"Renting of passenger air transport equipment,Renting of other air transport equipment",Renting Equipment Without Operator,Buisness activities
1128,7131,Renting of agricultural machinery and equipment,Renting Equipment Without Operator,Buisness activities
1129,7132,Renting of construction and civil engineering machinery and equipment,Renting Equipment Without Operator,Buisness activities
1130,7133,"Renting of office machinery and equipment, including computers",Renting Equipment Without Operator,Buisness activities
1138,7134,Renting of other machinery and equipment n.e.c.,Renting Equipment Without Operator,Buisness activities
1122,7140,"Renting of sporting and recreational equipment,Renting of records and other pre-recorded media,Renting of video tapes and DVDs,Renting of radios, televisions and video recorders and DVD players, Renting of other personal and household goods not elsewhere classified",Renting Equipment Without Operator,Buisness activities
1009,7210,Hardware consultancy,Computer and Related Activities,Computer and Related Activities
974,7221,Publishing of software,Computer and Related Activities,Computer and Related Activities
1004,7222,Other software consultancy and supply,Computer and Related Activities,Computer and Related Activities
1011,7230,Data processing,Computer and Related Activities,Computer and Related Activities
962,7240,Database activities,Computer and Related Activities,Computer and Related Activities
564,7250,"Maintenance and repair of office, accounting and computing machinery",Computer and Related Activities,Computer and Related Activities
1014,7260,Other computer related activities,Computer and Related Activities,Computer and Related Activities
1096,7310,Research and experimental development on natural sciences and engineering,Research and Development,Research and Development
1099,7320,Research and experimental development on social sciences and humanities,Research and Development,Research and Development
1068,7411,"Barristers at law,Solicitors,Activities of patent and copyright agents,Other legal activities not elsewhere classified",Other Business Activities,Buisness activities
1072,7412,"Accounting and auditing activities,Book-keeping activities,Tax consultancy",Other Business Activities,Buisness activities
1103,7413,Market research and public opinion polling,Other Business Activities,Buisness activities
54,7414,"Business and management consultancy activities, n.e.c.",Other Business Activities,Buisness activities
1084,7414,"Public relations activities,Financial management,General management consultancy activities",Other Business Activities,Buisness activities
1023,7415,"Management activities of other non-financial holding companies,production holding companies, construction holding companies, wholesale holding companies, motor trades holding companies, retail holding companies",Other Business Activities,Buisness activities
1031,7415,"Management activities of transport holding companies, catering holding companies, service trades holding companies",Other Business Activities,Buisness activities
1089,7420,"Architectural,Urban planning and landscape architectural activities, Engineering design activities for industrial process and production, Engineering related scientific and technical consulting activities,Engineering consultative and design activities",Other Business Activities,Buisness activities
1094,7420,Other engineering activities,Other Business Activities,Buisness activities
1113,7420,Quantity surveying activities,Other Business Activities,Buisness activities
1095,7430,Technical testing and analysis,Other Business Activities,Buisness activities
1100,7440,"Planning, creation and placement of advertising activities, Advertising activities not elsewhere classified,Sale or leasing activities of advertising space or time",Other Business Activities,Buisness activities
1140,7450,Labour recruitment and provision of personnel,Other Business Activities,Buisness activities
1117,7460,Security and related activities,Other Business Activities,Buisness activities
1156,7460,Investigation activities,Other Business Activities,Buisness activities
1159,7470,"Traditional cleaning services,Window cleaning services,Specialised cleaning services,Furnace and chimney cleaning services,Cleaning activities not elsewhere classified,Disinfecting and exterminating services",Other Business Activities,Buisness activities
1105,7481,"Portrait photographic activities,Other specialist photography,Film processing,Photographic activities not elsewhere classified",Other Business Activities,Buisness activities
1176,7482,Packaging activities,Other Business Activities,Buisness activities
1111,7485,Secretarial and translation activities,Other Business Activities,Buisness activities
1171,7486,Call centre activities,Other Business Activities,Buisness activities
990,7487,Other business activities not elsewhere classified,Other Business Activities,Buisness activities
1104,7487,Specialty design activities,Other Business Activities,Buisness activities
1172,7487,"Activities of exhibition and fair organisers,Activities of conference organisers,Credit reporting and collection agency activities",,Buisness activities
1180,7511,General (overall) public service activities,Public Administration & Defence,Gouverment
1182,7512,"Regulation of the activities of agencies that provide health care, education, cultural services and other social services, excluding social security",Public Administration & Defence,Gouverment
1179,7513,Regulation of and contribution to more efficient operation of business,Public Administration & Defence,Gouverment
1158,7514,Supporting service activities for the government as a whole,Public Administration & Defence,Gouverment
1184,7521,Foreign affairs,Public Administration & Defence,Gouverment
1185,7522,Defence activities,Public Administration & Defence,Gouverment
1186,7523,Justice and judicial activities,Public Administration & Defence,Gouverment
1187,7524,"Public security, law and order activities",Public Administration & Defence,Gouverment
1188,7525,Fire service activities,Public Administration & Defence,Gouverment
1189,7530,Compulsory social security activities,Public Administration & Defence,Gouverment
1190,8010,Primary education,Education,Gouverment
1192,8021,General secondary education,Education,Gouverment
1195,8022,Technical and vocational secondary education,Education,Gouverment
1197,8030,Sub-degree level higher education,Education,Gouverment
1198,8030,First-degree level higher education,Education,Gouverment
1199,8030,Post-graduate level higher education,Education,Gouverment
1205,8041,Driving school activities,Education,Gouverment
1196,8042,Other adult and other education n.e.c.,Education,Gouverment
1206,8042,Activities of private training providers,Education,Gouverment
1209,8511,"Public sector hospital activities, including NHS trusts, Private sector hospital activities,Medical nursing home activities",Health and Social Work,Gouverment
1212,8512,Medical practice activities,Health and Social Work,Gouverment
1214,8513,Dental practice activities,Health and Social Work,Gouverment
1215,8514,Other human health activities,Health and Social Work,Gouverment
1119,8520,Veterinary activities,Health and Social Work,Gouverment
1220,8531,Charitable social work activities with accommodation,Health and Social Work,Gouverment
1221,8531,Non-charitable social work activities with accommodation,Health and Social Work,Gouverment
1227,8532,"Charitable social work activities without accommodation,Non-charitable social work activities without accommodation",Health and Social Work,Gouverment
675,9001,Collection and treatment of sewage,Other Social & Personal Services,Services
676,9002,Collection and treatment of other waste,Other Social & Personal Services,Services
677,9003,"Sanitation, remediation and similar activities",Other Social & Personal Services,Services
1263,9111,Activities of business and employers' organizations,Membership Organisations,Services
1264,9112,Activities of professional organizations,Membership Organisations,Services
1265,9120,Activities of trade unions,Membership Organisations,Services
1266,9131,Activities of religious organizations,Membership Organisations,Services
1267,9132,Activities of political organizations,Membership Organisations,Services
1269,9133,Activities of other membership organizations n.e.c.,Membership Organisations,Services
978,9211,"Motion picture production on film or video, Other motion picture and video production activities","Recreational, Cultural & Sporting",Services
984,9212,Motion picture and video distribution,"Recreational, Cultural & Sporting",Services
987,9213,Motion picture projection,"Recreational, Cultural & Sporting",Services
992,9220,Radio activities,"Recreational, Cultural & Sporting",Services
1234,9231,"Live theatrical presentations,Other artistic and literary creation and interpretation,Library and archives activities","Recreational, Cultural & Sporting",Services
1149,9232,Operation of arts facilities,"Recreational, Cultural & Sporting",Services
1257,9233,Fair and amusement park activities,"Recreational, Cultural & Sporting",Services
1150,9234,Other entertainment activities not elsewhere classified,"Recreational, Cultural & Sporting",Services
1204,9234,Dance halls and dancing instructor activities,"Recreational, Cultural & Sporting",Services
1018,9240,News agency activities,"Recreational, Cultural & Sporting",Services
1246,9252,"Museums activities,Preservation of historical sites and buildings","Recreational, Cultural & Sporting",Services
1248,9253,Botanical and zoological gardens and nature reserves activities,"Recreational, Cultural & Sporting",Services
1250,9261,"Operation of ice rinks and roller skating rinks,Operation of other sports arenas and stadiums not elsewhere classified","Recreational, Cultural & Sporting",Services
1151,9262,Other sporting activities not elsewhere classified,"Recreational, Cultural & Sporting",Services
1255,9262,Activities of racehorse owners,"Recreational, Cultural & Sporting",Services
1249,9271,Gambling and betting activities,"Recreational, Cultural & Sporting",Services
38,9272,Other recreational activities not elsewhere classified,"Recreational, Cultural & Sporting",Services
1141,9272,"Motion picture, television and other theatrical casting","Recreational, Cultural & Sporting",Services
1290,9301,Washing and dry-cleaning of textile and fur products,Other Service Activities,Services
1291,9302,Hairdressing and other beauty treatment,Other Service Activities,Services
1292,9303,Funeral and related activities,Other Service Activities,Services
1254,9304,Physical well-being activities,Other Service Activities,Services
1202,9305,Other service activities n.e.c.,Other Service Activities,Services
1295,9305,Operation of coin-operated photographic machines,Other Service Activities,Services
1297,9500,Activities of households as employers of domestic staff,Other Service Activities,Services
1298,9600,Undifferentiated goods producing activities of private households for own use,Other Service Activities,Services
1299,9700,Undifferentiated services producing activities of private households for own use,Other Service Activities,Services
1300,9900,Extra-territorial organizations and bodies,Other Service Activities,Services
