"","Source","Target","weight","SubActivity_StartIndst","SubActivity_FinalIndst","MainActivity_StartIndst","MainActivity_FinalIndst","MainIndustry_StartIndst","MainIndustry_FinalIndst","Counts"
"14","7420","8010",-0.584619280693484,"Architectural,Urban planning and landscape architectural activities, Engineering design activities for industrial process and production, Engineering related scientific and technical consulting activities,Engineering consultative and design activities, Other engineering activities, Quantity surveying activities","Primary education","NA, NA, NA","NA","NA, NA, NA","NA",163
"15","8021","8010",0.613481962739536,"General secondary education","Primary education","NA","NA","NA","NA",3969
"16","7522","8010",-0.733137059215395,"Defence activities","Primary education","NA","NA","NA","NA",50
"17","5540","8010",-0.294335354326471,"Licensed clubs,Independent public houses and bars,Tenanted public houses and bars,Managed public houses and bars","Primary education","NA","NA","NA","NA",462
"18","6024","8010",-0.822863350982269,"Freight transport by road n.e.c.,Furniture removal activities","Primary education","NA","NA","NA","NA",45
"19","7450","8010",-0.33927002257865,"Labour recruitment and provision of personnel","Primary education","NA","NA","NA","NA",616
"20","5212","8010",-0.481093852057243,"Other retail sale in non-specialised stores","Primary education","NA","NA","NA","NA",238
"21","5010","8010",-0.814038671196651,"Sale of new and used motor vehicles","Primary education","NA","NA","NA","NA",43
"22","7470","8010",0.126172910902065,"Traditional cleaning services,Window cleaning services,Specialised cleaning services,Furnace and chimney cleaning services,Cleaning activities not elsewhere classified,Disinfecting and exterminating services","Primary education","NA","NA","NA","NA",799
"23","5248","8010",-0.550723446745843,"Retail sale of photographic, optical and precision equipment, office supplies and equipment (incl. computers),Retail sale of sports goods, games and toys, stamps and coins, Retail sale of mobile telephones, Retail sale of floor coverings Other retail sale in specialised stores n.e.c., Other retail sale  in specialised stores n.e.c., Retail sale of jewellery, clocks and watches ,Retail sale in commercial art galleries,Retail sale by opticians","Primary education","NA, NA, NA, NA","NA","NA, NA, NA, NA","NA",168
"24","5242","8010",-0.514728110292289,"Retail sale of adults' fur and leather clothing, children's and infants' clothing, other women's clothing, other men's clothing","Primary education","NA","NA","NA","NA",230
"25","6021","8010",-0.727761932156382,"Urban and suburban passenger railway transportation by underground, metro and similar systems, Other scheduled passenger land transport n.e.c.","Primary education","NA","NA","NA","NA",39
"26","7412","8010",-0.487684608459011,"Accounting and auditing activities,Book-keeping activities,Tax consultancy","Primary education","NA","NA","NA","NA",112
"27","8514","8010",-0.495109209116738,"Other human health activities","Primary education","NA","NA","NA","NA",212
"28","7415","8010",-0.680634054289185,"Management activities of other non-financial holding companies,production holding companies, construction holding companies, wholesale holding companies, motor trades holding companies, retail holding companies, Management activities of transport holding companies, catering holding companies, service trades holding companies","Primary education","NA, NA","NA","NA, NA","NA",164
"29","6601","8010",-0.838982091033726,"Life insurance","Primary education","NA","NA","NA","NA",30
"30","6210","8010",-0.83501784933969,"Scheduled passenger air transport,Other scheduled air transport","Primary education","NA","NA","NA","NA",15
"31","7530","8010",-0.604643834181841,"Compulsory social security activities","Primary education","NA","NA","NA","NA",80
"32","6603","8010",-0.828513406434899,"Non-life insurance","Primary education","NA","NA","NA","NA",39
"33","6720","8010",-0.81525427426334,"Activities auxiliary to insurance and pension funding","Primary education","NA","NA","NA","NA",33
"34","8512","8010",-0.385240145094814,"Medical practice activities","Primary education","NA","NA","NA","NA",137
"35","7220","8010",-0.826851938769069,"","Primary education","","NA","","NA",37
"36","5530","8010",-0.409131826139945,"Licensed restaurants,Unlicensed restaurants and cafes,Take-away food shops,Take-away mobile food stands","Primary education","NA","NA","NA","NA",188
"37","5552","8010",-0.0206279353362682,"Catering","Primary education","NA","NA","NA","NA",290
"38","7512","8010",0.371443370041385,"Regulation of the activities of agencies that provide health care, education, cultural services and other social services, excluding social security","Primary education","NA","NA","NA","NA",1131
"39","2222","8010",-0.739472544400406,"Other printing, Other printing","Primary education","NA, NA","NA","NA, NA","NA",35
"40","3530","8010",-0.826464671756942,"Manufacture of aircraft and spacecraft","Primary education","NA","NA","NA","NA",22
"41","7460","8010",-0.590339193335663,"Security and related activities, Investigation activities","Primary education","NA, NA","NA","NA, NA","NA",53
"42","6330","8010",-0.669199110242648,"Activities of travel agencies, organisers,tour guides,Other tourist assistance activities n.e.c.","Primary education","NA","NA","NA","NA",44
"43","8042","8010",0.475166002287226,"Other adult and other education n.e.c., Activities of private training providers","Primary education","NA, NA","NA","NA, NA","NA",1213
"44","7414","8010",-0.525271515426526,"Business and management consultancy activities, n.e.c., Public relations activities,Financial management,General management consultancy activities","Primary education","NA, NA","NA","NA, NA","NA",96
"45","7484","8010",-0.699318096222615,"","Primary education","","NA","","NA",79
"46","4531","8010",-0.751290969193113,"Installation of electrical wiring and fittings","Primary education","NA","NA","NA","NA",25
"47","7523","8010",-0.211896350759927,"Justice and judicial activities","Primary education","NA","NA","NA","NA",109
"48","5020","8010",-0.686707728558977,"Maintenance and repair of motor vehicles","Primary education","NA","NA","NA","NA",39
"49","9271","8010",-0.27109442509314,"Gambling and betting activities","Primary education","NA","NA","NA","NA",99
"50","4533","8010",-0.699788285346494,"Plumbing","Primary education","NA","NA","NA","NA",26
"51","4010","8010",-0.846204477982267,"","Primary education","","NA","","NA",16
"52","9220","8010",-0.748271449070296,"Radio activities","Primary education","NA","NA","NA","NA",19
"53","5165","8010",-0.882621777820826,"","Primary education","","NA","","NA",10
"54","5153","8010",-0.705960249740318,"Wholesale of wood, construction materials and sanitary equipment","Primary education","NA","NA","NA","NA",24
"55","5030","8010",-0.782051502109173,"Sale of motor vehicle parts and accessories","Primary education","NA","NA","NA","NA",24
"56","5511","8010",-0.576591876750939,"","Primary education","","NA","","NA",63
"57","8022","8010",0.236772521332525,"Technical and vocational secondary education","Primary education","NA","NA","NA","NA",459
"58","3430","8010",-0.776371888947041,"Manufacture of parts and accessories for motor vehicles and their engines","Primary education","NA","NA","NA","NA",30
"59","5246","8010",-0.572843552159247,"Retail sale of hardware, paints and glass","Primary education","NA","NA","NA","NA",50
"60","7031","8010",-0.558820521549078,"Real estate agencies","Primary education","NA","NA","NA","NA",50
"61","3320","8010",-0.819708810541823,"Manufacture of electronic instruments and appliances for measuring, checking, testing, navigating and other purposes, except industrial process control equipment, Manufacture of non-electronic instruments and appliances for measuring, checking, testing, navigating and other purposes, except industrial process control equipment, Manufacture of non-electronic instruments and appliances for measuring, checking, testing, navigating and other purposes, except industrial process control equipment","Primary education","NA, NA, NA","NA","NA, NA, NA","NA",21
"62","7310","8010",-0.520982796198531,"Research and experimental development on natural sciences and engineering","Primary education","NA","NA","NA","NA",104
"63","7020","8010",-0.093528791818582,"Other letting of own property, Letting of conference and exhibition centres","Primary education","NA","NA","NA","NA",139
"64","4100","8010",-0.804130765409584,"Collection, purification and distribution of water","Primary education","NA","NA","NA","NA",14
"65","2852","8010",-0.816833760503691,"General mechanical engineering","Primary education","NA","NA","NA","NA",18
"66","6312","8010",-0.805634541283575,"Storage and warehousing of frozen and refrigerated goods, liquids or gases, Storage and warehousing of grain, Storage and warehousing n.e.c.","Primary education","NA","NA","NA","NA",22
"67","2442","8010",-0.866880305581958,"Manufacture of medicaments, Manufacture of non-medicaments","Primary education","NA, NA","NA","NA, NA","NA",11
"68","9262","8010",0.0746862010890654,"Other sporting activities not elsewhere classified, Activities of racehorse owners","Primary education","NA, NA","NA","NA, NA","NA",307
"69","5147","8010",-0.736029069535128," Wholesale of photographic goods, Wholesale of other household goods n.e.c., Wholesale of furniture,jewellery, imitation jewellery, musical instruments, toys and games,travel and fancy goods","Primary education","NA, NA","NA","NA, NA","NA",31
"70","5245","8010",-0.554488237569912,"Retail sale of electrical household appliances and radio and television goods","Primary education","NA","NA","NA","NA",53
"71","2212","8010",-0.495939237025942,"Publishing of newspapers","Primary education","NA","NA","NA","NA",51
"72","7440","8010",-0.732472624384237,"Planning, creation and placement of advertising activities, Advertising activities not elsewhere classified,Sale or leasing activities of advertising space or time","Primary education","NA","NA","NA","NA",28
"73","6522","8010",-0.829673406247786,"Credit granting by non-deposit taking finance houses and other specialist consumer credit grantors,Activities of mortgage finance companies,Other credit granting not elsewhere classified, Factoring","Primary education","NA, NA","NA","NA, NA","NA",13
"74","7222","8010",-0.745377984469932,"Other software consultancy and supply","Primary education","NA","NA","NA","NA",37
"75","7525","8010",0.414475020129135,"Fire service activities","Primary education","NA","NA","NA","NA",225
