,Source,Target,Weight,mst_Weight,is_mstree,is_mtree_or_weight,Counts
4338,4623,4611,0.999931219242105,0.999931219242105,1,0.999931219242105,10.0
4321,4611,4623,0.999931219242105,0.999931219242105,1,0.999931219242105,10.0
4297,2732,2731,0.9998280569750408,0.9998280569750408,1,0.9998280569750408,10.0
4229,2731,2732,0.99982117986898,0.99982117986898,1,0.99982117986898,11.0
4191,1813,1712,0.999697400047453,0.999697400047453,1,0.999697400047453,10.0
4141,1712,1813,0.999649267588199,0.999649267588199,1,0.999649267588199,18.0
3986,3040,3311,0.9996423917117401,0.9996423917117401,1,0.9996423917117401,10.0
4174,2899,2620,0.99959884559223,0.99959884559223,1,0.99959884559223,15.0
4226,2620,2899,0.9995965537437409,0.9995965537437409,1,0.9995965537437409,12.0
4291,2312,2311,0.9995667601914509,0.9995667601914509,1,0.9995667601914509,10.0
4324,3311,3040,0.999539259238884,0.999539259238884,1,0.999539259238884,25.0
3962,2311,2312,0.9995255090462729,0.9995255090462729,1,0.9995255090462729,11.0
4210,812,2362,0.9995048841119369,0.9995048841119369,1,0.9995048841119369,19.0
4187,2362,812,0.9995012175014891,0.9995012175014891,1,0.9995012175014891,15.0
4155,2814,2812,0.9994785306483579,0.9994785306483579,1,0.9994785306483579,18.0
4115,2332,2351,0.99945847956534,0.99945847956534,1,0.99945847956534,32.0
4189,2812,2814,0.9994244509334108,0.9994244509334108,1,0.9994244509334108,10.0
4259,2611,2612,0.9994146893982451,0.9994146893982451,1,0.9994146893982451,25.0
4332,150,145,0.9993605214844151,0.9993605214844151,1,0.9993605214844151,11.0
4070,145,150,0.9993467737499309,0.9993467737499309,1,0.9993467737499309,10.0
4170,2012,2016,0.999336954055336,0.999336954055336,1,0.999336954055336,14.0
4119,2612,2611,0.9993199662114659,0.9993199662114659,1,0.9993199662114659,10.0
4287,2222,2592,0.9992849112843059,0.9992849112843059,1,0.9992849112843059,10.0
4034,2825,2733,0.9992642913131371,0.9992642913131371,1,0.9992642913131371,10.0
3842,2399,2363,0.999257418083932,0.999257418083932,1,0.999257418083932,10.0
3806,2592,2222,0.999236798679868,0.999236798679868,1,0.999236798679868,11.0
4322,2363,2399,0.99916807040462,0.99916807040462,1,0.99916807040462,34.0
4293,147,1091,0.9991419548990041,0.9991419548990041,1,0.9991419548990041,15.0
4242,2016,2012,0.999104844564715,0.999104844564715,1,0.999104844564715,10.0
3952,2351,811,0.9990374996992192,0.9990374996992192,1,0.9990374996992192,25.0
4043,4212,3317,0.9989935218279951,0.9989935218279951,1,0.9989935218279951,10.0
3698,2660,3250,0.998948171674882,0.998948171674882,1,0.998948171674882,13.0
4253,3250,2660,0.9989138168681491,0.9989138168681491,1,0.9989138168681491,15.0
3614,1032,1039,0.99888633387298,0.99888633387298,1,0.99888633387298,16.0
3935,1091,147,0.998845110797183,0.998845110797183,1,0.998845110797183,11.0
4247,3317,4212,0.998827076236178,0.998827076236178,1,0.998827076236178,16.0
4185,1729,1722,0.9987901493409409,0.9987901493409409,1,0.9987901493409409,10.0
3979,2733,2825,0.9987489302322379,0.9987489302322379,1,0.9987489302322379,36.0
4328,3312,2444,0.9987420605460698,0.9987420605460698,1,0.9987420605460698,12.0
4064,2351,2332,0.998676800882591,0.998676800882591,1,0.998676800882591,10.0
4046,4761,4763,0.998651182421155,0.998651182421155,1,0.998651182421155,61.0
4215,1039,1032,0.998645889897789,0.998645889897789,1,0.998645889897789,10.0
4264,1722,1729,0.99862528310576,0.99862528310576,1,0.99862528310576,11.0
4257,2229,2896,0.99862528310576,0.99862528310576,1,0.99862528310576,10.0
3647,2444,3312,0.99862528310576,0.99862528310576,1,0.99862528310576,10.0
4250,113,119,0.9985940615032479,0.9985940615032479,1,0.9985940615032479,22.0
4283,150,141,0.9985936868499409,0.9985936868499409,1,0.9985936868499409,10.0
4069,141,150,0.998563465279162,0.998563465279162,1,0.998563465279162,10.0
3813,4763,4761,0.9985180749138679,0.9985180749138679,1,0.9985180749138679,23.0
3746,2751,4643,0.998480748855743,0.998480748855743,1,0.998480748855743,23.0
4132,2016,2014,0.998478104090807,0.998478104090807,1,0.998478104090807,14.0
3636,2896,2229,0.998474179613802,0.998474179613802,1,0.998474179613802,13.0
4080,2014,2059,0.998460444065665,0.998460444065665,1,0.998460444065665,24.0
3823,610,1920,0.998257866659794,0.998257866659794,1,0.998257866659794,10.0
3969,119,113,0.9982187293190141,0.9982187293190141,1,0.9982187293190141,10.0
