East,East Midlands,London,North East,North West,Scotland,South East,South West,Wales,West Midlands,Yorkshire and The Humber,Total,Description,log_East,log_East_Midlands,log_London,log_North_East,log_North_West,log_Scotland,log_South_East,log_South_West,log_Wales,log_West_Midlands,log_Yorkshire_and_The_Humber,log_Total,%Total,%Total North West,%Total London,LQ North West,LQ London,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,MainIndustry,MainActivity,SubActivity,Id
0,0,0,0,0,0,0,0,0,0,0,0," Growing of vegetables and melons, roots and tubers",-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.0,0.0,0.0,,,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,"Agriculture, Forestry, Fishing, Veterinary",Growing crops,"Vegetables, melons, roots, tubers",113
0,0,0,0,0,0,0,0,0,0,0,0, Growing of other non-perennial crops,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.0,0.0,0.0,,,1,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,"Agriculture, Forestry, Fishing, Veterinary",Growing crops,Other non-perennial crops,119
0,0,0,0,0,0,0,0,0,0,0,0, Raising of dairy cattle,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.0,0.0,0.0,,,2,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,"Agriculture, Forestry, Fishing, Veterinary","Animal production, hunting",Raising of dairy cattle,141
0,0,0,0,0,0,0,0,0,0,0,0, Raising of other cattle and buffaloes,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.0,0.0,0.0,,,3,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,"Agriculture, Forestry, Fishing, Veterinary","Animal production, hunting","Raising of other cattle, buffaloes",142
0,0,0,0,0,0,0,0,0,0,0,0, Raising of sheep and goats,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.0,0.0,0.0,,,4,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,"Agriculture, Forestry, Fishing, Veterinary","Animal production, hunting","Raising of sheep, goats",145
0,0,0,0,0,0,0,0,0,0,0,0, Raising of poultry,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.0,0.0,0.0,,,5,4,0,3,1,7,7,2,2,6,7,2,6,6,2,0,5,5,1,2,4,"Agriculture, Forestry, Fishing, Veterinary","Animal production, hunting",Raising of poultry,147
0,0,0,0,0,0,0,0,0,0,0,0, Mixed farming,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.0,0.0,0.0,,,6,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,"Agriculture, Forestry, Fishing, Veterinary","Animal production, hunting",Mixed farming,150
0,75,0,200,0,225,0,0,600,0,900,2000, Mining of hard coal,-inf,6.22881869049588,-inf,7.643856189774724,-inf,7.813781191217037,-inf,-inf,9.228818690495881,-inf,9.813781191217037,10.965784284662087,7.011860562140861e-05,0.0,0.0,0.0,0.0,7,0,3,4,3,3,6,5,3,2,2,4,5,5,6,5,2,0,1,2,4,"Mining, Quarrying (inc extraction of petroleum and gas)",Mining of coal and lignite,Hard coal,510
400,75,2250,150,0,10000,1000,150,0,0,5,14030, Extraction of crude petroleum,8.643856189774725,6.22881869049588,11.1357092861044,7.22881869049588,-inf,13.287712379549449,9.965784284662087,7.22881869049588,-inf,-inf,2.321928094887362,13.776227388507262,0.0004918820184341814,0.0,0.00045995151088960753,0.0,0.935085027815778,8,1,4,3,1,7,7,2,2,6,7,2,6,6,2,5,5,0,1,2,4,"Mining, Quarrying (inc extraction of petroleum and gas)","Crude petroleum, natural gas",Crude petroleum extraction,610
100,2500,10,225,250,1250,150,1500,400,175,500,7060," Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",6.643856189774724,11.287712379549449,3.321928094887362,7.813781191217037,7.965784284662087,10.287712379549449,7.22881869049588,10.550746785383243,8.643856189774725,7.451211111832329,8.965784284662087,12.785452468158542,0.0002475186778435724,7.975028590477497e-05,2.0442289372871447e-06,0.3221990623074344,0.008258887592228746,9,10,2,2,8,2,2,0,1,1,1,3,1,1,3,1,1,1,2,1,1,"Mining, Quarrying (inc extraction of petroleum and gas)","Mining, Quarrying and other","Ornamental, building stone etc",811
450,350,225,25,50,21000,125,150,150,25,300,22850, Support activities for petroleum and natural gas extraction,8.813781191217037,8.451211111832329,7.813781191217037,4.643856189774724,5.643856189774724,14.358101707440847,6.965784284662087,7.22881869049588,7.22881869049588,4.643856189774724,8.228818690495881,14.479906544832794,0.0008011050692245934,1.5950057180954993e-05,4.5995151088960756e-05,0.019910068970595073,0.05741462993547206,10,3,3,4,3,3,6,5,3,2,2,4,5,5,6,5,2,0,1,2,4,"Mining, Quarrying (inc extraction of petroleum and gas)",Mining support activities,"Petroleum, natural gas extraction",910
2250,3000,225,300,3500,2500,600,2250,2250,2250,3500,22625, Processing and preserving of meat,11.1357092861044,11.550746785383243,7.813781191217037,8.228818690495881,11.77313920671969,11.287712379549449,9.228818690495881,11.1357092861044,11.1357092861044,11.1357092861044,11.77313920671969,14.465630171745293,0.000793216726092185,0.0011165040026668495,4.5995151088960756e-05,1.4075648759543342,0.057985604155824814,11,4,0,3,1,7,7,2,2,6,7,2,6,6,2,0,5,5,1,2,4,"Manufacture food, drink, tobacco","Food products - meat, fish","Meat processing, preserving",1011
