,Source,Target,Weight,mst_Weight,is_mstree,is_mtree_or_weight,Counts
5140,4623,4611,0.999919269426755,0.999919269426755,1,0.999919269426755,11.0
5105,4611,4623,0.999919269426755,0.999919269426755,1,0.999919269426755,10.0
5032,2731,2732,0.999857764792942,0.999857764792942,1,0.999857764792942,12.0
5080,2732,2731,0.999857764792942,0.999857764792942,1,0.999857764792942,10.0
5072,142,141,0.9997885766015799,0.9997885766015799,1,0.9997885766015799,11.0
5098,141,142,0.9997885766015799,0.9997885766015799,1,0.9997885766015799,10.0
4913,1712,1813,0.9997117064479741,0.9997117064479741,1,0.9997117064479741,18.0
4979,1813,1712,0.9997117064479741,0.9997117064479741,1,0.9997117064479741,10.0
4915,2362,812,0.999663061675528,0.999663061675528,1,0.999663061675528,15.0
4993,812,2362,0.999663061675528,0.999663061675528,1,0.999663061675528,20.0
4727,3040,3311,0.999650214579902,0.999650214579902,1,0.999650214579902,10.0
5121,3311,3040,0.999650214579902,0.999650214579902,1,0.999650214579902,36.0
4959,2899,2620,0.99960367116665,0.99960367116665,1,0.99960367116665,15.0
5028,2620,2899,0.99960367116665,0.99960367116665,1,0.99960367116665,12.0
5130,1200,4635,0.999597581881559,0.999597581881559,1,0.999597581881559,13.0
4919,4635,1200,0.999597581881559,0.999597581881559,1,0.999597581881559,10.0
5092,2312,2311,0.999550298359742,0.999550298359742,1,0.999550298359742,10.0
4681,2311,2312,0.999550298359742,0.999550298359742,1,0.999550298359742,11.0
5059,2899,2896,0.9995329146892109,0.9995329146892109,1,0.9995329146892109,10.0
5030,2896,2899,0.9995329146892109,0.9995329146892109,1,0.9995329146892109,11.0
4962,2812,2814,0.9995291635157459,0.9995291635157459,1,0.9995291635157459,10.0
4956,2814,2812,0.9995291635157459,0.9995291635157459,1,0.9995291635157459,18.0
5056,3313,2660,0.9994772889746409,0.9994772889746409,1,0.9994772889746409,10.0
5025,2660,3313,0.9994772889746409,0.9994772889746409,1,0.9994772889746409,11.0
5086,2222,2592,0.999373547966817,0.999373547966817,1,0.999373547966817,10.0
4525,2592,2222,0.999373547966817,0.999373547966817,1,0.999373547966817,11.0
5127,150,145,0.999350495871421,0.999350495871421,1,0.999350495871421,13.0
4823,145,150,0.999350495871421,0.999350495871421,1,0.999350495871421,10.0
5006,2611,2612,0.99928311587109,0.99928311587109,1,0.99928311587109,27.0
