StartIndst,FinalIndust,Counts
1589,1513,114
5010,5030,112
7511,8021,112
2822,2822,112
5248,5242,111
2212,2213,111
8010,5212,111
5165,5186,111
7470,5552,110
7420,7486,110
7415,8010,109
6024,7450,109
4521,4531,109
7412,7414,109
6321,6021,109
5530,5552,109
5244,5246,109
9002,9002,109
7414,7420,108
5552,5530,108
5138,5138,108
2123,2123,108
7420,8010,107
7450,6024,107
7512,8514,107
7450,7420,106
7511,7524,106
4543,4543,106
5157,5157,106
5242,5248,105
5221,5211,105
6601,6713,105
6712,6512,104
8531,5211,104
5221,5221,103
5184,5184,103
4010,4011,103
8511,5540,102
8010,6512,102
5552,5211,102
2754,2754,102
2225,2225,102
7486,7486,102
5211,8030,101
121,121,101
122,122,101
2932,2932,101
7310,8030,100
5551,8010,100
8514,8512,100
8030,8021,100
7450,7414,100
6340,6024,99
5540,5511,99
5212,8511,99
3650,3650,99
5248,5244,99
6512,6601,99
3512,3512,99
8010,7523,99
5020,5030,98
8021,8042,98
1551,5133,98
8532,8030,97
4531,4521,97
8010,5248,97
5242,6512,97
2931,2931,97
9213,9213,97
6022,6022,97
7470,4521,96
4521,4525,96
8514,7450,96
8511,6603,96
5552,7470,96
5139,5211,96
4525,4521,95
7020,8010,95
5030,5010,95
8010,7420,95
5552,8511,95
8022,8042,95
6523,6712,95
5211,5552,95
1586,1586,95
2744,2744,95
2626,2626,95
8010,7487,95
8021,8030,94
5272,5272,94
1531,1531,94
8511,7511,93
2040,2040,93
5248,5212,93
7511,8030,92
7450,8030,92
5540,5242,92
7450,7511,92
8042,8532,92
5242,5540,92
5247,5211,92
8010,9251,92
3615,3615,92
8030,7511,91
7230,7511,91
7513,7511,91
6024,6340,91
5212,6512,91
7511,5211,91
4521,7415,90
5540,9271,90
1513,1512,90
8512,8010,89
8010,8512,89
8010,5530,89
5530,7450,89
8010,7414,89
4534,4534,89
5244,5153,88
6512,7031,88
5040,5040,88
7412,8010,87
5146,8511,87
2051,2051,87
3710,3710,87
7486,4100,86
7415,5010,85
5540,7470,85
6523,6512,85
1600,1600,85
2753,2753,85
5530,5510,85
2873,2873,84
5243,5242,84
4521,7470,84
7220,7260,84
9262,9261,83
8532,5211,83
1513,2451,83
5248,5247,82
5212,7450,82
6601,6512,82
5227,5211,82
7514,7514,82
5530,8511,81
6024,5211,81
8030,7310,81
7420,7031,81
5540,5510,81
5242,8511,80
7412,6512,80
2821,2821,80
7260,7222,80
5242,7450,79
7470,5540,79
1821,1821,79
7450,7487,79
6412,7486,79
5030,5020,78
8531,7511,78
201,201,78
1581,5224,78
6522,4533,78
6010,6021,78
5190,5190,78
7450,5540,77
5212,5540,77
6512,6523,77
1512,1513,77
2663,2663,77
3640,3640,77
1120,1120,77
2441,2442,76
9133,8532,76
8042,7450,76
8010,7412,76
8514,7512,76
5118,5118,76
7450,7412,75
7414,7032,75
6512,6720,75
2420,2420,75
5540,8030,74
5164,7220,74
7484,4521,74
4521,7511,74
8010,7415,74
7420,7450,74
5151,2320,74
7412,7530,74
8514,8531,73
7031,7420,73
7414,7450,73
9261,9262,73
5540,5552,73
5522,5522,73
6311,6311,73
8021,8022,72
9271,8010,72
5212,7415,72
8022,8021,72
5166,5188,72
6411,8010,71
7487,8010,71
5511,5530,71
8030,7450,71
7470,7450,71
6512,8511,71
2912,6312,71
8532,8042,71
124,124,71
6021,6023,71
5134,1596,71
4021,4021,71
3220,3320,70
2462,2462,70
5010,7415,70
5248,5164,70
5211,6411,70
8511,5552,70
7414,8010,69
5248,7450,69
9133,6603,69
6603,8511,69
1587,1587,69
7032,8010,68
2020,2020,68
7511,7020,68
7415,6330,68
8030,5211,68
7440,7414,68
4521,4533,68
2414,2430,68
5161,5161,68
7450,7222,68
5530,5242,67
4533,4521,67
7524,7511,67
7420,7484,67
7411,7450,67
8532,9133,67
7032,7414,67
4521,7011,67
6712,6713,67
5540,5212,67
2651,2651,67
4013,7487,67
5211,5010,66
6024,6412,66
7031,6512,66
7032,7031,66
6521,6521,66
8010,9271,66
7240,7240,66
9232,9232,66
1713,1713,66
7411,8010,65
7310,7420,65
5510,5530,65
7220,5164,65
5248,6512,65
5211,5244,65
1920,1920,65
5135,5135,65
3120,3520,65
7523,8010,64
8021,8511,64
6512,7412,64
5540,9262,64
142,142,64
7484,9271,64
2615,2615,64
5211,5246,64
1712,1712,64
4010,4012,64
3320,3530,63
5211,5245,63
7511,7450,63
7415,7450,63
8532,9131,63
5248,5540,63
7420,7310,63
4523,7032,63
7412,6713,63
3140,3140,63
7011,4521,62
9262,7511,62
5211,5247,62
7460,7470,62
5530,6512,62
5246,5211,62
7522,7310,62
3622,3622,62
7511,4521,61
7412,7511,61
5211,6024,61
8021,8532,61
7470,8532,61
7511,9262,61
1552,1552,61
4541,4541,61
1422,1422,61
6512,7511,60
7484,7415,60
1581,7415,60
5540,5248,60
5151,5050,60
130,111,60
5224,1581,60
6512,5540,60
6720,6512,60
8010,7411,60
6712,6523,60
5122,5122,60
5211,4521,59
4523,4521,59
8511,8021,59
3320,7450,59
5552,7450,59
5211,6603,59
8513,8511,59
8511,7020,59
2752,2752,59
5211,6330,59
6411,5211,59
4521,4542,59
5540,8531,58
8042,8021,58
7450,7470,58
8010,9131,58
5244,5211,58
4100,9001,58
5146,2442,57
9000,8010,57
5510,8010,57
7020,8532,57
5540,8532,57
3410,7415,57
5211,7420,57
5162,5162,57
7230,5164,57
7450,6312,57
7031,7032,57
3210,3220,57
8514,2441,57
5523,5522,57
5226,5226,57
9212,9212,57
8041,8041,57
8042,8531,56
5540,7511,56
5245,5247,56
5211,9271,56
1572,1572,56
2614,2614,56
2124,2124,56
5186,5186,56
7530,8010,55
5133,1551,55
7450,7415,55
8532,8021,55
6512,6603,55
7512,7020,55
8030,5540,55
5510,5540,55
7450,4533,55
9253,9253,55
5244,5212,55
3320,3220,55
2622,2622,55
2940,2943,55
7230,7220,54
8022,8532,54
5245,5248,54
5184,5248,54
7414,7412,54
5211,9262,54
8531,5540,54
9262,5540,54
5552,5540,54
5164,5185,54
4011,4012,54
7310,8010,53
2914,3320,53
3320,3614,53
8022,7450,53
8022,8511,53
8532,7020,53
5511,5211,53
6330,5211,53
5153,5154,53
6512,7414,53
7450,7482,53
7450,5212,53
7511,7530,53
7415,3410,53
7320,7320,53
5050,7415,52
5540,7415,52
7222,6420,52
7413,7440,52
4010,8511,52
7414,7413,52
9133,5540,52
5224,5211,52
6512,6522,52
3530,7522,52
7530,7513,52
3001,5185,52
7470,7511,51
9131,8010,51
7513,8010,51
1760,1760,51
5154,5153,51
7450,5530,51
8532,7470,51
1822,5142,51
7511,5540,51
2442,5146,51
5153,5244,51
8511,7414,51
8531,8042,51
8010,6411,51
5211,7524,51
5530,5212,51
5261,5212,51
5020,3410,51
2681,2681,51
7414,7222,51
5511,8010,50
3530,3320,50
3161,3430,50
5248,5245,50
7450,7460,50
7511,7414,50
7470,7032,50
5246,5212,50
1910,1910,50
2734,2734,50
2745,2745,50
7470,8531,49
7511,7220,49
3162,3120,49
7484,7420,49
5511,8511,49
8532,5540,49
6312,5211,49
7450,8042,49
5211,5139,49
7220,7250,49
1721,1721,49
2611,2611,49
5136,5136,49
5211,7487,49
7483,7485,49
8030,8531,48
8531,8030,48
7450,8022,48
5244,8010,48
7230,8010,48
8511,5530,48
5211,7412,48
7134,5540,48
7470,7460,48
2940,2942,48
8532,8022,47
5247,8010,47
7484,8010,47
5261,7415,47
5030,5248,47
7484,7450,47
7032,7470,47
7031,7020,47
7032,7020,47
4533,9133,47
4521,7414,47
7484,7414,47
5242,5243,47
8010,5510,47
7414,7487,47
6512,8030,46
4511,4521,46
9131,8532,46
3410,3430,46
5231,7415,46
4531,7420,46
7415,7484,46
6420,7450,46
7414,7440,46
7020,8511,46
5248,6312,46
6512,7411,46
9262,5211,46
9271,5211,46
5211,7414,46
6713,6712,46
7450,2212,46
3320,7222,46
7470,8030,45
9133,7511,45
9305,8010,45
6412,6024,45
5540,7420,45
5211,8021,45
4521,7484,45
3430,7450,45
7412,7450,45
6720,7412,45
9252,9133,45
7440,7413,45
7415,5540,45
5050,5211,45
6023,6021,45
7020,7032,45
7222,7260,45
4521,4523,45
8532,5250,45
2721,2721,45
5552,8030,44
2416,2442,44
8010,9305,44
7470,7415,44
8030,7420,44
2811,7420,44
5530,7470,44
5226,5211,44
6720,7414,44
6340,6323,44
9233,9233,44
2954,2954,44
6512,7222,44
7220,7221,44
5165,7220,43
7250,7220,43
3002,3320,43
2511,5030,43
8511,8513,43
5242,5530,43
5510,7450,43
5540,6603,43
7484,7412,43
7420,4531,43
2852,2811,43
8030,7414,43
2955,2955,43
7450,5552,43
4521,4511,43
7511,9252,43
125,125,43
7222,7487,43
7511,8022,42
8511,5242,42
5530,5248,42
5530,5511,42
7450,7484,42
1582,1581,42
7415,7470,42
5248,8511,42
7414,6512,42
5211,7460,42
9302,5233,42
8511,5212,42
4521,6321,42
7415,4010,42
2921,2921,42
8532,7487,42
5162,5182,42
4012,4012,42
7011,8531,41
7420,8030,41
8511,8022,41
7487,4521,41
5242,7511,41
2212,8010,41
7522,3530,41
9272,9261,41
6024,7415,41
4532,4525,41
7450,5248,41
5147,5248,41
7470,5530,41
7412,7484,41
7511,7470,41
9262,8511,41
5530,9262,41
5540,7411,41
5510,5211,41
7413,7414,41
7450,7524,41
4521,7032,41
7250,7230,41
7310,7430,41
5274,5274,41
7484,7220,40
7450,7220,40
5245,8010,40
7415,6024,40
7415,3430,40
9301,7415,40
7132,4550,40
5247,5248,40
5211,5050,40
5211,6420,40
7450,6603,40
7511,9133,40
9271,5540,40
5551,6411,40
7220,7230,40
5211,7530,40
1533,1589,40
1583,1583,40
1822,5242,39
5142,5242,39
8042,7511,39
3430,5030,39
3430,7415,39
7511,7420,39
5247,5245,39
7415,5050,39
7450,7440,39
8531,7470,39
7415,6340,39
6713,7412,39
1596,5540,39
7484,6512,39
5211,7411,39
8021,5211,39
8010,7031,39
7414,6713,39
6512,5242,38
4542,4521,38
7413,8010,38
5211,8512,38
7414,7415,38
8531,8021,38
7415,7132,38
6601,5211,38
8511,8042,38
5263,5133,38
9132,9132,38
5540,1596,38
1724,1724,38
8511,7523,38
2415,2415,38
5143,5187,38
5530,8030,37
8514,8030,37
7450,5242,37
5246,8010,37
1581,1582,37
8511,5248,37
1824,1822,37
5272,5245,37
1589,1581,37
7460,7450,37
7487,7450,37
7484,6420,37
5143,5165,37
6340,6312,37
7134,7132,37
7415,6512,37
6512,7524,37
9133,6522,37
5211,6720,37
2221,2221,37
1110,5151,37
6210,6323,37
7420,3410,37
7415,2212,37
7524,7525,37
2231,2231,37
6420,7222,37
5212,8030,36
7420,2852,36
6512,8532,36
7450,8512,36
5530,7415,36
2670,2670,36
5212,6412,36
5511,7450,36
9262,7450,36
7310,7450,36
6010,6340,36
6330,6512,36
5212,5244,36
4531,4533,36
8511,7524,36
7450,6720,36
7484,9220,36
1582,1589,36
8511,7487,36
5248,5184,36
5248,7222,36
7230,7222,36
5530,8531,35
5540,4521,35
2030,4521,35
5010,8010,35
8512,8532,35
6024,5010,35
5540,5010,35
5244,5248,35
7470,8021,35
8010,5511,35
8512,7450,35
7420,7470,35
7524,8511,35
7450,7020,35
5242,5142,35
5211,6312,35
5248,5147,35
8511,6512,35
7412,7411,35
1581,5211,35
5231,5211,35
7415,7414,35
5211,8514,35
7450,6601,35
7020,7011,35
7511,7032,35
7415,1421,35
9500,9500,35
7512,8030,34
6420,8010,34
5020,6024,34
7487,8532,34
2414,7415,34
5211,5511,34
8030,7470,34
4521,7020,34
8511,9133,34
9261,5540,34
8532,7411,34
7483,7411,34
5010,5211,34
8030,8514,34
2923,4533,34
9304,9304,34
2466,2413,34
7032,4523,34
5511,9271,34
7140,5272,34
130,122,34
3662,3662,34
2442,2420,34
2861,2861,34
7487,7222,34
7260,7220,33
7470,5242,33
4523,8010,33
9252,8010,33
5010,6024,33
2521,2524,33
5530,8532,33
3612,3614,33
5020,7450,33
6720,7450,33
3220,6420,33
4521,8511,33
7411,7412,33
8511,9262,33
4521,2811,33
5540,9133,33
5247,6512,33
130,121,33
7133,7133,33
7484,7411,33
3210,3310,33
7460,5211,33
8010,7460,33
5262,5262,33
5020,6522,33
5211,7522,33
2811,4521,32
5212,7511,32
7460,8010,32
7031,8010,32
5243,8010,32
7522,8010,32
5250,8532,32
2463,2463,32
5552,7415,32
2212,7415,32
7415,7420,32
7487,7420,32
9262,5530,32
5212,5530,32
5211,5231,32
5245,7450,32
7440,7450,32
6312,7450,32
6411,7450,32
7222,7450,32
8010,6420,32
7310,8511,32
6601,7412,32
4533,4531,32
7420,2811,32
9213,5540,32
7220,6512,32
7411,6512,32
5147,5211,32
8010,5244,32
7220,7414,32
7511,8042,32
7450,6713,32
6312,5212,32
6512,5212,32
1511,1513,32
8010,9272,32
5212,5246,32
2754,2753,32
2951,2951,32
4524,4524,32
7420,7487,32
7210,7222,32
5184,7222,32
5161,5181,32
8010,9002,32
5242,8030,31
5211,8022,31
8010,5020,31
8511,4521,31
8022,7511,31
4521,6024,31
9305,8532,31
7450,3430,31
2914,3430,31
2522,2521,31
7415,5153,31
5211,5224,31
5212,5245,31
2211,2213,31
5211,6412,31
5010,7450,31
6713,7450,31
7220,6420,31
4531,6420,31
5212,7470,31
7411,8511,31
7523,8511,31
6420,7414,31
5540,8514,31
7415,5212,31
7450,1513,31
1552,1513,31
2630,2630,31
6420,3220,31
3420,3410,31
2417,2417,31
5271,5271,31
2871,2871,31
5117,5117,31
1723,1723,31
7222,5184,31
5185,5185,31
7414,8030,30
5247,5242,30
9272,7511,30
6024,8010,30
7450,3530,30
3210,3320,30
2852,2840,30
5212,5247,30
5147,7450,30
7031,7450,30
7450,2222,30
2123,2222,30
6110,6340,30
7415,8511,30
8042,8511,30
5540,6330,30
6522,6330,30
8030,9262,30
8030,6512,30
9261,5211,30
5225,5211,30
7450,3002,30
5211,6601,30
9262,9304,30
6720,6522,30
7412,6720,30
7414,6720,30
7450,6712,30
1582,1513,30
5511,5552,30
1753,1753,30
8010,7530,30
8511,7530,30
1513,1589,30
6602,6602,30
6210,6220,30
5232,5232,30
502,502,30
5211,5510,30
7412,7487,30
5540,7487,30
8010,7222,30
7512,8531,29
7450,2442,29
6330,8010,29
5540,9261,29
5248,8532,29
7512,8532,29
5242,7415,29
5248,7415,29
4100,7415,29
2852,7420,29
5165,5248,29
2320,5050,29
5211,1581,29
6330,7450,29
3002,7450,29
9271,7450,29
6411,6420,29
2225,2222,29
7511,7412,29
7450,6330,29
7450,9262,29
3162,4531,29
2875,2811,29
5211,9133,29
4521,5540,29
7511,6512,29
6420,6512,29
7222,6512,29
7031,7411,29
4531,7460,29
3310,5146,29
8030,7512,29
5540,7524,29
5211,6021,29
7420,7032,29
7470,5212,29
2222,2112,29
1584,1586,29
3542,3542,29
5137,5137,29
4010,2330,29
3720,3720,29
3002,5184,29
7412,7222,29
8022,8531,28
5242,8531,28
6512,7220,28
5153,4521,28
7450,9305,28
7411,7511,28
5020,8010,28
2112,2121,28
5242,8532,28
2852,3430,28
7420,7415,28
7031,7415,28
8010,5247,28
7414,7484,28
7415,1581,28
5153,7450,28
6603,7450,28
7524,7450,28
7522,7450,28
6512,6420,28
2112,2222,28
5242,7470,28
8030,7412,28
7420,7412,28
4534,4531,28
2416,2414,28
5245,6512,28
8030,7411,28
7420,7411,28
7420,5211,28
5243,5211,28
7522,5211,28
2971,5146,28
7222,7250,28
8532,7512,28
7450,7512,28
7450,7031,28
5211,7031,28
3530,3161,28
5211,5243,28
5243,5212,28
8030,5552,28
6312,1512,28
2442,2441,28
3002,3210,28
8010,9252,28
5242,5116,28
2320,1110,28
8010,9500,28
6420,7486,28
5552,8531,27
5211,5020,27
7414,7220,27
6024,4521,27
2852,4521,27
2222,8010,27
7011,8010,27
6021,8010,27
5261,8010,27
7484,8532,27
8531,8512,27
7470,7420,27
5246,5153,27
5243,5248,27
5248,5530,27
8030,7484,27
8010,7484,27
7020,7484,27
1513,1581,27
7415,6420,27
7414,6420,27
8021,7470,27
5540,7020,27
7450,5147,27
4521,5211,27
5233,5211,27
6603,7414,27
8042,7414,27
7222,7414,27
5211,8042,27
4521,2923,27
5552,5212,27
1581,1513,27
1532,1532,27
7310,2451,27
2523,4545,27
3430,3410,27
2732,2732,27
5211,7523,27
5119,5119,27
5211,7222,27
7485,7485,27
4021,4022,27
5212,8531,26
7484,8030,26
6024,5020,26
3002,7220,26
8532,9305,26
6603,8010,26
6720,8010,26
2852,3530,26
8010,6024,26
5030,6024,26
7414,8532,26
2524,3430,26
8532,8512,26
7450,5010,26
8531,7415,26
7450,6412,26
7415,7440,26
5510,7470,26
5231,8511,26
6411,8511,26
7530,8511,26
5170,5165,26
7487,7412,26
7222,7412,26
5211,4531,26
8030,9133,26
2213,2211,26
5247,5540,26
3320,3110,26
7511,7411,26
8511,7411,26
7414,7411,26
8532,7414,26
7411,7414,26
8511,7310,26
8030,7524,26
7512,7524,26
4542,2030,26
8010,6021,26
6411,7032,26
7450,6522,26
8010,6720,26
8010,9301,26
6024,5261,26
4523,6321,26
8010,4523,26
9261,9272,26
8531,5552,26
2661,1421,26
3230,3220,26
6220,6210,26
1725,1725,26
1722,1722,26
1421,1412,26
6511,6511,26
7450,5510,26
2213,7222,26
9000,9001,26
8021,8531,25
9262,8030,25
8531,8022,25
9000,7511,25
1421,2661,25
2811,2852,25
5212,8532,25
5552,8532,25
3614,3611,25
7450,3320,25
3420,3430,25
7110,5010,25
7132,7415,25
2911,7415,25
3530,7420,25
3320,7420,25
8511,7420,25
6512,5248,25
5540,8021,25
7486,7450,25
2524,2523,25
5245,6420,25
5540,6420,25
2223,2222,25
5242,6330,25
7450,4531,25
7420,5540,25
7411,5540,25
9262,6512,25
9271,6512,25
6720,5211,25
5261,5211,25
7530,5211,25
5190,5139,25
7450,7310,25
7020,7031,25
7450,6021,25
7412,6523,25
6720,6523,25
5248,5243,25
2222,2225,25
1110,2320,25
7511,9272,25
8010,5246,25
7132,7134,25
5211,5133,25
3530,2960,25
8532,7523,25
7530,7523,25
2662,2662,25
8030,7487,25
7460,7487,25
7450,7486,25
5211,7486,25
9133,8030,24
8030,7220,24
7420,7220,24
8030,5242,24
5244,5242,24
7032,4521,24
7514,7511,24
7220,8010,24
3430,8010,24
7222,8010,24
7470,6024,24
7415,8532,24
7513,8532,24
7440,7415,24
6330,7415,24
2811,4525,24
7220,7420,24
4521,4550,24
8514,5248,24
5242,5247,24
8030,5530,24
1581,7450,24
4531,7450,24
6601,7450,24
1513,7450,24
6024,7470,24
5510,8511,24
5248,5165,24
5540,7412,24
8532,9262,24
5248,9262,24
5211,5147,24
5020,5211,24
9133,5211,24
4521,4544,24
5165,5154,24
4531,2922,24
5540,9302,24
5540,7414,24
6601,7414,24
8010,4533,24
7511,6411,24
7450,6411,24
5540,6411,24
2414,2413,24
5170,5233,24
7450,7032,24
2030,4542,24
6720,6713,24
8010,7230,24
7450,7260,24
5540,5246,24
3614,3612,24
3410,2911,24
9234,9234,24
6711,6711,24
7440,7487,24
4011,4011,24
8512,8030,23
7522,8030,23
7020,4521,23
2213,8010,23
5147,8010,23
5139,8010,23
3161,3530,23
5211,9261,23
5540,6024,23
2913,2912,23
4521,8532,23
7411,8532,23
5261,2840,23
7484,5010,23
3110,3120,23
5211,1551,23
7511,7415,23
8511,7415,23
3430,7420,23
7450,5153,23
5246,5248,23
2521,2522,23
5552,8021,23
2222,2213,23
1597,1597,23
8532,5530,23
5246,7450,23
2812,2523,23
7484,6603,23
5212,6603,23
7415,2222,23
2211,2222,23
9262,7470,23
6312,6340,23
7484,8511,23
9133,8511,23
5242,6312,23
5247,2211,23
8532,6512,23
7487,6512,23
5245,5211,23
6412,5211,23
2222,5211,23
7487,7460,23
7310,5146,23
5540,8042,23
7484,6601,23
3130,3161,23
7525,7524,23
4521,2030,23
9232,9231,23
5211,5233,23
