StartIndst,FinalIndust,Counts
8010,8010,33331
8511,8511,25601
5211,5211,16161
6512,6512,13638
7511,7511,10617
8030,8030,7331
4521,4521,6678
7524,7524,5877
8532,8532,4694
8531,8531,4526
7411,7411,4385
6411,6411,4206
7420,7420,4068
6420,6420,4008
8021,8021,3643
7511,8010,3304
7450,7450,3302
6024,6024,3291
5540,5540,3219
5212,5212,3100
5010,5010,3032
5248,5248,2971
7522,7522,2951
5242,5242,2725
7470,7470,2683
6021,6021,2579
7412,7412,2557
7415,7415,2471
8021,8010,2262
6601,6601,2250
8514,8514,2232
6720,6720,2078
7220,7220,2055
6603,6603,2055
5530,5530,2047
8512,8512,2009
7530,7530,1998
8511,8514,1893
6210,6210,1882
3410,3410,1877
2222,2222,1814
5552,5552,1807
3530,3530,1749
7512,7512,1748
7460,7460,1704
8514,8511,1561
7414,7414,1559
8042,8042,1559
6330,6330,1553
7484,7484,1538
5020,5020,1477
8010,7511,1463
4531,4531,1443
8532,8010,1412
7523,7523,1392
5211,7415,1358
4533,4533,1324
5165,5165,1310
9220,9220,1291
5511,5511,1279
4010,4010,1279
5030,5030,1259
8010,8021,1255
3430,3430,1250
5153,5153,1246
9271,9271,1238
8022,8022,1182
3320,3320,1177
7031,7031,1172
7310,7310,1161
5246,5246,1161
2852,2852,1145
7020,7020,1116
6312,6312,1112
7220,7222,1094
5147,5147,1039
9262,9262,1018
5245,5245,1015
2442,2442,1013
4100,4100,995
2212,2212,991
7440,7440,954
8010,8532,951
6522,6522,921
8531,8511,891
5244,5244,890
1581,1581,877
6412,6412,845
1513,1513,843
7222,7222,834
7525,7525,802
5247,5247,801
6340,6340,796
2710,2710,793
5164,5164,789
2524,2524,774
2121,2121,768
8531,8010,758
7230,7230,744
8511,8010,741
5139,5139,738
6010,6010,734
8511,8531,731
8010,8511,730
9133,9133,730
5211,8010,724
5261,5261,690
2213,2213,681
6603,6720,672
8042,8010,653
2811,2811,649
8010,8030,645
7512,8010,635
8030,8010,632
5170,5170,632
9261,9261,630
7484,7487,627
5242,5211,619
5211,5242,615
5231,5231,613
1584,1584,612
9131,9131,611
3120,3120,601
9302,9302,599
9305,9305,593
2912,2912,593
5146,5146,587
2452,2452,585
8531,8532,582
5154,5154,582
5511,5510,578
4523,4523,572
7413,7413,566
4020,4020,566
1582,1582,559
8010,8531,553
7450,8511,551
9000,9000,547
8513,8513,543
7132,7132,534
8010,5211,528
5243,5243,526
6712,6712,526
4525,4525,521
6323,6323,521
7470,8010,519
2523,2523,518
3210,3210,518
2030,2030,516
7032,7032,512
8030,8022,503
6713,6713,500
7512,8511,486
1822,1822,483
8512,8511,479
8010,7512,475
3110,3110,474
8010,8042,474
130,130,472
2922,2922,468
8511,8512,467
5143,5143,462
2924,2924,460
3220,3220,457
8532,8531,455
6321,6321,454
5224,5224,452
2430,2430,450
5134,5134,450
7450,8010,446
5165,5187,445
3614,3614,443
2840,2840,429
7260,7260,425
2452,5212,421
5212,5211,418
2522,2522,415
8511,7450,413
2940,2940,412
7011,7011,410
7511,7523,410
4544,4544,408
2521,2521,405
3002,3002,404
9301,9301,403
2923,2923,402
2211,2211,395
2621,2621,395
7530,7511,380
5050,5050,379
8010,7470,378
6601,6603,376
2875,2875,376
8511,8532,375
8532,8511,373
3230,3230,373
3611,3611,371
5152,5152,369
3162,3162,368
2956,2956,367
3420,3420,366
8030,8511,361
7110,7110,357
5510,5510,352
8511,8030,351
5142,5142,350
6523,6523,348
7513,7513,345
4521,8010,344
6603,6601,344
5540,8010,343
2513,2513,342
7430,7430,342
3310,3310,340
7524,8010,339
7487,7487,339
2112,2112,333
7511,7512,331
3150,3150,329
3612,3612,329
1740,1740,328
5010,5020,322
2971,2971,320
5131,5131,317
7511,7513,317
2851,2851,316
7523,7511,314
8022,8010,314
7140,7140,311
4542,4542,306
6024,6312,305
2414,2414,305
5211,8511,299
6322,6322,299
2914,2914,297
6720,6601,296
3511,3511,293
7134,7134,287
2913,2913,286
8010,7450,285
8520,8520,283
2416,2416,283
5211,7450,281
9252,9252,280
8010,8022,278
2862,2862,277
1551,1551,274
9231,9231,274
7513,7530,268
5170,5190,260
5151,5151,259
2952,2952,258
7250,7250,256
2960,2960,255
5020,5010,254
4522,4522,254
7481,7481,254
5540,5211,249
9251,9251,249
5164,5184,249
5540,5530,247
5133,5133,245
3663,3663,244
4010,4013,244
4013,4013,244
8022,8030,242
2661,2661,242
8021,7511,241
2125,2125,241
1591,1591,240
5211,5540,239
5156,5156,238
5530,5540,238
9112,9112,238
9272,9272,238
5233,5233,236
1533,1533,233
5222,5222,231
6720,6603,231
3001,3001,230
112,112,229
1421,1421,229
1824,1824,228
5242,5212,228
6512,8010,226
1512,1512,225
8010,5540,224
5132,5132,224
7512,7511,222
5530,5211,222
1772,1772,221
1751,1751,219
2442,7310,217
5551,5551,215
7450,6512,214
2451,2451,214
3340,3340,213
7511,9261,211
1596,1596,211
6420,5248,209
3161,3161,209
5247,5147,208
111,111,206
5155,5155,205
5211,5212,205
2751,2751,205
8511,7512,204
1823,1823,203
9133,8010,202
8010,7524,202
2812,2812,201
3130,3130,201
1589,1589,200
7415,5242,199
5552,8010,198
7011,7020,198
1754,1754,198
7310,2442,195
1598,1598,194
9262,8010,193
6110,6110,193
8010,5552,193
9261,7511,192
2466,2466,192
8531,7020,192
1930,1930,191
5164,7222,190
6312,6024,189
6601,6720,189
5211,6512,188
1730,1730,187
6023,6023,187
5242,8010,185
2874,2874,185
4521,7420,184
8030,8042,183
5225,5225,183
9261,8010,182
6220,6220,182
2330,2330,182
2911,2911,180
5187,5187,179
5212,8010,178
2863,2863,177
1520,1520,176
141,141,175
4532,4532,175
7511,8511,174
6603,6512,174
7450,5211,171
9240,9240,171
5250,5250,171
8511,5211,170
5246,5244,170
2613,2613,170
8010,7020,169
5523,5523,169
7450,8532,168
5144,5144,167
9303,9303,167
5261,6412,166
9251,8010,165
2742,2742,165
7420,4521,164
5141,5141,164
2320,2320,164
3520,3520,164
5166,5166,162
1561,1561,162
8532,7511,161
1511,1511,160
8010,7525,159
5540,8511,157
1571,1571,157
7482,7482,156
5263,5263,155
2722,2722,155
8042,8022,154
7420,7414,153
7487,7414,153
4545,4545,153
1110,1110,153
8010,9261,152
9120,9120,151
2464,2464,151
8042,8030,150
2640,2640,150
9111,9111,150
4511,4511,150
8010,9133,149
5121,5121,149
5212,5242,148
5211,7511,148
8532,7450,147
7470,8511,147
8514,8010,146
4550,4550,146
5227,5227,144
5540,7450,144
2972,2972,144
5211,5248,143
8010,9262,143
5241,5241,143
2122,2122,143
2213,2212,143
7450,8531,141
5211,8532,141
4020,4533,141
2412,2412,141
6713,6512,140
2612,2612,139
5211,5530,139
8531,7450,139
5248,6420,139
7511,8531,138
5530,8010,138
5248,5211,138
8010,8514,138
2953,2953,138
7210,7210,138
2215,2215,137
9000,9002,137
5147,5247,136
7415,5211,136
8532,8514,136
7020,8531,135
6512,7450,135
3613,3613,134
7415,4521,133
7450,6420,132
9211,9211,132
7121,7121,131
8511,7470,130
2511,2511,130
1010,1010,129
4020,4021,129
8512,8514,127
7230,7250,127
6512,6712,127
5212,5248,126
7450,8514,125
2872,2872,125
8030,8532,124
7511,8532,124
7483,7483,124
7470,5211,124
8531,8514,124
5145,5145,124
4545,4521,123
5211,7470,122
5540,6512,122
2830,2830,122
5164,7230,122
5114,5114,122
8010,4521,121
7450,4521,121
9272,8010,121
2682,2682,121
7486,7414,121
8010,7032,121
7512,8021,120
2224,2224,120
8010,5242,119
5248,8010,119
8514,8532,119
2413,2413,119
6512,6713,119
2010,2010,119
5211,8531,117
7450,7411,117
6512,5211,117
3330,3330,117
7250,7210,117
1771,1771,117
7525,8010,116
4521,7450,116
5511,5540,116
6522,6512,116
6522,6713,115
2441,2441,115
4521,4545,115
2223,2223,114
