StartIndust,FinalIndust,Counts
8010,8010,45673
8511,8511,35081
5211,5211,19891
6512,6512,18869
7511,7511,13683
8030,8030,9486
4521,4521,8702
7524,7524,8138
8532,8532,6179
8531,8531,5831
6411,6411,5795
7411,7411,5488
7511,8010,5452
6420,6420,5450
7420,7420,5178
8021,8021,4314
7522,7522,4149
5540,5540,4129
6024,6024,3992
7450,7450,3985
8021,8010,3969
5212,5212,3851
5010,5010,3789
7470,7470,3708
5248,5248,3664
5242,5242,3384
6021,6021,3367
7412,7412,3167
8511,8514,3028
8514,8514,3013
7415,7415,3006
6601,6601,2788
6210,6210,2674
7530,7530,2671
6603,6603,2579
6720,6720,2578
8514,8511,2572
8512,8512,2560
7220,7220,2501
5530,5530,2474
8532,8010,2466
5552,5552,2339
8010,7511,2303
7512,7512,2274
3410,3410,2263
2222,2222,2148
3530,3530,2146
7460,7460,2115
6330,6330,1932
8010,8021,1917
8042,8042,1910
7414,7414,1884
7484,7484,1801
4531,4531,1787
7523,7523,1754
5020,5020,1728
9271,9271,1699
4533,4533,1668
4010,4010,1628
5211,7415,1627
9220,9220,1587
5211,5242,1564
5165,5165,1550
5153,5153,1524
5030,5030,1510
5511,5511,1493
8022,8022,1478
3430,3430,1469
5246,5246,1460
7031,7031,1456
3320,3320,1443
7415,5211,1429
7310,7310,1421
8531,8511,1408
7020,7020,1394
8010,8532,1372
4100,4100,1363
2852,2852,1328
6312,6312,1300
7220,7222,1290
8531,8010,1283
2442,2442,1281
9262,9262,1275
5242,5211,1273
5147,5147,1266
5245,5245,1250
2212,2212,1238
8042,8010,1213
7440,7440,1213
6522,6522,1175
7222,7222,1151
8511,8010,1135
7512,8010,1131
7525,7525,1116
5244,5244,1112
8511,8531,1095
6412,6412,1062
2452,5212,1061
8010,8511,1059
1581,1581,1055
5211,8010,1026
1513,1513,1006
6340,6340,990
5247,5247,985
6010,6010,985
8030,8010,969
7230,7230,969
7512,8511,968
2121,2121,965
7413,7413,960
2710,2710,959
8010,8030,930
2524,2524,925
5164,5164,922
9133,9133,909
5139,5139,889
6603,6720,882
8531,8532,879
2213,2213,841
7450,8511,832
5261,5261,828
8512,8511,807
8010,8531,806
8010,8042,803
2912,2912,801
7470,8010,799
9261,9261,792
2811,2811,776
1584,1584,775
9131,9131,775
7484,7487,750
8030,8022,745
4020,4020,743
8532,8531,735
5231,5231,732
5170,5170,725
4523,4523,724
8010,5211,721
5146,5146,719
5154,5154,714
9302,9302,711
3120,3120,708
8010,7512,704
9305,9305,700
7530,7511,690
9000,9000,686
8511,8512,678
6323,6323,676
5511,5510,671
5243,5243,660
8513,8513,654
7132,7132,652
1582,1582,651
6603,6601,646
4521,8010,644
7524,8010,643
4525,4525,638
6712,6712,632
2452,2452,631
7450,8010,616
7032,7032,612
2523,2523,608
2030,2030,608
6713,6713,602
8021,7511,594
8511,7450,593
3210,3210,590
8532,8511,588
7511,7523,585
8511,8532,584
6321,6321,579
2922,2922,572
5143,5143,567
3110,3110,566
7511,7512,565
7511,7513,562
5224,5224,556
130,130,556
1822,1822,554
8010,7470,553
5134,5134,552
2430,2430,551
5212,5211,546
2924,2924,537
3220,3220,535
3614,3614,525
8030,8511,524
8511,8030,514
6601,6603,514
5165,5187,512
7260,7260,506
9301,9301,500
2940,2940,498
4544,4544,489
2522,2522,487
2840,2840,482
7011,7011,475
2621,2621,474
8022,8030,468
2211,2211,468
5540,8010,462
3611,3611,461
8010,8022,459
8022,8010,459
2923,2923,456
2521,2521,451
6024,6312,451
7487,7487,451
5010,5020,450
3002,3002,449
7110,7110,449
6720,6601,445
2875,2875,441
5510,5510,437
5050,5050,434
3420,3420,429
3162,3162,427
5142,5142,427
3230,3230,424
5152,5152,423
6523,6523,423
7513,7530,423
7430,7430,423
2956,2956,417
3310,3310,417
7513,7513,417
7011,7020,413
2513,2513,407
7140,7140,405
5211,8511,404
7523,7511,403
5020,5010,399
3150,3150,396
3612,3612,394
6720,6603,389
1740,1740,386
2112,2112,384
2851,2851,379
6322,6322,374
8010,7450,373
5131,5131,369
2442,7310,368
7512,7511,366
9252,9252,364
2971,2971,363
7511,9261,362
8520,8520,361
4542,4542,357
7134,7134,352
2414,2414,346
8511,7512,345
9133,8010,344
9261,8010,343
5540,5211,343
5211,7450,342
4020,4533,341
3511,3511,337
2914,2914,333
9231,9231,332
6512,8010,330
9251,8010,330
5530,5540,327
4522,4522,326
2913,2913,326
5151,5151,326
7250,7250,325
5540,5530,324
9261,7511,320
2416,2416,319
5242,5212,319
4010,4013,318
6601,6720,317
2862,2862,314
5233,5233,312
4013,4013,312
5211,5540,311
1551,1551,310
2960,2960,310
9262,8010,307
9251,9251,306
7481,7481,305
8010,7525,305
8010,5540,301
5530,5211,300
7511,8511,299
1591,1591,299
2952,2952,297
2661,2661,295
1533,1533,295
9112,9112,295
7450,6512,292
1751,1751,291
5170,5190,291
5552,8010,290
8010,7524,289
7415,5242,288
5156,5156,287
8030,8042,286
5222,5222,285
8532,7511,283
3663,3663,283
112,112,283
5164,5184,282
8010,5552,281
6420,5248,280
7511,8532,278
3001,3001,278
9272,9272,277
5133,5133,277
8531,7020,276
5261,6412,275
5211,6512,275
1824,1824,275
2125,2125,275
5247,5147,273
1421,1421,267
5132,5132,266
5211,5212,266
1596,1596,265
8010,7020,261
3340,3340,260
111,111,259
5187,5187,257
7420,7414,254
1512,1512,254
3161,3161,252
2451,2451,251
1772,1772,250
7511,8531,246
2213,2212,246
6312,6024,245
5155,5155,245
8511,5211,244
5551,5551,239
5212,8010,238
1598,1598,237
8010,9261,236
2812,2812,236
1823,1823,236
1589,1589,236
6220,6220,236
7450,8532,235
6110,6110,233
5242,8010,230
3130,3130,230
8042,8030,229
4521,7420,229
7310,2442,228
2751,2751,227
7420,4521,226
5164,7222,226
7525,8010,225
6023,6023,225
1754,1754,225
6713,6512,221
7470,8511,219
5225,5225,219
2466,2466,218
8042,8022,217
141,141,217
7450,5211,217
1730,1730,216
3520,3520,216
6603,6512,215
8532,7450,214
5540,8511,214
2874,2874,214
5164,7230,214
1520,1520,213
8514,8010,212
1930,1930,212
4532,4532,212
2330,2330,212
2863,2863,211
9240,9240,211
5212,5242,210
8010,9133,209
9303,9303,209
7487,7414,208
2613,2613,207
5144,5144,206
6512,6713,206
5250,5250,206
8531,7450,205
1561,1561,205
5523,5523,205
8010,8514,204
5246,5244,202
5211,7511,201
7020,8531,200
7511,7524,199
8512,8514,198
2320,2320,198
7310,8030,197
7415,4521,197
7512,8514,197
2742,2742,196
8010,9262,195
8532,8514,195
9111,9111,195
1511,1511,195
7482,7482,194
9120,9120,194
5166,5166,192
5263,5263,192
2911,2911,192
5551,8010,191
8531,8514,191
1571,1571,191
5248,5211,190
7470,5211,189
5530,8010,188
2464,2464,188
8021,8030,187
5141,5141,187
5211,8532,186
4511,4511,186
7450,8531,185
7230,7511,185
5540,7450,184
8010,7032,184
7230,8010,182
5241,5241,182
6601,6512,181
7470,5552,180
5211,5248,178
1110,1110,177
9000,9002,177
8030,8532,176
5212,5248,176
8511,6603,176
8021,8042,175
5184,5184,175
4021,4021,175
2122,2122,174
4545,4545,174
8514,8532,173
4550,4550,173
7511,8021,173
5227,5227,173
