,sic_code,SubActivity
0,0111,Growing of cereals and other crops n.e.c.
1,0112,"Growing of vegetables, horticultural specialities and nursery products"
10,0113,"Growing of wine grapes and table grapes and production of wine from self - produced grapes, Growing of other fruit, nuts, beverage and spice crops"
23,0201,Forestry and logging
25,0121,"Farming of cattle, dairy farming"
27,0122,"Farming of sheep, goats, horses, asses, mules and hinnies"
28,0125,Other farming of animals
30,0123,Farming of swine
31,0124,Farming of poultry
34,0130,Growing of crops combined with farming of animals (mixed farming)
35,0141,Agricultural service activities; landscape gardening
36,0142,"Farm animal boarding and care,Animal husbandry service activities except veterinary activities n.e.c."
38,9272,Other recreational activities not elsewhere classified
46,0150,"Hunting, trapping and game propagation, including related service activities"
53,0202,Forestry and logging related service activities
54,7414,"Business and management consultancy activities, n.e.c."
55,0501,Fishing
58,0502, Fish farming
61,1010,Deep coal mines Open cast coal working
63,1020,Mining and agglomeration of lignite
64,1110,Extraction of crude petroleum and natural gas
66,1310,Mining of iron ores
67,1200,Mining of uranium and thorium ores
68,1320,"Mining of non-ferrous metal ores, except uranium and thorium ores"
69,1411,Quarrying of  ornamental and building stone
70,1412,"Quarrying of limestone, gypsum and chalk"
71,1413,Quarrying of slate
72,1421,Operation of gravel and sand pits
73,1422,Mining of clays and kaolin
74,1430,Mining of chemical and fertilizer minerals
75,1030,Extraction and agglomeration of peat
76,1440,Production of salt
77,1450,Other mining and quarrying n.e.c.
79,1120,"Service activities incidental to oil and gas extraction, excluding surveying"
95,1511,"Slaughtering of animals other than poultry and rabbits,Animal by-product processing,Fellmongery"
98,1512,Production and preserving of poultry meat
100,1513,"Bacon and ham production,Other meat and poultry meat processing"
102,1520,Freezing of fish Other fish processing and preserving
104,1531,Processing and preserving of potatoes
105,1532,Manufacture of fruit and vegetable juice
107,1533,Processing and preserving of fruit and vegetables n.e.c.
108,5131,Wholesale of fruit and vegetables
110,1541,Manufacture of crude oils and fats
111,1542,Manufacture of refined oils and fats
112,1543,Manufacture of margarine and similar edible fats
113,1551,"Liquid milk and cream production,Butter and cheese production Manufacture of other milk products"
116,1552,Manufacture of ice cream
117,1561,"Grain milling, Manufacture of breakfast cereals and cereals-based food"
119,1562,Manufacture of starches and starch products
120,1581,Manufacture of bread; manufacture of fresh pastry goods and cakes
121,1582,Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes
122,1585,"Manufacture of macaroni, noodles, couscous and similar farinaceous products"
123,1583,Manufacture of sugar
124,1584,Manufacture of cocoa and  chocolate confectionery Manufacture of sugar confectionery
126,1586,Tea processing Production of coffee and coffee substitutes
129,1587,Manufacture of condiments and seasonings
135,1588,Manufacture of homogenized food preparations and dietetic food
143,1589,Manufacture of soups Manufacture of other food products n.e.c.
145,1571,Manufacture of prepared feeds for farm animals
146,1572,Manufacture of prepared pet foods
147,1591,Manufacture of distilled potable alcoholic beverages
148,1592,Production of ethyl alcohol from fermented materials
149,5134,"Wholesale of wine, beer, spirits and other alcoholic beverages"
151,1593,Manufacture of wine of fresh grapes and grape juice Manufacture of wine based on concentrated grape must
154,1594,Manufacture of cider and perry Manufacture of other fermented fruit beverages
156,1595,Manufacture of other non-distilled fermented beverages
157,1596,Manufacture of beer
158,1597,Manufacture of malt
159,1598,Production of mineral waters and soft drinks
160,1600,Manufacture of tobacco products
161,1711,Preparation and spinning of cotton-type fibres
162,1712,Preparation and spinning of woollen-type fibres
163,1713,Preparation and spinning of worsted-type fibres
164,1714,Preparation and spinning of flax-type fibres
165,1715,"Throwing and preparation of silk, including from noils, and throwing and texturing of synthetic or artificial filament yarns"
166,1716,Manufacture of sewing threads
167,1717,Preparation and spinning of other textile fibres
168,1721,Cotton-type weaving
169,1722,Woollen-type weaving
170,1723,Worsted-type weaving
171,1724,Silk-type weaving
172,1725,Other textile weaving
173,1730,Finishing of textiles
174,5274,Repair n.e.c.
175,1760,Manufacture of knitted and crocheted fabrics
176,1740,"Manufacture of soft furnishings, manufacture of canvas goods, sacks, etc.,Manufacture of household textiles"
179,1751,Manufacture of woven/tufted/other carpets and rugs
182,1752,"Manufacture of cordage, rope, twine and netting"
183,1753,"Manufacture of non-wovens and articles made from non-wovens, except apparel"
184,1754,Manufacture of narrow fabricsManufacture of other textiles n.e.c.Manufacture of lace
189,3663,Other manufacturing n.e.c.
190,1810,Manufacture of leather clothes
191,1821,Manufacture of workwear
192,1822,Manufacture of other men's outerwear Manufacture of other women's outerwear
194,1823,Manufacture of men's underwear Manufacture of women's underwear
196,1771,Manufacture of knitted and crocheted hosiery
197,1824,Manufacture of hats Cut make and trim for clothing manufacturers Manufacture of other wearing apparel and accessories n.e.c.
200,1830,Dressing and dyeing of fur; manufacture of articles of fur
202,1772,"Manufacture of knitted and crocheted pullovers, cardigans and similar articles"
204,1910,Tanning and dressing of leather
205,1920,"Manufacture of luggage, handbags and the like, saddlery and harness"
207,1930,Manufacture of footwear
209,2010,Sawmilling and planing of wood; impregnation of wood
210,2020,"Manufacture of veneer sheets; manufacture of plywood, laminboard, particle board, fibre board and other panels and boards"
211,2030,Manufacture of builders' carpentry and joinery
213,2040,Manufacture of wooden containers
215,2051,Manufacture of other products of wood
216,2052,"Manufacture of articles of cork, straw and plaiting materials"
218,2111,Manufacture of pulp
219,2112,"Manufacture of paper and paperboard, cartons, boxes and cases of corrugated paper and paperboard,and similar containers of paper and paperboard specifically designed for carrying liquids, whether or not waxed"
224,2121,Manufacture of other containers
226,2122,Manufacture of household and sanitary goods and of toilet requisites
227,2123,Manufacture of paper stationery
228,2222,Other printing
229,2124,Manufacture of wallpaper
230,2125,Manufacture of unprinted labels Manufacture of other articles of paper and paperboard n.e.c. Manufacture of printed labels
233,2221,Printing of newspapers
236,2222,Other printing
237,2224,Pre-press activities
238,2225,Ancillary activities related to printing
239,2223,Bookbinding
240,2231,Reproduction of sound recording
241,2232,Reproduction of video recording
242,2233,Reproduction of computer media
243,2310,Manufacture of coke oven products
244,2414,Manufacture of other organic basic chemicals
245,1010,Manufacture of solid fuel
248,2320,Mineral oil refining
249,2320,Other treatment of petroleum products (excluding petrochemicals manufacture)
250,2411,Manufacture of industrial gases
251,2412,Manufacture of dyes and pigments
252,2330,Processing of nuclear fuel
253,2413,Manufacture of other inorganic basic chemicals
256,2415,Manufacture of fertilizers and nitrogen compounds
257,2416,Manufacture of plastics in primary forms
258,2417,Manufacture of synthetic rubber in primary forms
259,2420,Manufacture of pesticides and other agro-chemical products
260,2430,"Manufacture of paints, varnishes and similar coatings, Manufacture of mastics and sealants,Manufacture of printing ink"
263,2451,"Manufacture of soap and detergents,  cleaning and polishing preparations , perfumes and toilet preparations"
267,2461,Manufacture of explosives
269,2462,Manufacture of glues and gelatines
270,2463,Manufacture of essential oils
272,2464,Manufacture of photographic chemical material
273,2466,Manufacture of other chemical products n.e.c.
274,2470,Manufacture of man-made fibres
275,2441,Manufacture of basic pharmaceutical products
277,2442,Manufacture of medicaments
278,2511,Manufacture of rubber tyres and tubes
279,2512,Retreading and rebuilding of rubber tyres
281,2513,Manufacture of other rubber products
282,3662,Manufacture of brooms and brushes
284,2521,"Manufacture of plastic plates, sheets, tubes and profiles"
285,2522,Manufacture of plastic packing goods
286,2523,"Manufacture of plastic floor covering,Manufacture of other builders' ware of plastic"
290,2524,Manufacture of other plastic products
292,2611,Manufacture of flat glass
293,2612,Shaping and processing of flat glass
294,2613,Manufacture of hollow glass
295,2614,Manufacture of glass fibres
296,2615,"Manufacture and processing of other glass, including technical glassware"
297,2626,Manufacture of refractory ceramic products
298,2630,Manufacture of ceramic tiles and flags
299,2640,"Manufacture of bricks, tiles and construction products, in baked clay"
300,2621,Manufacture of ceramic household and ornamental articles
301,2622,Manufacture of ceramic sanitary fixtures
302,2623,Manufacture of ceramic insulators and insulating fittings
303,2624,Manufacture of other technical ceramic products
304,3162,Manufacture of other electrical equipment n.e.c.
305,2625,Manufacture of other ceramic products
306,2651,Manufacture of cement
307,2652,Manufacture of lime
308,2653,Manufacture of plaster
309,2661,Manufacture of concrete products for construction purposes
310,2662,Manufacture of plaster products for construction purposes
311,2663,Manufacture of ready-mixed concrete
312,2664,Manufacture of mortars
313,2665,Manufacture of fibre cement
314,2666,"Manufacture of other articles of concrete, plaster and cement"
315,2670,"Cutting, shaping and finishing of ornamental and building stone"
316,2681,Production of abrasive products
317,2682,manufacture of asbestos
318,2682,Manufacture of other non-metallic mineral products n.e.c.
319,2710,Manufacture of basic iron and steel and of ferro-alloys
320,2722,Manufacture of steel tubes
321,2731,Cold drawing
322,2732,Cold rolling of narrow strip
323,2733,Cold forming or folding
324,2811,Manufacture of metal structures and parts of structures
325,2734,Wire drawing
326,2741,Precious metals production
327,2742,Aluminium production
328,2743,"Lead, zinc and tin production"
329,2744,Copper production
330,2745,Other non-ferrous metal production
332,2721,Manufacture of cast iron tubes
333,2751,Casting of iron
334,2752,Casting of steel
335,2753,Casting of light metals
336,2754,Casting of other non-ferrous metals
338,2812,Manufacture of builders' carpentry and joinery of metal
339,2822,Manufacture of central heating radiators and boilers
340,2821,"Manufacture of tanks, reservoirs and containers of metal"
341,2830,"Manufacture of steam generators, except central heating hot water boilers"
342,2960,Manufacture of weapons and ammunition
343,2840,"Forging, pressing, stamping and roll forming of metal; powder metallurgy"
344,2851,Treatment and coating of metals
345,2852,General mechanical engineering
346,2861,Manufacture of cutlery
347,2875,Manufacture of other fabricated metal products n.e.c.
348,2863,Manufacture of locks and hinges
350,2862,Manufacture of tools
351,2956,Manufacture of other special purpose machinery n.e.c.
352,2871,Manufacture of steel drums and similar containers
353,2872,Manufacture of light metal packaging
354,2873,Manufacture of wire products
355,2874,"Manufacture of fasteners, screw machine products, chain and springs"
362,3110,"Manufacture of electric motors, generators and transformers"
363,3120,Manufacture of electricity distribution and control apparatus
364,3130,Manufacture of insulated wire and cable
365,3210,Manufacture of electronic valves and tubes and other electronic components
366,3230,"Manufacture of television and radio receivers, sound or video recording or reproducing apparatus and associated goods"
368,3002,Manufacture of computers and other information processing equipment
371,3220,Manufacture of telegraph and telephone apparatus and equipment
372,3220,Manufacture of radio and electronic capital goods
377,3650,"Manufacture of other games and toys, n.e.c."
379,3320,"Manufacture of electronic instruments and appliances for measuring, checking, testing, navigating and other purposes, except industrial process control equipment"
380,3330,Manufacture of electronic industrial process control equipment
382,3320,"Manufacture of non-electronic instruments and appliances for measuring, checking, testing, navigating and other purposes, except industrial process control equipment"
383,3330,Manufacture of non-electronic industrial process control equipment
384,3350,Manufacture of watches and clocks
385,3310,Manufacture of medical and surgical equipment and orthopaedic appliances
387,3340,Manufacture of spectacles and unmounted lenses
388,3340,Manufacture of optical precision instruments
390,3320,"Manufacture of non-electronic instruments and appliances for measuring, checking, testing, navigating and other purposes, except industrial process control equipment"
392,3340,Manufacture of photographic and cinematographic equipment
393,2465,Manufacture of prepared unrecorded media
397,3140,"Manufacture of accumulators, primary cells and primary batteries"
404,3150,Manufacture of lighting equipment and electric lamps
405,3161,Manufacture of electrical equipment for engines and vehicles n.e.c.
407,2971,Manufacture of electric domestic appliances
408,2972,Manufacture of non-electric domestic appliances
409,2943,Manufacture of other machine tools n.e.c.
414,2912,Manufacture of pumps and compressors
415,2911,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines"
416,3430,Manufacture of parts and accessories for motor vehicles and their engines
417,2912,Manufacture of pumps
418,2912,Manufacture of compressors
419,2913,Manufacture of taps and valves
420,2914,"Manufacture of bearings, gears, gearing and driving elements"
425,2921,Manufacture of furnaces and furnace burners
428,2922,Manufacture of lifting and handling equipment
429,3550,Manufacture of other transport equipment n.e.c.
430,3001,Manufacture of office machinery
432,3612,Manufacture of other office and shop furniture
433,2941,Manufacture of portable hand held power tools
434,2923,Manufacture of non-domestic cooling and ventilation equipment
436,2924,Manufacture of other general purpose machinery n.e.c.
439,2931,Manufacture of agricultural tractors
440,2932,Manufacture of other agricultural and forestry machinery
441,2953,"Manufacture of machinery for food, beverage and tobacco processing"
443,2942,Manufacture of other metalworking machine tools
447,2951,Manufacture of machinery for metallurgy
449,2952,Manufacture of machinery for mining
450,2952,Manufacture of earthmoving equipment
451,3410,Manufacture of motor vehicles
452,2952,Manufacture of equipment for concrete crushing and screening and roadworks
454,2954,"Manufacture of machinery for textile, apparel and leather production"
456,2955,Manufacture of machinery for paper and paperboard production
462,3530,Manufacture of aircraft and spacecraft
463,3650,Manufacture of professional and arcade games and toys
466,3420,Manufacture of bodies (coachwork) for motor vehicles (except caravans)
467,3420,Manufacture of trailers and semi-trailers
468,3420,Manufacture of caravans
472,3611,Manufacture of chairs and seats
473,3511,Building and repairing of ships
475,3512,Building and repairing of pleasure and sporting boats
477,3520,Manufacture of railway and tramway locomotives and rolling stock
484,3541,Manufacture of motorcycles
485,3542,Manufacture of bicycles
486,3543,Manufacture of invalid carriages
493,3613,Manufacture of other kitchen furniture
494,3615,Manufacture of mattresses
496,3614,Manufacture of other furniture
497,3621,Striking of coins
499,3622,Manufacture of jewellery and related articles n.e.c.
501,3661,Manufacture of imitation jewellery
502,3630,Manufacture of musical instruments
503,3640,Manufacture of sports goods
507,2442,Manufacture of non-medicaments
521,2211,Publishing of books
527,3663,Manufacture of miscellaneous stationers' goods
543,2912,Manufacture of pumps
564,7250,"Maintenance and repair of office, accounting and computing machinery"
592,1740,"Manufacture of canvas goods, sacks, etc."
666,4011,Production of electricity
667,4012,Transmission of electricity
668,4013,Distribution and trade of electricity
670,4021,Manufacture of gas
671,4022,Distribution and trade of gaseous fuels through mains
673,4030,Steam and hot water supply
674,4100,"Collection, purification and distribution of water"
675,9001,Collection and treatment of sewage
676,9002,Collection and treatment of other waste
677,9003,"Sanitation, remediation and similar activities"
686,3710,Recycling of metal waste and scrap
688,3720,Recycling of non-metal waste and scrap
690,7011,Development and selling of real estate
694,4521,Construction of commercial buildings
695,4523,"Construction of motorways, roads, airfields and sport facilities"
699,4521,Construction of domestic buildings
702,4521,Construction of civil engineering constructions
706,4524,Construction of water projects
707,4525,Other construction work involving special trades
712,4511,Demolition and wrecking of buildings; earth moving
714,4512,Test drilling and boring
715,4531,Installation of electrical wiring and fittings
716,4534,Other building installation
719,4533,Plumbing
722,4532,Insulation work activities
724,4541,Plastering
728,4542,Joinery installation
729,4543,Floor and wall covering
730,4544,Painting and glazing
732,4545,Other building completion
734,4522,Erection of roof covering and frames
741,4550,Renting of construction or demolition equipment with operator
742,5010,Sale of new and used motor vehicles
746,5020,Maintenance and repair of motor vehicles
747,5030,Sale of motor vehicle parts and accessories
749,5040,"Sale, maintenance and repair of motorcycles and related parts and accessories"
750,5111,"Agents involved in the sale of agricultural raw materials, live animals, textile raw materials and semi-finished goods"
751,5112,"Agents involved in the sale of fuels, ores, metals and industrial chemicals"
752,5113,Agents involved in the sale of timber and building materials
753,5114,"Agents involved in the sale of machinery, industrial equipment, ships and aircraft"
754,5115,"Agents involved in the sale of furniture, household goods, hardware and ironmongery"
755,5116,"Agents involved in the sale of textiles, clothing, footwear and leather goods"
756,5117,"Agents involved in the sale of food, beverages and tobacco"
757,5118,Agents specializing in the sale of particular products or ranges of products n.e.c.
758,5119,Agents involved in the sale of a variety of goods
759,5121,"Wholesale of grain, seeds and animal feeds"
760,5125,Wholesale of unmanufactured tobacco
761,5122,Wholesale of flowers and plants
762,5123,Wholesale of live animals
763,5124,Wholesale of furskins
764,5124,"Wholesale of hides, skins and leather n.e.c."
766,5138,"Wholesale of other food, including fish, crustaceans and molluscs"
767,5132,Wholesale of meat and meat products
768,5133,"Wholesale of dairy produce, Wholesale of eggs,edible oils and fats"
