"","StartIndst","FinalIndst","weight","SubActivity_StartIndst","SubActivity_FinalIndst","MainActivity_StartIndst","MainActivity_FinalIndst","MainIndustry_StartIndst","MainIndustry_FinalIndst","Counts"
"1","8520","8520",1,"Primary","Primary","Education","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",11774
"2","8610","8520",-0.628637101507878,"Hospital activities","Primary","Human health activities","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",154
"3","6419","8520",-0.734882369968184,"Other monetary intermediation","Primary","Financial, insurance, pension","Education","Business services","Government administrative functions, Education, Health",70
"4","4711","8520",-0.287717841780105,"Food, beverages, tobacco mainly","Primary","Non specialised retail stores","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",313
"5","5310","8520",-0.809988910612145,"Under universal service obligation","Primary","Postal, courier activities","Education","Transportation and Storage","Government administrative functions, Education, Health",18
"6","8424","8520",-0.508438276835909,"Police, public order, safety activ.","Primary","Central/Local Gov. administration","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",29
"7","4771","8520",-0.347691881898848,"Clothing","Primary","Specialised retail - other","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",142
"8","7820","8520",-0.415268753303061,"Temporary employment agencies","Primary","Employment activities","Education","Business services","Government administrative functions, Education, Health",226
"9","5610","8520",-0.545454135559716,"Restaurants, mobile food service","Primary","Food, beverage service","Education","Other Service activities","Government administrative functions, Education, Health",82
"10","8411","8520",0.5621344888339,"General public administration","Primary","Central/Local Gov. administration","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",900
"11","8690","8520",-0.559981336167318,"Other","Primary","Human health activities","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",77
"12","8121","8520",-0.0877142776905641,"General cleaning of buildings","Primary","Buildings, landscape activities","Education","Business services","Government administrative functions, Education, Health",207
"13","8542","8520",-0.187793818537325,"Tertiary","Primary","Education","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",102
"14","8899","8520",0.170808900868496,"Other","Primary","Non residential social work","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",293
"15","4719","8520",-0.40561858990646,"Other non specialised","Primary","Non specialised retail stores","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",69
"16","6910","8520",-0.509042207079862,"Legal activities","Primary","Legal and accounting activities","Education","Business services ","Government administrative functions, Education, Health",23
"17","4120","8520",-0.626988282247688,"Residential, non-residential buildings","Primary","Construction of buildings","Education","Construction (including development of real estate)","Government administrative functions, Education, Health",35
"18","5621","8520",-0.276839188012584,"Event catering","Primary","Food, beverage service","Education","Other Service activities","Government administrative functions, Education, Health",90
"19","6190","8520",-0.691934047146135,"Other","Primary","Telecommunications","Education","Information and Communication","Government administrative functions, Education, Health",18
"20","7112","8520",-0.574296509240803,"Engineering/tech consultancy","Primary","Architectural, eng/tech testing","Education","Business services","Government administrative functions, Education, Health",35
"21","5630","8520",-0.233753163705009,"Beverage serving","Primary","Food, beverage service","Education","Other Service activities","Government administrative functions, Education, Health",127
"22","6920","8520",-0.322719254798558,"Accounting, auditing; tax consltcy","Primary","Legal and accounting activities","Education","Business services","Government administrative functions, Education, Health",43
"23","4931","8520",-0.691327245508547,"Urban/suburban passenger transport","Primary","Land, pipeline transport","Education","Transportation and Storage","Government administrative functions, Education, Health",10
"24","6820","8520",-0.193858652679885,"Renting, operating own or leased ","Primary","Real estate activities","Education","Business services ","Government administrative functions, Education, Health",63
"25","4511","8520",-0.658144161910459,"Sale of cars, light motor vehicles","Primary","Motor vehicle/cycle trade, repair","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",14
"26","8010","8520",-0.659343078773053,"Private security","Primary","Security, investigation activities","Education","Business services","Government administrative functions, Education, Health",12
"27","6202","8520",-0.717502171802884,"Consultancy activities","Primary","Computer programming, consultancy","Education","Information and Communication","Government administrative functions, Education, Health",13
"28","5221","8520",-0.537395472663655,"Incidental inland service","Primary","Warehousing, transport support","Education","Transportation and Storage","Government administrative functions, Education, Health",10
"29","4941","8520",-0.764511619064579,"Road freight transport","Primary","Land, pipeline transport","Education","Transportation and Storage","Government administrative functions, Education, Health",10
"30","8810","8520",-0.123394511132399,"Elderly, disabled","Primary","Non residential social work","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",105
"31","8790","8520",-0.119036317676923,"Other","Primary","Residential care activities","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",120
"32","9200","8520",-0.236400864983153,"Gambling, betting activities","Primary","Gambling, betting","Education","Other Service activities","Government administrative functions, Education, Health",29
"33","8532","8520",0.150235049589537,"Technical, vocational secondary","Primary","Education","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",124
"34","6622","8520",-0.646802595017363,"Insurance agents/brokers activities","Primary","Auxiliary financial services","Education","Business services","Government administrative functions, Education, Health",11
"35","8531","8520",0.701932404346555,"General secondary","Primary","Education","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",413
"36","5510","8520",-0.403031043696501,"Hotels and similar","Primary","Accommodation","Education","Other Service activities","Government administrative functions, Education, Health",45
"37","7022","8520",-0.426726865023142,"Business, other management","Primary","Head offices; mgment consultancy","Education","Business services","Government administrative functions, Education, Health",38
"38","8730","8520",-0.234015726614865,"Elderly, disabled","Primary","Residential care activities","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",97
"39","4299","8520",-0.526190491005132,"Other civil engineering nec","Primary","Civil engineering","Education","Construction (including development of real estate)","Government administrative functions, Education, Health",20
"40","8423","8520",-0.368503949646978,"Justice, judicial activities","Primary","Central/Local Gov. administration","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",33
"41","8710","8520",-0.441534305133033,"Residential nursing care","Primary","Residential care activities","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",42
"42","4321","8520",-0.548055534670279,"Electrical installation","Primary","Specialised activities","Education","Construction (including development of real estate)","Government administrative functions, Education, Health",18
"43","8110","8520",-0.0952325367083714,"Combined facilities support","Primary","Buildings, landscape activities","Education","Business services","Government administrative functions, Education, Health",61
"44","4754","8520",-0.410766370703684,"Electrical household appliances","Primary","Specialised retail - household","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",10
"45","8891","8520",0.360362587501145,"Child day-care","Primary","Non residential social work","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",165
"46","8621","8520",-0.339244843229044,"General medical practices","Primary","Human health activities","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",32
"47","8559","8520",0.101089332655522,"Other education nec","Primary","Other education","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",86
"48","6209","8520",-0.58988635070194,"Other","Primary","Computer programming, consultancy","Education","Information and Communication","Government administrative functions, Education, Health",12
"49","8412","8520",-0.444059262736171,"Health care, education etc","Primary","Central/Local Gov. administration","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",37
"50","4520","8520",-0.403267951899176,"Maintenance/repair of vehicles","Primary","Motor vehicle/cycle trade, repair","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",13
"51","6831","8520",-0.36548949596219,"Agencies fee/contract basis","Primary","Real estate activities","Education","Business services ","Government administrative functions, Education, Health",14
"52","8425","8520",0.439538532178142,"Fire service activities","Primary","Central/Local Gov. administration","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",40
"53","6629","8520",-0.565441126868819,"Other insurance & pension services","Primary","Auxiliary financial services","Education","Business services ","Government administrative functions, Education, Health",15
"54","7810","8520",-0.0805788489856245,"Employment placement agencies","Primary","Employment activities","Education","Business services","Government administrative functions, Education, Health",52
"55","4752","8520",-0.162674280850064,"Hardware, paints, glass","Primary","Specialised retail - household","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",23
"56","4778","8520",-0.283046688058029,"Other new goods","Primary","Specialised retail - other","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",22
"57","9311","8520",0.217349947604459,"Operation of sports facilities","Primary","Sports activities and recreation","Education","Other Service activities","Government administrative functions, Education, Health",61
"58","6832","8520",0.310884695053074,"Managament of fee/contract basis","Primary","Real estate activities","Education","Business services ","Government administrative functions, Education, Health",89
"59","8299","8520",-0.247598220238614,"Other","Primary","Office admin, business support","Education","Business services","Government administrative functions, Education, Health",36
"60","9499","8520",0.262403966977284,"Other nec","Primary","Membership organisations activities","Education","Other Service activities","Government administrative functions, Education, Health",72
"61","4759","8520",-0.082254012672529,"Furniture, lighting, other","Primary","Specialised retail - household","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",16
"62","4772","8520",-0.345519888919841,"Footwear, leather goods","Primary","Specialised retail - other","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",17
"63","9312","8520",0.148450799851011,"Activities of sport clubs","Primary","Sports activities and recreation","Education","Other Service activities","Government administrative functions, Education, Health",63
"64","5813","8520",0.135141174723455,"Newspapers","Primary","Publishing activities","Education","Information and Communication","Government administrative functions, Education, Health",30
"65","4773","8520",-0.153285043161909,"Dispensing chemist","Primary","Specialised retail - other","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",12
