MainIndustry,MainActivity,SubActivity,SIC2007
"Manufacture coke, petroleum, chemicals, pharmaceuticals","Chemicals, chemical products",Dyes and pigments,2012
"Manufacture coke, petroleum, chemicals, pharmaceuticals","Chemicals, chemical products",Other inorganic basic chemicals,2013
"Manufacture coke, petroleum, chemicals, pharmaceuticals","Chemicals, chemical products",Other organic basic chemicals,2014
"Manufacture coke, petroleum, chemicals, pharmaceuticals","Chemicals, chemical products",Fertilisers and nitrogen compounds,2015
"Manufacture coke, petroleum, chemicals, pharmaceuticals","Chemicals, chemical products",Plastics in primary forms,2016
"Manufacture coke, petroleum, chemicals, pharmaceuticals","Chemicals, chemical products",Synthetic rubber in primary forms,2017
"Manufacture coke, petroleum, chemicals, pharmaceuticals","Chemicals, chemical products","Pesticides, other agrochemical",2020
"Manufacture coke, petroleum, chemicals, pharmaceuticals","Chemicals, chemical products","Paints, varnishes, printing ink etc",2030
"Manufacture coke, petroleum, chemicals, pharmaceuticals","Chemicals, chemical products",Explosives,2051
"Manufacture coke, petroleum, chemicals, pharmaceuticals","Chemicals, chemical products",Glues,2052
"Manufacture coke, petroleum, chemicals, pharmaceuticals","Chemicals, chemical products",Essential oils,2053
"Manufacture coke, petroleum, chemicals, pharmaceuticals","Chemicals, chemical products",Other chemical products nec,2059
"Manufacture coke, petroleum, chemicals, pharmaceuticals","Chemicals, chemical products",Man-made fibres,2060
"Manufacture coke, petroleum, chemicals, pharmaceuticals","Chemicals, chemical products","Soap and detergents, cleaning",2041
"Manufacture coke, petroleum, chemicals, pharmaceuticals","Chemicals, chemical products","Perfumes, toilet preparations",2042
"Manufacture coke, petroleum, chemicals, pharmaceuticals",Basic pharmaceutical products,Basic pharmaceutical products,2110
"Manufacture coke, petroleum, chemicals, pharmaceuticals",Basic pharmaceutical products,Pharmaceutical preparations,2120
"Manufacture computer, electronic, light electrical","Computer, electronic, optical",Electronic components,2611
"Manufacture computer, electronic, light electrical","Computer, electronic, optical",Loaded electronic boards,2612
"Manufacture computer, electronic, light electrical","Computer, electronic, optical","Computers, peripheral equipment",2620
"Manufacture computer, electronic, light electrical","Computer, electronic, optical",Communication equipment,2630
"Manufacture computer, electronic, light electrical","Computer, electronic, optical",Consumer electronics,2640
"Manufacture computer, electronic, light electrical","Computer, electronic, optical","Measuring, testing appliances",2651
"Manufacture computer, electronic, light electrical","Computer, electronic, optical",Watches and clocks,2652
"Manufacture computer, electronic, light electrical","Computer, electronic, optical","Irradiation, electromedical equip",2660
"Manufacture computer, electronic, light electrical","Computer, electronic, optical","Optical, photographic equip",2670
"Manufacture computer, electronic, light electrical","Computer, electronic, optical",Magnetic and optical media,2680
"Manufacture computer, electronic, light electrical",Electrical equipment,"Electric motors, generators etc",2711
"Manufacture computer, electronic, light electrical",Electrical equipment,"Electricity distn, control apparatus",2712
"Manufacture computer, electronic, light electrical",Electrical equipment,"Batteries, accumulators",2720
"Manufacture computer, electronic, light electrical",Electrical equipment,Fibre optic cables,2731
"Manufacture computer, electronic, light electrical",Electrical equipment,"Other electronic, electric wires",2732
"Manufacture computer, electronic, light electrical",Electrical equipment,Wiring devices,2733
"Manufacture computer, electronic, light electrical",Electrical equipment,Electric lighting equipment,2740
"Manufacture computer, electronic, light electrical",Electrical equipment,Electric domestic appliances,2751
"Manufacture computer, electronic, light electrical",Electrical equipment,Non-electric domestic appliances,2752
"Manufacture computer, electronic, light electrical",Electrical equipment,Other electrical equipment,2790
"Manufacture machinery, vehicle, transport",General machinery,"Engines, turbines",2811
"Manufacture machinery, vehicle, transport",General machinery,Fluid power equipment,2812
"Manufacture machinery, vehicle, transport",General machinery,"Other pumps, compressors",2813
"Manufacture machinery, vehicle, transport",General machinery,"Other taps, valves",2814
"Manufacture machinery, vehicle, transport",General machinery,"Bearings, gears, driving elements",2815
"Manufacture machinery, vehicle, transport",General machinery,"Ovens, furnaces",2821
"Manufacture machinery, vehicle, transport",General machinery,"Lifting, handling equipment",2822
"Manufacture machinery, vehicle, transport",General machinery,"Office machinery, equipment",2823
"Manufacture machinery, vehicle, transport",General machinery,Power-driven hand tools,2824
"Manufacture machinery, vehicle, transport",General machinery,Non-domestic cooling/ventilation eq,2825
"Manufacture machinery, vehicle, transport",General machinery,Other,2829
"Manufacture machinery, vehicle, transport",Special purpose machinery,"Metal forming m/c, machine tools",2840
"Manufacture machinery, vehicle, transport",Special purpose machinery,Metal forming machinery,2841
"Manufacture machinery, vehicle, transport",Special purpose machinery,Other machine tools,2849
"Manufacture machinery, vehicle, transport",Special purpose machinery,Machinery for metallurgy,2891
"Manufacture machinery, vehicle, transport",Special purpose machinery,"Mining, quarrying, construction",2892
"Manufacture machinery, vehicle, transport",Special purpose machinery,"Food, beverage, tobacco processing",2893
"Manufacture machinery, vehicle, transport",Special purpose machinery,"Textile, apparel, leather production",2894
"Manufacture machinery, vehicle, transport",Special purpose machinery,"Paper, paperboard production",2895
"Manufacture machinery, vehicle, transport",Special purpose machinery,"Plastics, rubber machinery",2896
"Manufacture machinery, vehicle, transport",Special purpose machinery,Other,2899
"Manufacture machinery, vehicle, transport",Special purpose machinery,"Agricultural, forestry machinery",2830
"Manufacture machinery, vehicle, transport","Motor vehicles,trailers/semitrailer",Manufacture of motor vehicles,2910
"Manufacture machinery, vehicle, transport","Motor vehicles,trailers/semitrailer","Motor vehicle coachwork,trailer",2920
"Manufacture machinery, vehicle, transport","Motor vehicles,trailers/semitrailer","Motor vehicle parts, accessories",2930
"Manufacture machinery, vehicle, transport","Motor vehicles,trailers/semitrailer",Motor vehicle electrical/electronic,2931
"Manufacture machinery, vehicle, transport","Motor vehicles,trailers/semitrailer",Motor vehicle other parts,2932
"Manufacture machinery, vehicle, transport",Other transport equipment,Ships and floating structures,3011
"Manufacture machinery, vehicle, transport",Other transport equipment,Pleasure and sporting boats,3012
"Manufacture machinery, vehicle, transport",Other transport equipment,"Railway locomotives, rolling stock",3020
"Manufacture machinery, vehicle, transport",Other transport equipment,"Air, spacecraft and related m/c",3030
"Manufacture machinery, vehicle, transport",Other transport equipment,Military fighting vehicles,3040
"Manufacture machinery, vehicle, transport",Other transport equipment,Motorcycles,3091
"Manufacture machinery, vehicle, transport",Other transport equipment,"Bicycles, invalid carriages",3092
"Manufacture machinery, vehicle, transport",Other transport equipment,Other transport equipment nec,3099
Machinery repair excluding motor vehicles,Repair/installation excl. household,Fabricated metal products,3311
Machinery repair excluding motor vehicles,Repair/installation excl. household,Machinery,3312
Machinery repair excluding motor vehicles,Repair/installation excl. household,"Electronic, optical equipment",3313
Machinery repair excluding motor vehicles,Repair/installation excl. household,Electrical equipment,3314
Machinery repair excluding motor vehicles,Repair/installation excl. household,Ships and boats,3315
Machinery repair excluding motor vehicles,Repair/installation excl. household,Aircraft and spacecraft,3316
Machinery repair excluding motor vehicles,Repair/installation excl. household,Transport equipment nec,3317
Machinery repair excluding motor vehicles,Repair/installation excl. household,Other equipment,3319
Machinery repair excluding motor vehicles,Repair/installation excl. household,"Industrial machinery, equipment",3320
All other Manufacturing,"Wood,cork, straw,plaiting materials","Sawmilling, planing of wood",1610
All other Manufacturing,"Wood,cork, straw,plaiting materials",Products of these materials,1620
All other Manufacturing,"Wood,cork, straw,plaiting materials","Veneer sheets, wood-based panels",1621
All other Manufacturing,"Wood,cork, straw,plaiting materials",Assembled parquet floors,1622
All other Manufacturing,"Wood,cork, straw,plaiting materials","Other builders  carpentry, joinery",1623
All other Manufacturing,"Wood,cork, straw,plaiting materials",Wooden containers,1624
All other Manufacturing,"Wood,cork, straw,plaiting materials",Other products,1629
All other Manufacturing,Paper and paper products,Pulp,1711
All other Manufacturing,Paper and paper products,"Paper, paperboard",1712
All other Manufacturing,Paper and paper products,"Corrugated paper, containers",1721
All other Manufacturing,Paper and paper products,"Household, sanitary, toilet goods",1722
All other Manufacturing,Paper and paper products,Paper stationery,1723
All other Manufacturing,Paper and paper products,Wallpaper,1724
All other Manufacturing,Paper and paper products,Other,1729
All other Manufacturing,Printing,"Printing,related service activities",1810
All other Manufacturing,Printing,Newspapers,1811
All other Manufacturing,Printing,Other,1812
All other Manufacturing,Printing,"Pre-press, pre-media services",1813
All other Manufacturing,Printing,"Binding, related services",1814
All other Manufacturing,Reproduction of recorded media,Reproduction of recorded media,1820
All other Manufacturing,Rubber and plastic products,"Rubber tyres, tubes, retreading",2211
All other Manufacturing,Rubber and plastic products,Other rubber,2219
All other Manufacturing,Rubber and plastic products,"Plastic plates, sheets, tubes etc",2221
All other Manufacturing,Rubber and plastic products,Plastic packing goods,2222
All other Manufacturing,Rubber and plastic products,Builders' ware of plastic,2223
All other Manufacturing,Rubber and plastic products,Other plastic,2229
All other Manufacturing,Glass products,Flat glass manufacture,2311
All other Manufacturing,Glass products,"Flat glass shaping, processing",2312
All other Manufacturing,Glass products,Hollow glass,2313
All other Manufacturing,Glass products,Glass fibres,2314
All other Manufacturing,Glass products,Other,2319
All other Manufacturing,Porcelain and ceramic products,Other,2340
All other Manufacturing,Porcelain and ceramic products,"Ceramic household, ornamental",2341
All other Manufacturing,Porcelain and ceramic products,Ceramic sanitary fixtures,2342
All other Manufacturing,Porcelain and ceramic products,"Ceramic insulators,insulating",2343
All other Manufacturing,Porcelain and ceramic products,Other technical ceramic products,2344
All other Manufacturing,Porcelain and ceramic products,Other ceramic products,2349
All other Manufacturing,"Concrete, cement and plaster",Concrete products for construction,2361
All other Manufacturing,"Concrete, cement and plaster",Plaster products for construction,2362
All other Manufacturing,"Concrete, cement and plaster",Ready-mixed concrete,2363
All other Manufacturing,"Concrete, cement and plaster",Mortars,2364
All other Manufacturing,"Concrete, cement and plaster",Fibre cement,2365
All other Manufacturing,"Concrete, cement and plaster",Other,2369
All other Manufacturing,Other non-metallic mineral products,Refractory products,2320
All other Manufacturing,Other non-metallic mineral products,Ceramic tiles and flags,2331
All other Manufacturing,Other non-metallic mineral products,"Bricks, tiles etc in baked clay",2332
All other Manufacturing,Other non-metallic mineral products,Cement,2351
All other Manufacturing,Other non-metallic mineral products,"Lime, plaster",2352
All other Manufacturing,Other non-metallic mineral products,"Stone cutting, shaping, finishing",2370
All other Manufacturing,Other non-metallic mineral products,Abrasive products,2391
All other Manufacturing,Other non-metallic mineral products,Non-metallic mineral nec,2399
All other Manufacturing,Basic metals,"Iron, steel, ferro-alloys",2410
All other Manufacturing,Basic metals,"Steel tubes,pipes,hollow profiles",2420
All other Manufacturing,Basic metals,Other first processing of steel,2430
All other Manufacturing,Basic metals,Cold drawing of bars,2431
All other Manufacturing,Basic metals,Cold rolling of narrow strip,2432
All other Manufacturing,Basic metals,"Cold forming, folding",2433
All other Manufacturing,Basic metals,Cold drawing of wire,2434
All other Manufacturing,Basic metals,Precious metals,2441
All other Manufacturing,Basic metals,Aluminium,2442
All other Manufacturing,Basic metals,"Lead, zinc and tin",2443
All other Manufacturing,Basic metals,Copper,2444
All other Manufacturing,Basic metals,Other non-ferrous metal,2445
All other Manufacturing,Basic metals,Nuclear fuel processing,2446
All other Manufacturing,Casting of metals,Iron,2451
All other Manufacturing,Casting of metals,Steel,2452
All other Manufacturing,Casting of metals,Light metals,2453
All other Manufacturing,Casting of metals,Other non-ferrous,2454
All other Manufacturing,"Cutlery, tools, general hardware",Cutlery,2571
All other Manufacturing,"Cutlery, tools, general hardware","Locks, hinges",2572
All other Manufacturing,"Cutlery, tools, general hardware",Tools,2573
All other Manufacturing,Other fabricated metal products,"Metal structures, parts of",2511
All other Manufacturing,Other fabricated metal products,"Doors, windows",2512
All other Manufacturing,Other fabricated metal products,"Central heating radiators, boilers",2521
All other Manufacturing,Other fabricated metal products,"Other tanks, reservoirs, containers",2529
All other Manufacturing,Other fabricated metal products,Steam generators,2530
All other Manufacturing,Other fabricated metal products,"Weapons, ammunition",2540
All other Manufacturing,Other fabricated metal products,"Forging, pressing, roll-forming etc",2550
All other Manufacturing,Other fabricated metal products,Treatment and coating of metals,2561
All other Manufacturing,Other fabricated metal products,Machining,2562
All other Manufacturing,Other fabricated metal products,"Steel drums, similar containers",2591
All other Manufacturing,Other fabricated metal products,Light metal packaging,2592
All other Manufacturing,Other fabricated metal products,"Wire products, chain,springs",2593
All other Manufacturing,Other fabricated metal products,"Fasteners, screw machine products",2594
All other Manufacturing,Other fabricated metal products,Other fabricated metal products nec,2599
All other Manufacturing,Furniture,"Office, shop furniture",3101
All other Manufacturing,Furniture,Kitchen furniture,3102
All other Manufacturing,Furniture,Mattresses,3103
All other Manufacturing,Furniture,Other,3109
All other Manufacturing,Other manufacturing,"Jewellery, bijouterie, related",3210
All other Manufacturing,Other manufacturing,Striking of coins,3211
All other Manufacturing,Other manufacturing,"Jewellery, related articles",3212
All other Manufacturing,Other manufacturing,"Imitation jewellery, related",3213
All other Manufacturing,Other manufacturing,Musical instruments,3220
All other Manufacturing,Other manufacturing,Sports goods,3230
All other Manufacturing,Other manufacturing,"Games, toys",3240
All other Manufacturing,Other manufacturing,"Medical, dental instruments",3250
All other Manufacturing,Other manufacturing,Other manufacturing,3290
All other Manufacturing,Other manufacturing,"Brooms, brushes",3291
All other Manufacturing,Other manufacturing,Other manufacturing nec,3299
"Utilities, sewerage, waste and recycling","Electricity, gas, steam, air con",Electricity production,3511
"Utilities, sewerage, waste and recycling","Electricity, gas, steam, air con",Electricity transmission,3512
"Utilities, sewerage, waste and recycling","Electricity, gas, steam, air con",Electricity distribution,3513
"Utilities, sewerage, waste and recycling","Electricity, gas, steam, air con",Trade of electricity,3514
"Utilities, sewerage, waste and recycling","Electricity, gas, steam, air con",Gas manufacture,3521
"Utilities, sewerage, waste and recycling","Electricity, gas, steam, air con",Mains gaseous fuels distribution,3522
"Utilities, sewerage, waste and recycling","Electricity, gas, steam, air con",Trade of mains gas,3523
"Utilities, sewerage, waste and recycling","Electricity, gas, steam, air con","Steam, air conditioning supply",3530
"Utilities, sewerage, waste and recycling",Water and sewerage,"Water collection, treatment, supply",3600
"Utilities, sewerage, waste and recycling",Water and sewerage,Sewerage,3700
"Utilities, sewerage, waste and recycling",Waste,Non-hazardous waste collection,3811
"Utilities, sewerage, waste and recycling",Waste,Hazardous waste collection,3812
"Utilities, sewerage, waste and recycling",Waste,"Non-hazardous treatment, disposal",3821
"Utilities, sewerage, waste and recycling",Waste,"Hazardous treatment, disposal",3822
"Utilities, sewerage, waste and recycling",Materials recovery/recycling,Dismantling of wrecks,3831
"Utilities, sewerage, waste and recycling",Materials recovery/recycling,Recovery of sorted materials,3832
"Utilities, sewerage, waste and recycling",Other,"Remediation, waste, decontaminationetc",3900
Construction (including development of real estate),Construction of buildings,Building projects development,4110
Construction (including development of real estate),Construction of buildings,"Residential, non-residential buildings",4120
Construction (including development of real estate),Civil engineering,"Roads, motorways",4211
Construction (including development of real estate),Civil engineering,"Railways, underground railways",4212
Construction (including development of real estate),Civil engineering,"Bridges, tunnels",4213
Construction (including development of real estate),Civil engineering,Utility - fluids,4221
Construction (including development of real estate),Civil engineering,"Utility - electricity, telecomms",4222
Construction (including development of real estate),Civil engineering,Water projects,4291
Construction (including development of real estate),Civil engineering,Other civil engineering nec,4299
Construction (including development of real estate),Specialised activities,Demolition,4311
Construction (including development of real estate),Specialised activities,Site preparation,4312
Construction (including development of real estate),Specialised activities,"Test drilling, boring",4313
Construction (including development of real estate),Specialised activities,Electrical installation,4321
Construction (including development of real estate),Specialised activities,"Plumbing, heat, air con inst",4322
Construction (including development of real estate),Specialised activities,Other construction installation,4329
Construction (including development of real estate),Specialised activities,Plastering,4331
Construction (including development of real estate),Specialised activities,Joinery installation,4332
Construction (including development of real estate),Specialised activities,"Floor, wall covering",4333
Construction (including development of real estate),Specialised activities,"Painting, glazing",4334
Construction (including development of real estate),Specialised activities,"Other building completion,finishing",4339
Construction (including development of real estate),Specialised activities,Roofing activities,4391
Construction (including development of real estate),Specialised activities,Other,4399
"Wholesale and retail,motor vehicle repair,sale of fuel","Motor vehicle/cycle trade, repair","Sale of cars, light motor vehicles",4511
"Wholesale and retail,motor vehicle repair,sale of fuel","Motor vehicle/cycle trade, repair",Sale of other motor vehicles,4519
"Wholesale and retail,motor vehicle repair,sale of fuel","Motor vehicle/cycle trade, repair",Maintenance/repair of vehicles,4520
"Wholesale and retail,motor vehicle repair,sale of fuel","Motor vehicle/cycle trade, repair","Wholesale trade parts, accessories",4531
"Wholesale and retail,motor vehicle repair,sale of fuel","Motor vehicle/cycle trade, repair","Retail trade parts, accessories",4532
"Wholesale and retail,motor vehicle repair,sale of fuel","Motor vehicle/cycle trade, repair","Motorcycle sale, repair",4540
"Wholesale and retail,motor vehicle repair,sale of fuel",Fee/contract - wholesale,"Agriculture, animals, raw goods",4611
"Wholesale and retail,motor vehicle repair,sale of fuel",Fee/contract - wholesale,"Fuels, ores, metals, ind. chemicals",4612
"Wholesale and retail,motor vehicle repair,sale of fuel",Fee/contract - wholesale,"Timber, building materials",4613
"Wholesale and retail,motor vehicle repair,sale of fuel",Fee/contract - wholesale,"Machinery, industrial equipment",4614
"Wholesale and retail,motor vehicle repair,sale of fuel",Fee/contract - wholesale,"Furniture, household goods",4615
"Wholesale and retail,motor vehicle repair,sale of fuel",Fee/contract - wholesale,"Textiles, clothing, leather goods",4616
"Wholesale and retail,motor vehicle repair,sale of fuel",Fee/contract - wholesale,"Food, beverages,tobacco",4617
"Wholesale and retail,motor vehicle repair,sale of fuel",Fee/contract - wholesale,Other particular products,4618
"Wholesale and retail,motor vehicle repair,sale of fuel",Fee/contract - wholesale,Variety of goods,4619
"Wholesale and retail,motor vehicle repair,sale of fuel",Agricultural wholesale,"Grain, tobacco, seeds, animal feeds",4621
"Wholesale and retail,motor vehicle repair,sale of fuel",Agricultural wholesale,"Flowers, plants",4622
"Wholesale and retail,motor vehicle repair,sale of fuel",Agricultural wholesale,Live animals,4623
"Wholesale and retail,motor vehicle repair,sale of fuel",Agricultural wholesale,"Hides, skins, leather",4624
"Wholesale and retail,motor vehicle repair,sale of fuel","Food, beverages, tobacco wholesale",Fruit and vegetables,4631
"Wholesale and retail,motor vehicle repair,sale of fuel","Food, beverages, tobacco wholesale","Meat, meat products",4632
"Wholesale and retail,motor vehicle repair,sale of fuel","Food, beverages, tobacco wholesale",Dairy products,4633
"Wholesale and retail,motor vehicle repair,sale of fuel","Food, beverages, tobacco wholesale",Beverages,4634
"Wholesale and retail,motor vehicle repair,sale of fuel","Food, beverages, tobacco wholesale",Tobacco products,4635
"Wholesale and retail,motor vehicle repair,sale of fuel","Food, beverages, tobacco wholesale","Sugar, chocolate",4636
