MainIndustry,MainActivity,SubActivity,SIC2007
"Agriculture, Forestry, Fishing, Veterinary",Growing crops,"Cereals, leguminous crops, oilseeds",0111
"Agriculture, Forestry, Fishing, Veterinary",Growing crops,Rice,0112
"Agriculture, Forestry, Fishing, Veterinary",Growing crops,"Vegetables, melons, roots, tubers",0113
"Agriculture, Forestry, Fishing, Veterinary",Growing crops,Sugar cane,0114
"Agriculture, Forestry, Fishing, Veterinary",Growing crops,Tobacco,0115
"Agriculture, Forestry, Fishing, Veterinary",Growing crops,Fibre crops,0116
"Agriculture, Forestry, Fishing, Veterinary",Growing crops,Other non-perennial crops,0119
"Agriculture, Forestry, Fishing, Veterinary",Growing crops,Grapes,0121
"Agriculture, Forestry, Fishing, Veterinary",Growing crops,Tropical and subtropical fruits,0122
"Agriculture, Forestry, Fishing, Veterinary",Growing crops,Citrus fruits,0123
"Agriculture, Forestry, Fishing, Veterinary",Growing crops,Pome fruits and stone fruits,0124
"Agriculture, Forestry, Fishing, Veterinary",Growing crops,"Other tree, bush fruits, nuts",0125
"Agriculture, Forestry, Fishing, Veterinary",Growing crops,Oleaginous fruits,0126
"Agriculture, Forestry, Fishing, Veterinary",Growing crops,Beverage,0127
"Agriculture, Forestry, Fishing, Veterinary",Growing crops,"Spices, drug, pharmaceutical",0128
"Agriculture, Forestry, Fishing, Veterinary",Growing crops,Other perennial,0129
"Agriculture, Forestry, Fishing, Veterinary","Crop, plant support activities",Crop production support activities,0161
"Agriculture, Forestry, Fishing, Veterinary","Crop, plant support activities",Post-harvest crop activities,0163
"Agriculture, Forestry, Fishing, Veterinary","Crop, plant support activities",Seed propogation for propogation,0164
"Agriculture, Forestry, Fishing, Veterinary","Crop, plant support activities",Plant propagation,0130
"Agriculture, Forestry, Fishing, Veterinary","Animal production, hunting",Raising of dairy cattle,0141
"Agriculture, Forestry, Fishing, Veterinary","Animal production, hunting","Raising of other cattle, buffaloes",0142
"Agriculture, Forestry, Fishing, Veterinary","Animal production, hunting","Raising of horses, equines",0143
"Agriculture, Forestry, Fishing, Veterinary","Animal production, hunting","Raising of camels, camelids",0144
"Agriculture, Forestry, Fishing, Veterinary","Animal production, hunting","Raising of sheep, goats",0145
"Agriculture, Forestry, Fishing, Veterinary","Animal production, hunting","Raising of swine, pigs",0146
"Agriculture, Forestry, Fishing, Veterinary","Animal production, hunting",Raising of poultry,0147
"Agriculture, Forestry, Fishing, Veterinary","Animal production, hunting",Raising of other animals,0149
"Agriculture, Forestry, Fishing, Veterinary","Animal production, hunting",Mixed farming,0150
"Agriculture, Forestry, Fishing, Veterinary","Animal production, hunting",Animal production support activities,0162
"Agriculture, Forestry, Fishing, Veterinary","Animal production, hunting","Hunting, trapping, related activities",0170
"Agriculture, Forestry, Fishing, Veterinary",Forestry and logging,"Silviculture, other forestry activities",0210
"Agriculture, Forestry, Fishing, Veterinary",Forestry and logging,Logging,0220
"Agriculture, Forestry, Fishing, Veterinary",Forestry and logging,Gathering wild growing non-wood,0230
"Agriculture, Forestry, Fishing, Veterinary",Forestry and logging,Support services to forestry,0240
"Agriculture, Forestry, Fishing, Veterinary",Fishing and aquaculture,Marine fishing,0311
"Agriculture, Forestry, Fishing, Veterinary",Fishing and aquaculture,Freshwater fishing,0312
"Agriculture, Forestry, Fishing, Veterinary",Fishing and aquaculture,Marine aquaculture,0321
"Agriculture, Forestry, Fishing, Veterinary",Fishing and aquaculture,Freshwater aquaculture,0322
"Agriculture, Forestry, Fishing, Veterinary",Veterinary activities,Veterinary activities,7500
"Mining, Quarrying (inc extraction of petroleum and gas)",Mining of coal and lignite,Hard coal,0510
"Mining, Quarrying (inc extraction of petroleum and gas)",Mining of coal and lignite,Ignite,0520
"Mining, Quarrying (inc extraction of petroleum and gas)","Crude petroleum, natural gas",Crude petroleum extraction,0610
"Mining, Quarrying (inc extraction of petroleum and gas)","Crude petroleum, natural gas",Natural gas extraction,0620
"Mining, Quarrying (inc extraction of petroleum and gas)",Mining of metal ores,Iron,0710
"Mining, Quarrying (inc extraction of petroleum and gas)",Mining of metal ores,Non ferrous,0720
"Mining, Quarrying (inc extraction of petroleum and gas)",Mining of metal ores,Uranium and thorium ores,0721
"Mining, Quarrying (inc extraction of petroleum and gas)",Mining of metal ores,Other non-ferrous,0729
"Mining, Quarrying (inc extraction of petroleum and gas)","Mining, Quarrying and other","Ornamental, building stone etc",0811
"Mining, Quarrying (inc extraction of petroleum and gas)","Mining, Quarrying and other","Gravel, sand pits; clays, kaolin",0812
"Mining, Quarrying (inc extraction of petroleum and gas)","Mining, Quarrying and other","Mining of chemical, fertiliser minerals",0891
"Mining, Quarrying (inc extraction of petroleum and gas)","Mining, Quarrying and other",Extraction of peat,0892
"Mining, Quarrying (inc extraction of petroleum and gas)","Mining, Quarrying and other",Extraction of salt,0893
"Mining, Quarrying (inc extraction of petroleum and gas)","Mining, Quarrying and other",Other mining and quarrying nec,0899
"Mining, Quarrying (inc extraction of petroleum and gas)",Mining support activities,"Petroleum, natural gas extraction",0910
"Mining, Quarrying (inc extraction of petroleum and gas)",Mining support activities,Other mining and quarrying,0990
"Manufacture food, drink, tobacco","Food products - meat, fish","Meat processing, preserving",1011
"Manufacture food, drink, tobacco","Food products - meat, fish","Poultry meat processing, preserving",1012
"Manufacture food, drink, tobacco","Food products - meat, fish","Meat, poultry meat production",1013
"Manufacture food, drink, tobacco","Food products - meat, fish","Fish processing, preserving",1020
"Manufacture food, drink, tobacco","Food products - fruit, vegetables","Potato processing, preserving",1031
"Manufacture food, drink, tobacco","Food products - fruit, vegetables","Fruit, vegetable juice",1032
"Manufacture food, drink, tobacco","Food products - fruit, vegetables","Other fruit, vegetable",1039
"Manufacture food, drink, tobacco",Food products - other,"Oil, fat manufacture",1041
"Manufacture food, drink, tobacco",Food products - other,"Margarine, edible fats",1042
"Manufacture food, drink, tobacco",Food products - other,"Dairies, cheese making",1051
"Manufacture food, drink, tobacco",Food products - other,Ice cream,1052
"Manufacture food, drink, tobacco",Food products - other,Grain mill products,1061
"Manufacture food, drink, tobacco",Food products - other,Starches and starch products,1062
"Manufacture food, drink, tobacco",Food products - other,"Bread; pastry goods, cakes",1071
"Manufacture food, drink, tobacco",Food products - other,"Rusks, biscuits; preserved pastry",1072
"Manufacture food, drink, tobacco",Food products - other,"Pasta, other farinaceous",1073
"Manufacture food, drink, tobacco",Food products - other,Sugar,1081
"Manufacture food, drink, tobacco",Food products - other,"Cocoa, choc, sugar confectionery",1082
"Manufacture food, drink, tobacco",Food products - other,"Tea, coffee processing",1083
"Manufacture food, drink, tobacco",Food products - other,Condiments and seasonings,1084
"Manufacture food, drink, tobacco",Food products - other,Prepared meals and dishes,1085
"Manufacture food, drink, tobacco",Food products - other,Homogenised/dietetic food,1086
"Manufacture food, drink, tobacco",Food products - other,Other food products nec,1089
"Manufacture food, drink, tobacco",Food products - other,Prepared farm animals feeds,1091
"Manufacture food, drink, tobacco",Food products - other,Prepared pet foods,1092
"Manufacture food, drink, tobacco",Beverages,"Spirits distilling, rectifying etc",1101
"Manufacture food, drink, tobacco",Beverages,Wine from grape,1102
"Manufacture food, drink, tobacco",Beverages,"Cider, other fruit wines",1103
"Manufacture food, drink, tobacco",Beverages,Other non-distilled fermented,1104
"Manufacture food, drink, tobacco",Beverages,Beer,1105
"Manufacture food, drink, tobacco",Beverages,Malt,1106
"Manufacture food, drink, tobacco",Beverages,Soft drinks; waters,1107
"Manufacture food, drink, tobacco",Tobacco,Tobacco products,1200
"Manufacture textiles, leather",Textiles ,"Textile fibres preparation, spinning",1310
"Manufacture textiles, leather",Textiles ,Weaving of textiles,1320
"Manufacture textiles, leather",Textiles ,Finishing of textiles,1330
"Manufacture textiles, leather",Textiles ,Knitted and crocheted fabrics,1391
"Manufacture textiles, leather",Textiles ,Made-up textile exc apparel,1392
"Manufacture textiles, leather",Textiles ,Carpets and rugs,1393
"Manufacture textiles, leather",Textiles ,"Cordage, rope, twine, netting",1394
"Manufacture textiles, leather",Textiles ,Non-wovens exc. apparel,1395
"Manufacture textiles, leather",Textiles ,"Other technical, industrial textiles",1396
"Manufacture textiles, leather",Textiles ,Other textiles nec,1399
"Manufacture textiles, leather",Wearing apparel,"Other wearing apparel, accessories",1419
"Manufacture textiles, leather",Wearing apparel,Articles of fur,1420
"Manufacture textiles, leather",Wearing apparel,"Knitted, crocheted hosiery",1431
"Manufacture textiles, leather",Wearing apparel,"Other knitted, crocheted",1439
"Manufacture textiles, leather",Wearing apparel,Leather clothes,1411
"Manufacture textiles, leather",Wearing apparel,Workwear,1412
"Manufacture textiles, leather",Wearing apparel,Other outerwear,1413
"Manufacture textiles, leather",Wearing apparel,Underwear,1414
"Manufacture textiles, leather",Leather goods,"Leather tanning, dressing",1510
"Manufacture textiles, leather",Leather goods,Dyeing of fur,1511
"Manufacture textiles, leather",Leather goods,"Luggage, handbags, bridlewear",1512
"Manufacture textiles, leather",Leather goods,Footwear,1520
"Manufacture coke, petroleum, chemicals, pharmaceuticals","Coke, refined petroleum",Coke oven products,1910
"Manufacture coke, petroleum, chemicals, pharmaceuticals","Coke, refined petroleum",Refined petroleum products,1920
"Manufacture coke, petroleum, chemicals, pharmaceuticals","Chemicals, chemical products",Industrial gases,2011
