"","StartIndst","FinalIndst","weight","SubActivity_StartIndst","SubActivity_FinalIndst","MainActivity_StartIndst","MainActivity_FinalIndst","MainIndustry_StartIndst","MainIndustry_FinalIndst","Counts"
"61","4711","8520",-0.37909498104321,"Food, beverages, tobacco mainly","Primary","Non specialised retail stores","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",306
"62","5610","8520",-0.617631970983707,"Restaurants, mobile food service","Primary","Food, beverage service","Education","Other Service activities","Government administrative functions, Education, Health",102
"63","6419","8520",-0.787096369531237,"Other monetary intermediation","Primary","Financial, insurance, pension","Education","Business services","Government administrative functions, Education, Health",28
"64","8424","8520",-0.503256733294271,"Police, public order, safety activ.","Primary","Central/Local Gov. administration","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",32
"65","7820","8520",-0.352315597124645,"Temporary employment agencies","Primary","Employment activities","Education","Business services","Government administrative functions, Education, Health",290
"66","8411","8520",0.548992642830892,"General public administration","Primary","Central/Local Gov. administration","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",628
"67","8121","8520",-0.157839327739723,"General cleaning of buildings","Primary","Buildings, landscape activities","Education","Business services","Government administrative functions, Education, Health",190
"68","8542","8520",-0.248611870721281,"Tertiary","Primary","Education","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",100
"69","4771","8520",-0.470309009152739,"Clothing","Primary","Specialised retail - other","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",101
"70","8690","8520",-0.42018342490889,"Other","Primary","Human health activities","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",74
"71","6910","8520",-0.503886434168475,"Legal activities","Primary","Legal and accounting activities","Education","Business services ","Government administrative functions, Education, Health",29
"72","6920","8520",-0.275105013299097,"Accounting, auditing; tax consltcy","Primary","Legal and accounting activities","Education","Business services","Government administrative functions, Education, Health",54
"73","5630","8520",-0.356505557176526,"Beverage serving","Primary","Food, beverage service","Education","Other Service activities","Government administrative functions, Education, Health",121
"74","8531","8520",0.628765366312859,"General secondary","Primary","Education","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",814
"75","4719","8520",-0.466605896879241,"Other non specialised","Primary","Non specialised retail stores","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",65
"76","4120","8520",-0.514815944756973,"Residential, non-residential buildings","Primary","Construction of buildings","Education","Construction (including development of real estate)","Government administrative functions, Education, Health",24
"77","8899","8520",0.278616562749738,"Other","Primary","Non residential social work","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",253
"78","8810","8520",-0.167331416686078,"Elderly, disabled","Primary","Non residential social work","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",140
"79","7112","8520",-0.426674910250751,"Engineering/tech consultancy","Primary","Architectural, eng/tech testing","Education","Business services","Government administrative functions, Education, Health",27
"80","8110","8520",-0.211190442368833,"Combined facilities support","Primary","Buildings, landscape activities","Education","Business services","Government administrative functions, Education, Health",88
"81","4931","8520",-0.464612588732323,"Urban/suburban passenger transport","Primary","Land, pipeline transport","Education","Transportation and Storage","Government administrative functions, Education, Health",12
"82","5510","8520",-0.42854758561846,"Hotels and similar","Primary","Accommodation","Education","Other Service activities","Government administrative functions, Education, Health",52
"83","6202","8520",-0.452073526053546,"Consultancy activities","Primary","Computer programming, consultancy","Education","Information and Communication","Government administrative functions, Education, Health",21
"84","6190","8520",-0.635873222718022,"Other","Primary","Telecommunications","Education","Information and Communication","Government administrative functions, Education, Health",10
"85","6820","8520",-0.147443215882104,"Renting, operating own or leased ","Primary","Real estate activities","Education","Business services ","Government administrative functions, Education, Health",54
"86","9200","8520",-0.488939043808854,"Gambling, betting activities","Primary","Gambling, betting","Education","Other Service activities","Government administrative functions, Education, Health",18
"87","8790","8520",-0.152534733414611,"Other","Primary","Residential care activities","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",108
"88","8423","8520",-0.422627739652144,"Justice, judicial activities","Primary","Central/Local Gov. administration","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",14
"89","4511","8520",-0.645801551155541,"Sale of cars, light motor vehicles","Primary","Motor vehicle/cycle trade, repair","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",14
"90","4941","8520",-0.697805974656192,"Road freight transport","Primary","Land, pipeline transport","Education","Transportation and Storage","Government administrative functions, Education, Health",10
"91","8710","8520",-0.506185322081031,"Residential nursing care","Primary","Residential care activities","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",48
"92","7022","8520",-0.468389479101687,"Business, other management","Primary","Head offices; mgment consultancy","Education","Business services","Government administrative functions, Education, Health",44
"93","5629","8520",-0.20970859485108,"Other food service","Primary","Food, beverage service","Education","Other Service activities","Government administrative functions, Education, Health",57
"94","5310","8520",-0.490541619458117,"Under universal service obligation","Primary","Postal, courier activities","Education","Transportation and Storage","Government administrative functions, Education, Health",10
"95","6622","8520",-0.634790024490443,"Insurance agents/brokers activities","Primary","Auxiliary financial services","Education","Business services","Government administrative functions, Education, Health",12
"96","8730","8520",-0.177888133977901,"Elderly, disabled","Primary","Residential care activities","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",102
"97","8891","8520",0.407855390684095,"Child day-care","Primary","Non residential social work","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",267
"98","8220","8520",-0.613032284390211,"Activities of call centres","Primary","Office admin, business support","Education","Business services","Government administrative functions, Education, Health",21
"99","8621","8520",-0.352394170308584,"General medical practices","Primary","Human health activities","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",37
"100","8532","8520",0.0750959867882517,"Technical, vocational secondary","Primary","Education","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",67
"101","7010","8520",-0.523182251265007,"Head office activities","Primary","Head offices; mgment consultancy","Education","Business services","Government administrative functions, Education, Health",15
"102","4520","8520",-0.441445820535988,"Maintenance/repair of vehicles","Primary","Motor vehicle/cycle trade, repair","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",16
"103","4752","8520",-0.492596797694212,"Hardware, paints, glass","Primary","Specialised retail - household","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",14
"104","4321","8520",-0.462258400068138,"Electrical installation","Primary","Specialised activities","Education","Construction (including development of real estate)","Government administrative functions, Education, Health",10
"105","6831","8520",-0.354751856921843,"Agencies fee/contract basis","Primary","Real estate activities","Education","Business services ","Government administrative functions, Education, Health",15
"106","5621","8520",-0.14895919068985,"Event catering","Primary","Food, beverage service","Education","Other Service activities","Government administrative functions, Education, Health",44
"107","8559","8520",0.189647099537444,"Other education nec","Primary","Other education","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",80
"108","6201","8520",-0.535569151059119,"Programming activities","Primary","Computer programming, consultancy","Education","Information and Communication","Government administrative functions, Education, Health",10
"109","8425","8520",-0.0444100914261661,"Fire service activities","Primary","Central/Local Gov. administration","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",13
"110","9311","8520",0.228938751309297,"Operation of sports facilities","Primary","Sports activities and recreation","Education","Other Service activities","Government administrative functions, Education, Health",94
"111","4299","8520",-0.465977954427561,"Other civil engineering nec","Primary","Civil engineering","Education","Construction (including development of real estate)","Government administrative functions, Education, Health",13
"112","8412","8520",-0.331750435962283,"Health care, education etc","Primary","Central/Local Gov. administration","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",10
"113","9700","8520",0.336663324975332,"Households as employers","Primary","Domestic personnel employment","Education","Other Service activities","Government administrative functions, Education, Health",144
"114","6209","8520",-0.446446927722912,"Other","Primary","Computer programming, consultancy","Education","Information and Communication","Government administrative functions, Education, Health",10
"115","6619","8520",-0.46375356483275,"Other financial services","Primary","Auxiliary financial services","Education","Business services","Government administrative functions, Education, Health",10
"116","8299","8520",-0.131125507296498,"Other","Primary","Office admin, business support","Education","Business services","Government administrative functions, Education, Health",76
"117","4773","8520",-0.334322533417789,"Dispensing chemist","Primary","Specialised retail - other","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",11
"118","9602","8520",-0.265402968159169,"Hairdressing, beauty treatment","Primary","Other personal service activities","Education","Other Service activities","Government administrative functions, Education, Health",12
"119","8623","8520",-0.0669766152246045,"Dental practices","Primary","Human health activities","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",13
"120","7311","8520",-0.350163624812498,"Advertising agencies","Primary","Advertising,market research","Education","Business services","Government administrative functions, Education, Health",10
"121","4222","8520",-0.0714188297181425,"Utility - electricity, telecomms","Primary","Civil engineering","Education","Construction (including development of real estate)","Government administrative functions, Education, Health",13
"122","4778","8520",-0.0710958612149451,"Other new goods","Primary","Specialised retail - other","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",28
"123","4759","8520",-0.271815963972557,"Furniture, lighting, other","Primary","Specialised retail - household","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",11
"124","4669","8520",-0.0599328677042334,"Other","Primary","Other m/c, equipment wholesale","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",10
"125","4724","8520",-0.0259159352309495,"Bread, cakes, confectionery","Primary","Specialised retail - food etc","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",19
"126","9312","8520",0.104930869140209,"Activities of sport clubs","Primary","Sports activities and recreation","Education","Other Service activities","Government administrative functions, Education, Health",66
"127","3811","8520",-0.000343440413590208,"Non-hazardous waste collection","Primary","Waste","Education","Utilities, sewerage, waste and recycling","Government administrative functions, Education, Health",10
"128","7810","8520",-0.169621885638401,"Employment placement agencies","Primary","Employment activities","Education","Business services","Government administrative functions, Education, Health",29
"129","4764","8520",-0.14158698536965,"Sporting equipment","Primary","Specialised retail - other","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",23
"130","6832","8520",0.211676465603433,"Managament of fee/contract basis","Primary","Real estate activities","Education","Business services ","Government administrative functions, Education, Health",44
"131","9499","8520",0.255548727598219,"Other nec","Primary","Membership organisations activities","Education","Other Service activities","Government administrative functions, Education, Health",40
"132","9491","8520",0.505474731513052,"Religious organisations","Primary","Membership organisations activities","Education","Other Service activities","Government administrative functions, Education, Health",36
"133","4775","8520",-0.196428376557058,"Cosmetic, toilet articles","Primary","Specialised retail - other","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",12
"134","4772","8520",-0.211689811493279,"Footwear, leather goods","Primary","Specialised retail - other","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",12
"135","7490","8520",0.0594388632966989,"Other","Primary","Other professional, scientific/tech","Education","Business services","Government administrative functions, Education, Health",20
"136","4776","8520",-0.127495322370725,"Flowers, plants, pet animals/food","Primary","Specialised retail - other","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",10
"137","9609","8520",0.317541340610302,"Other","Primary","Other personal service activities","Education","Other Service activities","Government administrative functions, Education, Health",19
"138","4211","8520",-0.000872820879571112,"Roads, motorways","Primary","Civil engineering","Education","Construction (including development of real estate)","Government administrative functions, Education, Health",10
"139","4690","8520",0.144600082388952,"Non-specialised wholesale trade","Primary","Other wholesale","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",10
"140","4110","8520",-0.180564362817787,"Building projects development","Primary","Construction of buildings","Education","Construction (including development of real estate)","Government administrative functions, Education, Health",12
"141","8129","8520",-0.0895975094914069,"Other cleaning activities","Primary","Buildings, landscape activities","Education","Business services","Government administrative functions, Education, Health",14
"142","8510","8520",0.545812253743346,"Pre-primary","Primary","Education","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",46
"143","9313","8520",-0.00448502972061184,"Fitness facilities","Primary","Sports activities and recreation","Education","Other Service activities","Government administrative functions, Education, Health",17
"144","8541","8520",0.167737008389841,"Post-secondary non-tertiary","Primary","Education","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",18
"145","8720","8520",-0.194869669803216,"Learning, mental, substance abuse","Primary","Residential care activities","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",10
"146","8560","8520",0.535830547139705,"Educational support activities","Primary","Other education","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",23
"147","8122","8520",0.332014505222727,"Other industrial cleaning","Primary","Buildings, landscape activities","Education","Business services","Government administrative functions, Education, Health",13
"148","9329","8520",0.282926790702114,"Other amusement, recreation","Primary","Sports activities and recreation","Education","Other Service activities","Government administrative functions, Education, Health",12
"149","9101","8520",0.808310103422288,"Library and archive activities","Primary","Libraries, archives, museums","Education","Other Service activities","Government administrative functions, Education, Health",10
"150","8610","4711",-0.595489351613255,"Hospital activities","Food, beverages, tobacco mainly","Human health activities","Non specialised retail stores","Government administrative functions, Education, Health","Wholesale and retail,motor vehicle repair,sale of fuel",55
"151","8520","4711",-0.37909498104321,"Primary","Food, beverages, tobacco mainly","Education","Non specialised retail stores","Government administrative functions, Education, Health","Wholesale and retail,motor vehicle repair,sale of fuel",224
"152","4711","4711",1,"Food, beverages, tobacco mainly","Food, beverages, tobacco mainly","Non specialised retail stores","Non specialised retail stores","Wholesale and retail,motor vehicle repair,sale of fuel","Wholesale and retail,motor vehicle repair,sale of fuel",4046
"153","5610","4711",0.11951592289995,"Restaurants, mobile food service","Food, beverages, tobacco mainly","Food, beverage service","Non specialised retail stores","Other Service activities","Wholesale and retail,motor vehicle repair,sale of fuel",313
"154","6419","4711",0.0998238167910141,"Other monetary intermediation","Food, beverages, tobacco mainly","Financial, insurance, pension","Non specialised retail stores","Business services","Wholesale and retail,motor vehicle repair,sale of fuel",62
"155","8424","4711",-0.441712974910305,"Police, public order, safety activ.","Food, beverages, tobacco mainly","Central/Local Gov. administration","Non specialised retail stores","Government administrative functions, Education, Health","Wholesale and retail,motor vehicle repair,sale of fuel",19
"156","7820","4711",-0.207116688341229,"Temporary employment agencies","Food, beverages, tobacco mainly","Employment activities","Non specialised retail stores","Business services","Wholesale and retail,motor vehicle repair,sale of fuel",198
"157","8411","4711",-0.602839983981061,"General public administration","Food, beverages, tobacco mainly","Central/Local Gov. administration","Non specialised retail stores","Government administrative functions, Education, Health","Wholesale and retail,motor vehicle repair,sale of fuel",21
"158","8121","4711",-0.161492954683508,"General cleaning of buildings","Food, beverages, tobacco mainly","Buildings, landscape activities","Non specialised retail stores","Business services","Wholesale and retail,motor vehicle repair,sale of fuel",116
"159","8542","4711",-0.373129400899098,"Tertiary","Food, beverages, tobacco mainly","Education","Non specialised retail stores","Government administrative functions, Education, Health","Wholesale and retail,motor vehicle repair,sale of fuel",36
"160","4771","4711",0.193086404162231,"Clothing","Food, beverages, tobacco mainly","Specialised retail - other","Non specialised retail stores","Wholesale and retail,motor vehicle repair,sale of fuel","Wholesale and retail,motor vehicle repair,sale of fuel",194
"161","8690","4711",-0.565557428441202,"Other","Food, beverages, tobacco mainly","Human health activities","Non specialised retail stores","Government administrative functions, Education, Health","Wholesale and retail,motor vehicle repair,sale of fuel",25
"162","6910","4711",-0.430630330761142,"Legal activities","Food, beverages, tobacco mainly","Legal and accounting activities","Non specialised retail stores","Business services ","Wholesale and retail,motor vehicle repair,sale of fuel",12
"163","6920","4711",-0.21202579120046,"Accounting, auditing; tax consltcy","Food, beverages, tobacco mainly","Legal and accounting activities","Non specialised retail stores","Business services","Wholesale and retail,motor vehicle repair,sale of fuel",22
"164","5630","4711",0.0365707697674455,"Beverage serving","Food, beverages, tobacco mainly","Food, beverage service","Non specialised retail stores","Other Service activities","Wholesale and retail,motor vehicle repair,sale of fuel",125
"165","8531","4711",-0.437780086866581,"General secondary","Food, beverages, tobacco mainly","Education","Non specialised retail stores","Government administrative functions, Education, Health","Wholesale and retail,motor vehicle repair,sale of fuel",39
"166","4719","4711",0.281077471122671,"Other non specialised","Food, beverages, tobacco mainly","Non specialised retail stores","Non specialised retail stores","Wholesale and retail,motor vehicle repair,sale of fuel","Wholesale and retail,motor vehicle repair,sale of fuel",138
"167","4120","4711",-0.318409154000312,"Residential, non-residential buildings","Food, beverages, tobacco mainly","Construction of buildings","Non specialised retail stores","Construction (including development of real estate)","Wholesale and retail,motor vehicle repair,sale of fuel",14
"168","8899","4711",-0.383093874510649,"Other","Food, beverages, tobacco mainly","Non residential social work","Non specialised retail stores","Government administrative functions, Education, Health","Wholesale and retail,motor vehicle repair,sale of fuel",38
"169","8810","4711",-0.351851622949193,"Elderly, disabled","Food, beverages, tobacco mainly","Non residential social work","Non specialised retail stores","Government administrative functions, Education, Health","Wholesale and retail,motor vehicle repair,sale of fuel",38
"170","7112","4711",-0.29547912599016,"Engineering/tech consultancy","Food, beverages, tobacco mainly","Architectural, eng/tech testing","Non specialised retail stores","Business services","Wholesale and retail,motor vehicle repair,sale of fuel",15
"171","8110","4711",-0.415734223816422,"Combined facilities support","Food, beverages, tobacco mainly","Buildings, landscape activities","Non specialised retail stores","Business services","Wholesale and retail,motor vehicle repair,sale of fuel",24
"172","4931","4711",-0.106803552834421,"Urban/suburban passenger transport","Food, beverages, tobacco mainly","Land, pipeline transport","Non specialised retail stores","Transportation and Storage","Wholesale and retail,motor vehicle repair,sale of fuel",10
"173","5510","4711",-0.037563741247786,"Hotels and similar","Food, beverages, tobacco mainly","Accommodation","Non specialised retail stores","Other Service activities","Wholesale and retail,motor vehicle repair,sale of fuel",61
"174","6202","4711",-0.373166226462095,"Consultancy activities","Food, beverages, tobacco mainly","Computer programming, consultancy","Non specialised retail stores","Information and Communication","Wholesale and retail,motor vehicle repair,sale of fuel",11
"175","6190","4711",-0.119916167049256,"Other","Food, beverages, tobacco mainly","Telecommunications","Non specialised retail stores","Information and Communication","Wholesale and retail,motor vehicle repair,sale of fuel",13
"176","6820","4711",-0.275905386415159,"Renting, operating own or leased ","Food, beverages, tobacco mainly","Real estate activities","Non specialised retail stores","Business services ","Wholesale and retail,motor vehicle repair,sale of fuel",19
"177","9200","4711",0.147889659192248,"Gambling, betting activities","Food, beverages, tobacco mainly","Gambling, betting","Non specialised retail stores","Other Service activities","Wholesale and retail,motor vehicle repair,sale of fuel",29
"178","8790","4711",-0.473034349862499,"Other","Food, beverages, tobacco mainly","Residential care activities","Non specialised retail stores","Government administrative functions, Education, Health","Wholesale and retail,motor vehicle repair,sale of fuel",20
"179","8423","4711",-0.233813510752054,"Justice, judicial activities","Food, beverages, tobacco mainly","Central/Local Gov. administration","Non specialised retail stores","Government administrative functions, Education, Health","Wholesale and retail,motor vehicle repair,sale of fuel",10
