"","StartIndst","FinalIndst","weight","SubActivity_StartIndst","SubActivity_FinalIndst","MainActivity_StartIndst","MainActivity_FinalIndst","MainIndustry_StartIndst","MainIndustry_FinalIndst","Counts"
"1","8610","8610",1,"Hospital activities","Hospital activities","Human health activities","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",8466
"2","8520","8610",-0.6083827664539,"Primary","Hospital activities","Education","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",220
"3","4711","8610",-0.595489351613255,"Food, beverages, tobacco mainly","Hospital activities","Non specialised retail stores","Human health activities","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",163
"4","5610","8610",-0.648409779605751,"Restaurants, mobile food service","Hospital activities","Food, beverage service","Human health activities","Other Service activities","Government administrative functions, Education, Health",86
"5","6419","8610",-0.792294041603213,"Other monetary intermediation","Hospital activities","Financial, insurance, pension","Human health activities","Business services","Government administrative functions, Education, Health",17
"6","8424","8610",-0.760036708782488,"Police, public order, safety activ.","Hospital activities","Central/Local Gov. administration","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",10
"7","7820","8610",0.173249003408328,"Temporary employment agencies","Hospital activities","Employment activities","Human health activities","Business services","Government administrative functions, Education, Health",598
"8","8411","8610",-0.659456071451526,"General public administration","Hospital activities","Central/Local Gov. administration","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",45
"9","8121","8610",-0.631897165518944,"General cleaning of buildings","Hospital activities","Buildings, landscape activities","Human health activities","Business services","Government administrative functions, Education, Health",50
"10","8542","8610",0.021693237055753,"Tertiary","Hospital activities","Education","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",142
"11","4771","8610",-0.589773435562856,"Clothing","Hospital activities","Specialised retail - other","Human health activities","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",59
"12","8690","8610",0.59184826844416,"Other","Hospital activities","Human health activities","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",570
"13","6910","8610",-0.544041727807254,"Legal activities","Hospital activities","Legal and accounting activities","Human health activities","Business services ","Government administrative functions, Education, Health",17
"14","6920","8610",-0.519538445963959,"Accounting, auditing; tax consltcy","Hospital activities","Legal and accounting activities","Human health activities","Business services","Government administrative functions, Education, Health",28
"15","5630","8610",-0.502452746989186,"Beverage serving","Hospital activities","Food, beverage service","Human health activities","Other Service activities","Government administrative functions, Education, Health",66
"16","8531","8610",-0.730426823008155,"General secondary","Hospital activities","Education","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",31
"17","4719","8610",-0.476897383061094,"Other non specialised","Hospital activities","Non specialised retail stores","Human health activities","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",54
"18","8899","8610",-0.266150283216056,"Other","Hospital activities","Non residential social work","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",87
"19","8810","8610",-0.159117624406757,"Elderly, disabled","Hospital activities","Non residential social work","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",139
"20","8110","8610",-0.289333698717667,"Combined facilities support","Hospital activities","Buildings, landscape activities","Human health activities","Business services","Government administrative functions, Education, Health",44
"21","5510","8610",-0.643849906842286,"Hotels and similar","Hospital activities","Accommodation","Human health activities","Other Service activities","Government administrative functions, Education, Health",23
"22","6202","8610",-0.644690082869807,"Consultancy activities","Hospital activities","Computer programming, consultancy","Human health activities","Information and Communication","Government administrative functions, Education, Health",10
"23","6820","8610",-0.560606501117881,"Renting, operating own or leased ","Hospital activities","Real estate activities","Human health activities","Business services ","Government administrative functions, Education, Health",15
"24","9200","8610",-0.466484319432705,"Gambling, betting activities","Hospital activities","Gambling, betting","Human health activities","Other Service activities","Government administrative functions, Education, Health",14
"25","8790","8610",-0.0360837111270256,"Other","Hospital activities","Residential care activities","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",105
"26","8423","8610",-0.556913120222768,"Justice, judicial activities","Hospital activities","Central/Local Gov. administration","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",11
"27","4511","8610",-0.559618875074132,"Sale of cars, light motor vehicles","Hospital activities","Motor vehicle/cycle trade, repair","Human health activities","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",13
"28","8710","8610",0.304130556709282,"Residential nursing care","Hospital activities","Residential care activities","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",290
"29","7022","8610",-0.428672529784719,"Business, other management","Hospital activities","Head offices; mgment consultancy","Human health activities","Business services","Government administrative functions, Education, Health",29
"30","8010","8610",-0.43712095756464,"Private security","Hospital activities","Security, investigation activities","Human health activities","Business services","Government administrative functions, Education, Health",25
"31","5629","8610",-0.599447869797722,"Other food service","Hospital activities","Food, beverage service","Human health activities","Other Service activities","Government administrative functions, Education, Health",25
"32","8730","8610",0.140369706304468,"Elderly, disabled","Hospital activities","Residential care activities","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",185
"33","8891","8610",-0.4440398947243,"Child day-care","Hospital activities","Non residential social work","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",30
"34","8220","8610",-0.436772228173003,"Activities of call centres","Hospital activities","Office admin, business support","Human health activities","Business services","Government administrative functions, Education, Health",27
"35","8621","8610",0.57694285667276,"General medical practices","Hospital activities","Human health activities","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",180
"36","8532","8610",-0.450430481805715,"Technical, vocational secondary","Hospital activities","Education","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",19
"37","7010","8610",-0.53709054657979,"Head office activities","Hospital activities","Head offices; mgment consultancy","Human health activities","Business services","Government administrative functions, Education, Health",16
"38","6831","8610",-0.407768996870098,"Agencies fee/contract basis","Hospital activities","Real estate activities","Human health activities","Business services ","Government administrative functions, Education, Health",10
"39","5621","8610",-0.542532402202079,"Event catering","Hospital activities","Food, beverage service","Human health activities","Other Service activities","Government administrative functions, Education, Health",20
"40","8559","8610",-0.175079367560714,"Other education nec","Hospital activities","Other education","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",37
"41","9311","8610",-0.452856535778523,"Operation of sports facilities","Hospital activities","Sports activities and recreation","Human health activities","Other Service activities","Government administrative functions, Education, Health",20
"42","8412","8610",0.250477438018009,"Health care, education etc","Hospital activities","Central/Local Gov. administration","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",36
"43","9700","8610",-0.203844349367827,"Households as employers","Hospital activities","Domestic personnel employment","Human health activities","Other Service activities","Government administrative functions, Education, Health",39
"44","8430","8610",-0.0917299003777897,"Compulsory social security activities","Hospital activities","Central/Local Gov. administration","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",11
"45","8299","8610",-0.502244314883157,"Other","Hospital activities","Office admin, business support","Human health activities","Business services","Government administrative functions, Education, Health",30
"46","4773","8610",0.120060472248425,"Dispensing chemist","Hospital activities","Specialised retail - other","Human health activities","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",26
"47","8623","8610",0.229658036491862,"Dental practices","Hospital activities","Human health activities","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",32
"48","4778","8610",-0.191563257878456,"Other new goods","Hospital activities","Specialised retail - other","Human health activities","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",18
"49","9312","8610",-0.375471503841806,"Activities of sport clubs","Hospital activities","Sports activities and recreation","Human health activities","Other Service activities","Government administrative functions, Education, Health",23
"50","7810","8610",-0.379749795949478,"Employment placement agencies","Hospital activities","Employment activities","Human health activities","Business services","Government administrative functions, Education, Health",21
"51","4764","8610",-0.10430498487866,"Sporting equipment","Hospital activities","Specialised retail - other","Human health activities","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",16
"52","6832","8610",-0.187721907020282,"Managament of fee/contract basis","Hospital activities","Real estate activities","Human health activities","Business services ","Government administrative functions, Education, Health",10
"53","9499","8610",-0.262952809794764,"Other nec","Hospital activities","Membership organisations activities","Human health activities","Other Service activities","Government administrative functions, Education, Health",13
"54","4775","8610",-0.0893664692837056,"Cosmetic, toilet articles","Hospital activities","Specialised retail - other","Human health activities","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",10
"55","4110","8610",-0.07302643827965,"Building projects development","Hospital activities","Construction of buildings","Human health activities","Construction (including development of real estate)","Government administrative functions, Education, Health",10
"56","9313","8610",0.616952250823812,"Fitness facilities","Hospital activities","Sports activities and recreation","Human health activities","Other Service activities","Government administrative functions, Education, Health",11
"57","8720","8610",0.260106426731965,"Learning, mental, substance abuse","Hospital activities","Residential care activities","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",28
"58","8622","8610",0.678009339099277,"Specialist medical practices","Hospital activities","Human health activities","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",17
"59","8610","8520",-0.6083827664539,"Hospital activities","Primary","Human health activities","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",178
"60","8520","8520",1,"Primary","Primary","Education","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",8198
