"","StartIndst","FinalIndst","weight","SubActivity_StartIndst","SubActivity_FinalIndst","MainActivity_StartIndst","MainActivity_FinalIndst","MainIndustry_StartIndst","MainIndustry_FinalIndst","Counts"
"39","8110","8520",-0.326742941332645,"Combined facilities support","Primary","Buildings, landscape activities","Education","Business services","Government administrative functions, Education, Health",125
"40","8532","8520",-0.0610780795065115,"Technical, vocational secondary","Primary","Education","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",176
"41","5621","8520",-0.36823770014948,"Event catering","Primary","Food, beverage service","Education","Other Service activities","Government administrative functions, Education, Health",107
"42","4673","8520",-0.829048900551471,"Wood, construction, sanitary equip","Primary","Other wholesale","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",11
"43","5221","8520",-0.787751937316786,"Incidental inland service","Primary","Warehousing, transport support","Education","Transportation and Storage","Government administrative functions, Education, Health",10
"44","8891","8520",0.312130261599423,"Child day-care","Primary","Non residential social work","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",380
"45","8621","8520",-0.449699235298963,"General medical practices","Primary","Human health activities","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",59
"46","4754","8520",-0.716480399891963,"Electrical household appliances","Primary","Specialised retail - household","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",13
"47","4321","8520",-0.751058180759966,"Electrical installation","Primary","Specialised activities","Education","Construction (including development of real estate)","Government administrative functions, Education, Health",21
"48","4299","8520",-0.678631337633824,"Other civil engineering nec","Primary","Civil engineering","Education","Construction (including development of real estate)","Government administrative functions, Education, Health",28
"49","5629","8520",-0.365583505181631,"Other food service","Primary","Food, beverage service","Education","Other Service activities","Government administrative functions, Education, Health",74
"50","6512","8520",-0.821077607694438,"Non-life insurance","Primary","Financial, insurance, pension","Education","Business services","Government administrative functions, Education, Health",11
"51","4520","8520",-0.69176046885178,"Maintenance/repair of vehicles","Primary","Motor vehicle/cycle trade, repair","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",20
"52","6831","8520",-0.601759516700725,"Agencies fee/contract basis","Primary","Real estate activities","Education","Business services ","Government administrative functions, Education, Health",24
"53","8559","8520",-0.0637276174733773,"Other education nec","Primary","Other education","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",158
"54","6209","8520",-0.656360703278422,"Other","Primary","Computer programming, consultancy","Education","Information and Communication","Government administrative functions, Education, Health",21
"55","4752","8520",-0.490068703874586,"Hardware, paints, glass","Primary","Specialised retail - household","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",32
"56","8412","8520",-0.425033004441728,"Health care, education etc","Primary","Central/Local Gov. administration","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",49
"57","6201","8520",-0.788644699222386,"Programming activities","Primary","Computer programming, consultancy","Education","Information and Communication","Government administrative functions, Education, Health",11
"58","6619","8520",-0.795917392126886,"Other financial services","Primary","Auxiliary financial services","Education","Business services","Government administrative functions, Education, Health",12
"59","7219","8520",-0.775192564559539,"Other natural sciences, engineering","Primary","Scientific research, development","Education","Business services","Government administrative functions, Education, Health",12
"60","8425","8520",-0.0399951136220442,"Fire service activities","Primary","Central/Local Gov. administration","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",51
"61","7010","8520",-0.66153079672714,"Head office activities","Primary","Head offices; mgment consultancy","Education","Business services","Government administrative functions, Education, Health",22
"62","8299","8520",-0.298004089559941,"Other","Primary","Office admin, business support","Education","Business services","Government administrative functions, Education, Health",99
"63","9311","8520",-0.038062244907965,"Operation of sports facilities","Primary","Sports activities and recreation","Education","Other Service activities","Government administrative functions, Education, Health",125
"64","9602","8520",-0.44468727135508,"Hairdressing, beauty treatment","Primary","Other personal service activities","Education","Other Service activities","Government administrative functions, Education, Health",23
"65","6629","8520",-0.673619917914152,"Other insurance & pension services","Primary","Auxiliary financial services","Education","Business services ","Government administrative functions, Education, Health",21
"66","8422","8520",-0.613135631838287,"Defence activities","Primary","Central/Local Gov. administration","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",10
"67","4778","8520",-0.32162214400004,"Other new goods","Primary","Specialised retail - other","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",45
"68","4773","8520",-0.462477612014795,"Dispensing chemist","Primary","Specialised retail - other","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",20
"69","4759","8520",-0.40551560418035,"Furniture, lighting, other","Primary","Specialised retail - household","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",25
"70","8220","8520",-0.664260219302079,"Activities of call centres","Primary","Office admin, business support","Education","Business services","Government administrative functions, Education, Health",29
"71","3811","8520",-0.572706577034452,"Non-hazardous waste collection","Primary","Waste","Education","Utilities, sewerage, waste and recycling","Government administrative functions, Education, Health",13
"72","7311","8520",-0.641564081319224,"Advertising agencies","Primary","Advertising,market research","Education","Business services","Government administrative functions, Education, Health",15
"73","4669","8520",-0.709275975006666,"Other","Primary","Other m/c, equipment wholesale","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",10
"74","7810","8520",-0.243494702980193,"Employment placement agencies","Primary","Employment activities","Education","Business services","Government administrative functions, Education, Health",69
"75","6832","8520",0.126647530099903,"Managament of fee/contract basis","Primary","Real estate activities","Education","Business services ","Government administrative functions, Education, Health",94
"76","9499","8520",0.0060342154607831,"Other nec","Primary","Membership organisations activities","Education","Other Service activities","Government administrative functions, Education, Health",90
"77","8623","8520",-0.373759628088701,"Dental practices","Primary","Human health activities","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",23
"78","4724","8520",-0.366240523326666,"Bread, cakes, confectionery","Primary","Specialised retail - food etc","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",25
"79","4764","8520",-0.289887786706243,"Sporting equipment","Primary","Specialised retail - other","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",40
"80","4772","8520",-0.339436727475629,"Footwear, leather goods","Primary","Specialised retail - other","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",31
"81","4322","8520",-0.530973179659459,"Plumbing, heat, air con inst","Primary","Specialised activities","Education","Construction (including development of real estate)","Government administrative functions, Education, Health",16
"82","5813","8520",-0.199523324231919,"Newspapers","Primary","Publishing activities","Education","Information and Communication","Government administrative functions, Education, Health",32
"83","9700","8520",0.350978279718651,"Households as employers","Primary","Domestic personnel employment","Education","Other Service activities","Government administrative functions, Education, Health",212
"84","7111","8520",-0.537614160692552,"Architectural activities","Primary","Architectural, eng/tech testing","Education","Business services","Government administrative functions, Education, Health",10
"85","1071","8520",-0.645616779576407,"Bread; pastry goods, cakes","Primary","Food products - other","Education","Manufacture food, drink, tobacco","Government administrative functions, Education, Health",11
"86","9312","8520",-0.0362896869930593,"Activities of sport clubs","Primary","Sports activities and recreation","Education","Other Service activities","Government administrative functions, Education, Health",111
"87","9491","8520",0.130376073996055,"Religious organisations","Primary","Membership organisations activities","Education","Other Service activities","Government administrative functions, Education, Health",50
"88","4762","8520",-0.410530228728169,"Newspapers, stationery","Primary","Specialised retail - other","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",22
"89","4777","8520",-0.514402913614806,"Watches, jewellery","Primary","Specialised retail - other","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",12
"90","4791","8520",-0.517575208553169,"Via mail order houses, Internet","Primary","Other retail","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",17
"91","9609","8520",-0.121403027844967,"Other","Primary","Other personal service activities","Education","Other Service activities","Government administrative functions, Education, Health",41
"92","1812","8520",-0.517456252018247,"Other","Primary","Printing","Education","All other Manufacturing","Government administrative functions, Education, Health",12
"93","4775","8520",-0.434486760172576,"Cosmetic, toilet articles","Primary","Specialised retail - other","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",15
"94","7320","8520",-0.449060541808577,"Market research, public polling","Primary","Advertising,market research","Education","Business services","Government administrative functions, Education, Health",13
"95","4222","8520",-0.105831952820534,"Utility - electricity, telecomms","Primary","Civil engineering","Education","Construction (including development of real estate)","Government administrative functions, Education, Health",22
"96","7490","8520",-0.173261109607796,"Other","Primary","Other professional, scientific/tech","Education","Business services","Government administrative functions, Education, Health",44
"97","4776","8520",-0.319199201121053,"Flowers, plants, pet animals/food","Primary","Specialised retail - other","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",17
"98","4939","8520",-0.563890350825225,"Other passenger land transport","Primary","Land, pipeline transport","Education","Transportation and Storage","Government administrative functions, Education, Health",10
"99","2562","8520",-0.63311032651552,"Machining","Primary","Other fabricated metal products","Education","All other Manufacturing","Government administrative functions, Education, Health",10
"100","4690","8520",-0.479961400723428,"Non-specialised wholesale trade","Primary","Other wholesale","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",10
"101","8541","8520",-0.0142177153721134,"Post-secondary non-tertiary","Primary","Education","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",46
"102","8720","8520",-0.440766316453516,"Learning, mental, substance abuse","Primary","Residential care activities","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",21
"103","4730","8520",-0.304685622459997,"Automotive fuel (in petrol stations)","Primary","Specialised retail - auto fuel","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",13
"104","8130","8520",-0.294457723975926,"Landscape service activities","Primary","Buildings, landscape activities","Education","Business services","Government administrative functions, Education, Health",10
"105","4211","8520",-0.376942841696396,"Roads, motorways","Primary","Civil engineering","Education","Construction (including development of real estate)","Government administrative functions, Education, Health",10
"106","4110","8520",-0.488598372848611,"Building projects development","Primary","Construction of buildings","Education","Construction (including development of real estate)","Government administrative functions, Education, Health",13
"107","8129","8520",-0.331924032146542,"Other cleaning activities","Primary","Buildings, landscape activities","Education","Business services","Government administrative functions, Education, Health",16
"108","9412","8520",-0.183338555037629,"Professional","Primary","Membership organisations activities","Education","Other Service activities","Government administrative functions, Education, Health",10
"109","9313","8520",0.058313473649606,"Fitness facilities","Primary","Sports activities and recreation","Education","Other Service activities","Government administrative functions, Education, Health",28
"110","8510","8520",0.457241549228662,"Pre-primary","Primary","Education","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",96
"111","9001","8520",0.280605881397977,"Performing arts","Primary","Creative, arts and entertainment","Education","Other Service activities","Government administrative functions, Education, Health",18
"112","9104","8520",0.194662559496402,"Botanical/zoo gardens/reserves","Primary","Libraries, archives, museums","Education","Other Service activities","Government administrative functions, Education, Health",15
"113","9319","8520",-0.0348546330707541,"Other sports activities","Primary","Sports activities and recreation","Education","Other Service activities","Government administrative functions, Education, Health",14
"114","9102","8520",0.203182898746827,"Museum activities","Primary","Libraries, archives, museums","Education","Other Service activities","Government administrative functions, Education, Health",17
"115","4761","8520",-0.0884523226808994,"Books","Primary","Specialised retail - other","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",11
"116","6499","8520",-0.0736241469615583,"Other financial services nec","Primary","Financial, insurance, pension","Education","Business services","Government administrative functions, Education, Health",17
"117","8122","8520",0.132181043680059,"Other industrial cleaning","Primary","Buildings, landscape activities","Education","Business services","Government administrative functions, Education, Health",17
