"","StartIndst","FinalIndst","weight","SubActivity_StartIndst","SubActivity_FinalIndst","MainActivity_StartIndst","MainActivity_FinalIndst","MainIndustry_StartIndst","MainIndustry_FinalIndst","Counts"
"18","6920","8520",-0.345266376610846,"Accounting, auditing; tax consltcy","Primary","Legal and accounting activities","Education","Business services","Government administrative functions, Education, Health",247
"19","5630","8520",-0.332333154449511,"Beverage serving","Primary","Food, beverage service","Education","Other Service activities","Government administrative functions, Education, Health",478
"20","7112","8520",-0.564493466693217,"Engineering/tech consultancy","Primary","Architectural, eng/tech testing","Education","Business services","Government administrative functions, Education, Health",135
"21","6190","8520",-0.708129749847781,"Other","Primary","Telecommunications","Education","Information and Communication","Government administrative functions, Education, Health",47
"22","8810","8520",-0.145860777142182,"Elderly, disabled","Primary","Non residential social work","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",608
"23","4931","8520",-0.590526227205701,"Urban/suburban passenger transport","Primary","Land, pipeline transport","Education","Transportation and Storage","Government administrative functions, Education, Health",60
"24","8531","8520",0.668282768182538,"General secondary","Primary","Education","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",4623
"25","6820","8520",-0.189951345755408,"Renting, operating own or leased ","Primary","Real estate activities","Education","Business services ","Government administrative functions, Education, Health",271
"26","6202","8520",-0.62532462394534,"Consultancy activities","Primary","Computer programming, consultancy","Education","Information and Communication","Government administrative functions, Education, Health",87
"27","8010","8520",-0.712190582901252,"Private security","Primary","Security, investigation activities","Education","Business services","Government administrative functions, Education, Health",56
"28","4511","8520",-0.678902521549759,"Sale of cars, light motor vehicles","Primary","Motor vehicle/cycle trade, repair","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",51
"29","8790","8520",-0.128426003141747,"Other","Primary","Residential care activities","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",503
"30","9200","8520",-0.407933339847087,"Gambling, betting activities","Primary","Gambling, betting","Education","Other Service activities","Government administrative functions, Education, Health",94
"31","5510","8520",-0.458961694410452,"Hotels and similar","Primary","Accommodation","Education","Other Service activities","Government administrative functions, Education, Health",189
"32","4941","8520",-0.761419647213633,"Road freight transport","Primary","Land, pipeline transport","Education","Transportation and Storage","Government administrative functions, Education, Health",44
"33","8710","8520",-0.488168246290394,"Residential nursing care","Primary","Residential care activities","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",220
"34","8430","8520",-0.848526012426415,"Compulsory social security activities","Primary","Central/Local Gov. administration","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",24
"35","7022","8520",-0.504498266014539,"Business, other management","Primary","Head offices; mgment consultancy","Education","Business services","Government administrative functions, Education, Health",180
"36","8110","8520",-0.171265514783607,"Combined facilities support","Primary","Buildings, landscape activities","Education","Business services","Government administrative functions, Education, Health",407
"37","8730","8520",-0.204469269171041,"Elderly, disabled","Primary","Residential care activities","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",435
"38","8423","8520",-0.442462345402067,"Justice, judicial activities","Primary","Central/Local Gov. administration","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",102
"39","5621","8520",-0.19083669853254,"Event catering","Primary","Food, beverage service","Education","Other Service activities","Government administrative functions, Education, Health",287
"40","6622","8520",-0.689968120349637,"Insurance agents/brokers activities","Primary","Auxiliary financial services","Education","Business services","Government administrative functions, Education, Health",43
"41","8532","8520",0.103462954424682,"Technical, vocational secondary","Primary","Education","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",478
"42","5221","8520",-0.60907227911643,"Incidental inland service","Primary","Warehousing, transport support","Education","Transportation and Storage","Government administrative functions, Education, Health",28
"43","4673","8520",-0.751336369603631,"Wood, construction, sanitary equip","Primary","Other wholesale","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",28
"44","8891","8520",0.373542235298179,"Child day-care","Primary","Non residential social work","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",856
"45","5210","8520",-0.871906309605558,"Warehousing and storage","Primary","Warehousing, transport support","Education","Transportation and Storage","Government administrative functions, Education, Health",20
"46","4754","8520",-0.664562651024117,"Electrical household appliances","Primary","Specialised retail - household","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",25
"47","8621","8520",-0.374201264624877,"General medical practices","Primary","Human health activities","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",147
"48","5320","8520",-0.84696405534044,"Other","Primary","Postal, courier activities","Education","Transportation and Storage","Government administrative functions, Education, Health",21
"49","4299","8520",-0.540275248772766,"Other civil engineering nec","Primary","Civil engineering","Education","Construction (including development of real estate)","Government administrative functions, Education, Health",78
"50","5629","8520",-0.286550238997961,"Other food service","Primary","Food, beverage service","Education","Other Service activities","Government administrative functions, Education, Health",224
"51","4321","8520",-0.589298959173809,"Electrical installation","Primary","Specialised activities","Education","Construction (including development of real estate)","Government administrative functions, Education, Health",62
"52","6831","8520",-0.427968036716118,"Agencies fee/contract basis","Primary","Real estate activities","Education","Business services ","Government administrative functions, Education, Health",68
"53","8559","8520",0.165027633571687,"Other education nec","Primary","Other education","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",503
"54","4520","8520",-0.489858476389939,"Maintenance/repair of vehicles","Primary","Motor vehicle/cycle trade, repair","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",61
"55","6512","8520",-0.753627145390938,"Non-life insurance","Primary","Financial, insurance, pension","Education","Business services","Government administrative functions, Education, Health",25
"56","6209","8520",-0.57317312413904,"Other","Primary","Computer programming, consultancy","Education","Information and Communication","Government administrative functions, Education, Health",46
"57","4752","8520",-0.435712817569607,"Hardware, paints, glass","Primary","Specialised retail - household","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",61
"58","8425","8520",0.263915287960356,"Fire service activities","Primary","Central/Local Gov. administration","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",146
"59","8412","8520",-0.347609896013923,"Health care, education etc","Primary","Central/Local Gov. administration","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",116
"60","6201","8520",-0.682495591702274,"Programming activities","Primary","Computer programming, consultancy","Education","Information and Communication","Government administrative functions, Education, Health",33
"61","6619","8520",-0.705064269495771,"Other financial services","Primary","Auxiliary financial services","Education","Business services","Government administrative functions, Education, Health",37
"62","9311","8520",0.165824075796741,"Operation of sports facilities","Primary","Sports activities and recreation","Education","Other Service activities","Government administrative functions, Education, Health",389
"63","7010","8520",-0.556544886455481,"Head office activities","Primary","Head offices; mgment consultancy","Education","Business services","Government administrative functions, Education, Health",76
"64","7219","8520",-0.750733136705808,"Other natural sciences, engineering","Primary","Scientific research, development","Education","Business services","Government administrative functions, Education, Health",25
"65","8299","8520",-0.207122219209927,"Other","Primary","Office admin, business support","Education","Business services","Government administrative functions, Education, Health",267
"66","8422","8520",-0.371184664459065,"Defence activities","Primary","Central/Local Gov. administration","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",28
"67","8220","8520",-0.338500062131383,"Activities of call centres","Primary","Office admin, business support","Education","Business services","Government administrative functions, Education, Health",149
"68","4773","8520",-0.302109793039513,"Dispensing chemist","Primary","Specialised retail - other","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",47
"69","9602","8520",-0.277749201213384,"Hairdressing, beauty treatment","Primary","Other personal service activities","Education","Other Service activities","Government administrative functions, Education, Health",52
"70","6629","8520",-0.61774114040839,"Other insurance & pension services","Primary","Auxiliary financial services","Education","Business services ","Government administrative functions, Education, Health",45
"71","4759","8520",-0.343595304308357,"Furniture, lighting, other","Primary","Specialised retail - household","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",52
"72","4778","8520",-0.276060717739202,"Other new goods","Primary","Specialised retail - other","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",97
"73","9700","8520",0.377033009884848,"Households as employers","Primary","Domestic personnel employment","Education","Other Service activities","Government administrative functions, Education, Health",560
"74","7311","8520",-0.581973443880944,"Advertising agencies","Primary","Advertising,market research","Education","Business services","Government administrative functions, Education, Health",34
"75","4669","8520",-0.560242530407384,"Other","Primary","Other m/c, equipment wholesale","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",30
"76","3811","8520",-0.214150292133673,"Non-hazardous waste collection","Primary","Waste","Education","Utilities, sewerage, waste and recycling","Government administrative functions, Education, Health",49
"77","7810","8520",-0.187029834891735,"Employment placement agencies","Primary","Employment activities","Education","Business services","Government administrative functions, Education, Health",174
"78","7500","8520",-0.500199400290776,"Veterinary activities","Primary","Veterinary activities","Education","Agriculture, Forestry, Fishing, Veterinary","Government administrative functions, Education, Health",20
"79","4399","8520",-0.571032392031543,"Other","Primary","Specialised activities","Education","Construction (including development of real estate)","Government administrative functions, Education, Health",20
"80","6832","8520",0.250224711811601,"Managament of fee/contract basis","Primary","Real estate activities","Education","Business services ","Government administrative functions, Education, Health",233
"81","3600","8520",-0.535163134100316,"Water collection, treatment, supply","Primary","Water and sewerage","Education","Utilities, sewerage, waste and recycling","Government administrative functions, Education, Health",21
"82","9499","8520",0.145504072225793,"Other nec","Primary","Membership organisations activities","Education","Other Service activities","Government administrative functions, Education, Health",245
"83","8623","8520",-0.106838392373483,"Dental practices","Primary","Human health activities","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",62
"84","4764","8520",-0.315170325841167,"Sporting equipment","Primary","Specialised retail - other","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",67
"85","4772","8520",-0.398992405656366,"Footwear, leather goods","Primary","Specialised retail - other","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",54
"86","9312","8520",0.0185879689732644,"Activities of sport clubs","Primary","Sports activities and recreation","Education","Other Service activities","Government administrative functions, Education, Health",269
"87","4724","8520",-0.297793531259588,"Bread, cakes, confectionery","Primary","Specialised retail - food etc","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",49
"88","5813","8520",-0.102866465015055,"Newspapers","Primary","Publishing activities","Education","Information and Communication","Government administrative functions, Education, Health",65
"89","7320","8520",-0.415324861978906,"Market research, public polling","Primary","Advertising,market research","Education","Business services","Government administrative functions, Education, Health",27
"90","4322","8520",-0.336930530867912,"Plumbing, heat, air con inst","Primary","Specialised activities","Education","Construction (including development of real estate)","Government administrative functions, Education, Health",44
"91","6492","8520",-0.632761346265951,"Other credit granting","Primary","Financial, insurance, pension","Education","Business services","Government administrative functions, Education, Health",20
"92","4531","8520",-0.639874242436252,"Wholesale trade parts, accessories","Primary","Motor vehicle/cycle trade, repair","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",20
"93","7111","8520",-0.346017098271922,"Architectural activities","Primary","Architectural, eng/tech testing","Education","Business services","Government administrative functions, Education, Health",22
"94","1071","8520",-0.577606457840172,"Bread; pastry goods, cakes","Primary","Food products - other","Education","Manufacture food, drink, tobacco","Government administrative functions, Education, Health",24
"95","4762","8520",-0.389270464349569,"Newspapers, stationery","Primary","Specialised retail - other","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",39
"96","9491","8520",0.346416196483603,"Religious organisations","Primary","Membership organisations activities","Education","Other Service activities","Government administrative functions, Education, Health",130
"97","4777","8520",-0.479396441119611,"Watches, jewellery","Primary","Specialised retail - other","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",23
"98","4645","8520",-0.529832380807613,"Perfume, cosmetics","Primary","Household goods wholesale","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",21
"99","5530","8520",-0.410629944818149,"Camping, vehicle/trailer parks","Primary","Accommodation","Education","Other Service activities","Government administrative functions, Education, Health",22
"100","4791","8520",-0.527920629008275,"Via mail order houses, Internet","Primary","Other retail","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",32
"101","4222","8520",-0.0197020214567975,"Utility - electricity, telecomms","Primary","Civil engineering","Education","Construction (including development of real estate)","Government administrative functions, Education, Health",52
"102","4775","8520",-0.424781320188818,"Cosmetic, toilet articles","Primary","Specialised retail - other","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",28
"103","9609","8520",-0.00996079800809684,"Other","Primary","Other personal service activities","Education","Other Service activities","Government administrative functions, Education, Health",95
"104","1812","8520",-0.462840786348988,"Other","Primary","Printing","Education","All other Manufacturing","Government administrative functions, Education, Health",24
"105","7490","8520",-0.0968807684139345,"Other","Primary","Other professional, scientific/tech","Education","Business services","Government administrative functions, Education, Health",104
"106","4649","8520",-0.623866684886677,"Other","Primary","Household goods wholesale","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",21
"107","4776","8520",-0.227578328316398,"Flowers, plants, pet animals/food","Primary","Specialised retail - other","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",37
"108","4939","8520",-0.49196219771978,"Other passenger land transport","Primary","Land, pipeline transport","Education","Transportation and Storage","Government administrative functions, Education, Health",21
"109","8720","8520",-0.306916632148117,"Learning, mental, substance abuse","Primary","Residential care activities","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",59
"110","2562","8520",-0.604052640963463,"Machining","Primary","Other fabricated metal products","Education","All other Manufacturing","Government administrative functions, Education, Health",22
"111","8541","8520",0.167560031179448,"Post-secondary non-tertiary","Primary","Education","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",124
"112","4690","8520",-0.410565238645007,"Non-specialised wholesale trade","Primary","Other wholesale","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",25
"113","4730","8520",-0.215081664464382,"Automotive fuel (in petrol stations)","Primary","Specialised retail - auto fuel","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",27
"114","4211","8520",0.000954503082550774,"Roads, motorways","Primary","Civil engineering","Education","Construction (including development of real estate)","Government administrative functions, Education, Health",35
"115","8129","8520",-0.161633793879397,"Other cleaning activities","Primary","Buildings, landscape activities","Education","Business services","Government administrative functions, Education, Health",59
"116","8130","8520",-0.157093883540041,"Landscape service activities","Primary","Buildings, landscape activities","Education","Business services","Government administrative functions, Education, Health",20
"117","4110","8520",-0.41161963681174,"Building projects development","Primary","Construction of buildings","Education","Construction (including development of real estate)","Government administrative functions, Education, Health",31
"118","9313","8520",-0.0501596968402301,"Fitness facilities","Primary","Sports activities and recreation","Education","Other Service activities","Government administrative functions, Education, Health",53
"119","9412","8520",0.0690784369936304,"Professional","Primary","Membership organisations activities","Education","Other Service activities","Government administrative functions, Education, Health",24
"120","8510","8520",0.475027255944386,"Pre-primary","Primary","Education","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",213
"121","4779","8520",-0.206984363968793,"Other second hand goods","Primary","Specialised retail - other","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",21
"122","9001","8520",0.444916228116162,"Performing arts","Primary","Creative, arts and entertainment","Education","Other Service activities","Government administrative functions, Education, Health",40
"123","4334","8520",0.134298438090578,"Painting, glazing","Primary","Specialised activities","Education","Construction (including development of real estate)","Government administrative functions, Education, Health",20
"124","9104","8520",0.345345624920398,"Botanical/zoo gardens/reserves","Primary","Libraries, archives, museums","Education","Other Service activities","Government administrative functions, Education, Health",28
"125","9319","8520",0.256363455846641,"Other sports activities","Primary","Sports activities and recreation","Education","Other Service activities","Government administrative functions, Education, Health",54
"126","4761","8520",0.0771216113302683,"Books","Primary","Specialised retail - other","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",22
"127","9102","8520",0.332059716425278,"Museum activities","Primary","Libraries, archives, museums","Education","Other Service activities","Government administrative functions, Education, Health",38
"128","8122","8520",0.219309856670833,"Other industrial cleaning","Primary","Buildings, landscape activities","Education","Business services","Government administrative functions, Education, Health",48
"129","6420","8520",-0.301336865163637,"Holding companies activities","Primary","Financial, insurance, pension","Education","Business services","Government administrative functions, Education, Health",22
"130","5520","8520",-0.0791702457084775,"Holiday and other short stay","Primary","Accommodation","Education","Other Service activities","Government administrative functions, Education, Health",25
"131","6499","8520",-0.12599070158246,"Other financial services nec","Primary","Financial, insurance, pension","Education","Business services","Government administrative functions, Education, Health",33
"132","5914","8520",-0.0531397800814879,"Motion picture projection","Primary","Motion picture, video, radio, TV","Education","Information and Communication","Government administrative functions, Education, Health",21
"133","9329","8520",0.137321212061448,"Other amusement, recreation","Primary","Sports activities and recreation","Education","Other Service activities","Government administrative functions, Education, Health",47
"134","4932","8520",0.396914976478628,"Taxi operation","Primary","Land, pipeline transport","Education","Transportation and Storage","Government administrative functions, Education, Health",28
"135","113","8520",0.040587113976361,"Vegetables, melons, roots, tubers","Primary","Growing crops","Education","Agriculture, Forestry, Fishing, Veterinary","Government administrative functions, Education, Health",25
"136","8560","8520",0.54310649275935,"Educational support activities","Primary","Other education","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",82
"137","150","8520",0.161863038602266,"Mixed farming","Primary","Animal production, hunting","Education","Agriculture, Forestry, Fishing, Veterinary","Government administrative functions, Education, Health",24
"138","9004","8520",0.314465694847761,"Operation of arts facilities","Primary","Creative, arts and entertainment","Education","Other Service activities","Government administrative functions, Education, Health",33
"139","9101","8520",0.752385417157905,"Library and archive activities","Primary","Libraries, archives, museums","Education","Other Service activities","Government administrative functions, Education, Health",58
"140","9321","8520",0.483340547192611,"Amusement parks, theme parks","Primary","Sports activities and recreation","Education","Other Service activities","Government administrative functions, Education, Health",20
"141","9103","8520",0.43430080014072,"Operating historical sites/buildings","Primary","Libraries, archives, museums","Education","Other Service activities","Government administrative functions, Education, Health",20
"142","6399","8520",0.67345733343913,"Other","Primary","Information service activities","Education","Information and Communication","Government administrative functions, Education, Health",21
"143","8551","8520",0.357034952138203,"Sports, recreation education","Primary","Sports, recreation education","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",24
"144","5590","8520",0.710491525055438,"Other","Primary","Accommodation","Education","Other Service activities","Government administrative functions, Education, Health",23
"145","8552","8520",0.814151854680378,"Cultural education","Primary","Other education","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",22
"146","8520","8610",-0.606579848606085,"Primary","Hospital activities","Education","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",878
"147","8610","8610",1,"Hospital activities","Hospital activities","Human health activities","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",1
"148","4711","8610",-0.584738167134148,"Food, beverages, tobacco mainly","Hospital activities","Non specialised retail stores","Human health activities","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",418
"149","6419","8610",-0.855882926507367,"Other monetary intermediation","Hospital activities","Financial, insurance, pension","Human health activities","Business services","Government administrative functions, Education, Health",58
"150","5610","8610",-0.621236182117274,"Restaurants, mobile food service","Hospital activities","Food, beverage service","Human health activities","Other Service activities","Government administrative functions, Education, Health",215
"151","8424","8610",-0.808037065080862,"Police, public order, safety activ.","Hospital activities","Central/Local Gov. administration","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",36
"152","7820","8610",0.166940857428168,"Temporary employment agencies","Hospital activities","Employment activities","Human health activities","Business services","Government administrative functions, Education, Health",2158
"153","4771","8610",-0.584539268603542,"Clothing","Hospital activities","Specialised retail - other","Human health activities","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",181
"154","8411","8610",-0.710579584801471,"General public administration","Hospital activities","Central/Local Gov. administration","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",142
"155","8121","8610",-0.587493882875608,"General cleaning of buildings","Hospital activities","Buildings, landscape activities","Human health activities","Business services","Government administrative functions, Education, Health",192
"156","8690","8610",0.65386106426437,"Other","Hospital activities","Human health activities","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",3579
"157","5310","8610",-0.800557602683725,"Under universal service obligation","Hospital activities","Postal, courier activities","Human health activities","Transportation and Storage","Government administrative functions, Education, Health",26
"158","8542","8610",0.0719978446298273,"Tertiary","Hospital activities","Education","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",581
"159","6910","8610",-0.624964459803398,"Legal activities","Hospital activities","Legal and accounting activities","Human health activities","Business services ","Government administrative functions, Education, Health",57
"160","4719","8610",-0.454313444946181,"Other non specialised","Hospital activities","Non specialised retail stores","Human health activities","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",153
"161","8899","8610",-0.260595435772283,"Other","Hospital activities","Non residential social work","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",369
"162","4120","8610",-0.878615736644349,"Residential, non-residential buildings","Hospital activities","Construction of buildings","Human health activities","Construction (including development of real estate)","Government administrative functions, Education, Health",22
"163","6920","8610",-0.556371880476524,"Accounting, auditing; tax consltcy","Hospital activities","Legal and accounting activities","Human health activities","Business services","Government administrative functions, Education, Health",95
"164","5630","8610",-0.503245320456801,"Beverage serving","Hospital activities","Food, beverage service","Human health activities","Other Service activities","Government administrative functions, Education, Health",207
"165","7112","8610",-0.781809556572908,"Engineering/tech consultancy","Hospital activities","Architectural, eng/tech testing","Human health activities","Business services","Government administrative functions, Education, Health",39
"166","8810","8610",-0.0935572169921914,"Elderly, disabled","Hospital activities","Non residential social work","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",444
"167","8531","8610",-0.76081787961075,"General secondary","Hospital activities","Education","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",82
"168","6820","8610",-0.592005238866429,"Renting, operating own or leased ","Hospital activities","Real estate activities","Human health activities","Business services ","Government administrative functions, Education, Health",67
"169","6202","8610",-0.589540705769828,"Consultancy activities","Hospital activities","Computer programming, consultancy","Human health activities","Information and Communication","Government administrative functions, Education, Health",64
"170","8010","8610",-0.53648826504945,"Private security","Hospital activities","Security, investigation activities","Human health activities","Business services","Government administrative functions, Education, Health",66
"171","4511","8610",-0.691000585959906,"Sale of cars, light motor vehicles","Hospital activities","Motor vehicle/cycle trade, repair","Human health activities","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",32
"172","8790","8610",-0.0174565098083344,"Other","Hospital activities","Residential care activities","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",413
"173","9200","8610",-0.522813715318382,"Gambling, betting activities","Hospital activities","Gambling, betting","Human health activities","Other Service activities","Government administrative functions, Education, Health",46
"174","5510","8610",-0.649987200329421,"Hotels and similar","Hospital activities","Accommodation","Human health activities","Other Service activities","Government administrative functions, Education, Health",71
"175","4941","8610",-0.797752572561702,"Road freight transport","Hospital activities","Land, pipeline transport","Human health activities","Transportation and Storage","Government administrative functions, Education, Health",24
"176","8710","8610",0.412515268412787,"Residential nursing care","Hospital activities","Residential care activities","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",1010
"177","8430","8610",-0.786387158818355,"Compulsory social security activities","Hospital activities","Central/Local Gov. administration","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",23
"178","7022","8610",-0.498871319053479,"Business, other management","Hospital activities","Head offices; mgment consultancy","Human health activities","Business services","Government administrative functions, Education, Health",120
"179","8110","8610",-0.404934870623713,"Combined facilities support","Hospital activities","Buildings, landscape activities","Human health activities","Business services","Government administrative functions, Education, Health",160
"180","8730","8610",0.100342102276039,"Elderly, disabled","Hospital activities","Residential care activities","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",529
"181","8423","8610",-0.531602833165667,"Justice, judicial activities","Hospital activities","Central/Local Gov. administration","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",53
"182","5621","8610",-0.620304997599397,"Event catering","Hospital activities","Food, beverage service","Human health activities","Other Service activities","Government administrative functions, Education, Health",65
"183","6622","8610",-0.770019921692506,"Insurance agents/brokers activities","Hospital activities","Auxiliary financial services","Human health activities","Business services","Government administrative functions, Education, Health",20
"184","8532","8610",-0.593806288316942,"Technical, vocational secondary","Hospital activities","Education","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",65
"185","8891","8610",-0.395737284924968,"Child day-care","Hospital activities","Non residential social work","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",111
"186","4754","8610",-0.559688798878906,"Electrical household appliances","Hospital activities","Specialised retail - household","Human health activities","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",23
"187","8621","8610",0.618380000397981,"General medical practices","Hospital activities","Human health activities","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",899
"188","5320","8610",-0.711995631211883,"Other","Hospital activities","Postal, courier activities","Human health activities","Transportation and Storage","Government administrative functions, Education, Health",28
"189","4299","8610",-0.75462853368106,"Other civil engineering nec","Hospital activities","Civil engineering","Human health activities","Construction (including development of real estate)","Government administrative functions, Education, Health",24
"190","5629","8610",-0.611261673085462,"Other food service","Hospital activities","Food, beverage service","Human health activities","Other Service activities","Government administrative functions, Education, Health",64
