"","StartIndst","FinalIndst","weight","SubActivity_StartIndst","SubActivity_FinalIndst","MainActivity_StartIndst","MainActivity_FinalIndst","MainIndustry_StartIndst","MainIndustry_FinalIndst","Counts"
"1","8520","8520",1,"Primary","Primary","Education","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",1
"2","8610","8520",-0.606579848606085,"Hospital activities","Primary","Human health activities","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",878
"3","4711","8520",-0.358888089770348,"Food, beverages, tobacco mainly","Primary","Non specialised retail stores","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",1146
"4","6419","8520",-0.743929485295827,"Other monetary intermediation","Primary","Financial, insurance, pension","Education","Business services","Government administrative functions, Education, Health",167
"5","5610","8520",-0.602132305179473,"Restaurants, mobile food service","Primary","Food, beverage service","Education","Other Service activities","Government administrative functions, Education, Health",348
"6","8424","8520",-0.468232933333402,"Police, public order, safety activ.","Primary","Central/Local Gov. administration","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",187
"7","7820","8520",-0.371101294458077,"Temporary employment agencies","Primary","Employment activities","Education","Business services","Government administrative functions, Education, Health",1076
"8","4771","8520",-0.431947131810595,"Clothing","Primary","Specialised retail - other","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",417
"9","8411","8520",0.566563727439974,"General public administration","Primary","Central/Local Gov. administration","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",4619
"10","8121","8520",-0.145680967753732,"General cleaning of buildings","Primary","Buildings, landscape activities","Education","Business services","Government administrative functions, Education, Health",839
"11","8690","8520",-0.488453140726969,"Other","Primary","Human health activities","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",392
"12","5310","8520",-0.758873412271213,"Under universal service obligation","Primary","Postal, courier activities","Education","Transportation and Storage","Government administrative functions, Education, Health",49
"13","8542","8520",-0.212902653882864,"Tertiary","Primary","Education","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",497
"14","6910","8520",-0.541049674683106,"Legal activities","Primary","Legal and accounting activities","Education","Business services ","Government administrative functions, Education, Health",112
"15","4719","8520",-0.468028714968393,"Other non specialised","Primary","Non specialised retail stores","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",225
"16","8899","8520",0.294834481344866,"Other","Primary","Non residential social work","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",1759
"17","4120","8520",-0.589251116203168,"Residential, non-residential buildings","Primary","Construction of buildings","Education","Construction (including development of real estate)","Government administrative functions, Education, Health",134
