"","StartIndst","FinalIndst","weight","SubActivity_StartIndst","SubActivity_FinalIndst","MainActivity_StartIndst","MainActivity_FinalIndst","MainIndustry_StartIndst","MainIndustry_FinalIndst","Counts"
"1","8010","8010",1,"Primary education","Primary education","NA","NA","NA","NA",33331
"2","8511","8010",-0.653068204878661,"Public sector hospital activities, including NHS trusts, Private sector hospital activities,Medical nursing home activities","Primary education","NA","NA","NA","NA",741
"3","5211","8010",-0.563467294561896,"Retail sale by confectioners, tobacconists and newsagents (CTNs), non-specialised stores holding an alcohol licence, with food, beverages or tobacco predominating","Primary education","NA","NA","NA","NA",724
"4","6512","8010",-0.769458829388678,"Banks,Building societies","Primary education","NA","NA","NA","NA",226
"5","7511","8010",0.276995731489977,"General (overall) public service activities","Primary education","NA","NA","NA","NA",3304
"6","8030","8010",-0.285545984556808,"Sub-degree level higher education, First-degree level higher education, Post-graduate level higher education","Primary education","NA, NA, NA","NA","NA, NA, NA","NA",632
"7","4521","8010",-0.480274184185351,"Construction of commercial buildings, Construction of domestic buildings, Construction of civil engineering constructions","Primary education","NA, NA, NA","NA","NA, NA, NA","NA",344
"8","7524","8010",-0.354760687290718,"Public security, law and order activities","Primary education","NA","NA","NA","NA",339
"9","8532","8010",0.205057185185226,"Charitable social work activities without accommodation,Non-charitable social work activities without accommodation","Primary education","NA","NA","NA","NA",1412
"10","8531","8010",-0.0654908502578039,"Charitable social work activities with accommodation, Non-charitable social work activities with accommodation","Primary education","NA, NA","NA","NA, NA","NA",758
"11","7411","8010",-0.783695279211683,"Barristers at law,Solicitors,Activities of patent and copyright agents,Other legal activities not elsewhere classified","Primary education","NA","NA","NA","NA",65
"12","6411","8010",-0.753827928025374,"National post activities","Primary education","NA","NA","NA","NA",71
"13","7420","8010",-0.70970051481086,"Architectural,Urban planning and landscape architectural activities, Engineering design activities for industrial process and production, Engineering related scientific and technical consulting activities,Engineering consultative and design activities, Other engineering activities, Quantity surveying activities","Primary education","NA, NA, NA","NA","NA, NA, NA","NA",107
"14","6420","8010",-0.877186121925627,"Telecommunications","Primary education","NA","NA","NA","NA",34
"15","8021","8010",0.510067947732428,"General secondary education","Primary education","NA","NA","NA","NA",2262
"16","7450","8010",-0.37418678885545,"Labour recruitment and provision of personnel","Primary education","NA","NA","NA","NA",446
