"","StartIndst","FinalIndst","weight","SubActivity_StartIndst","SubActivity_FinalIndst","MainActivity_StartIndst","MainActivity_FinalIndst","MainIndustry_StartIndst","MainIndustry_FinalIndst","Counts"
"1","8520","8520",1,"Primary","Primary","Education","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",10210
"2","8610","8520",-0.796082837141333,"Hospital activities","Primary","Human health activities","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",129
"3","6419","8520",-0.807151549577644,"Other monetary intermediation","Primary","Financial, insurance, pension","Education","Business services","Government administrative functions, Education, Health",55
"4","4711","8520",-0.412865587989557,"Food, beverages, tobacco mainly","Primary","Non specialised retail stores","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",277
"5","5310","8520",-0.876227729729212,"Under universal service obligation","Primary","Postal, courier activities","Education","Transportation and Storage","Government administrative functions, Education, Health",17
"6","8424","8520",-0.794763496607082,"Police, public order, safety activ.","Primary","Central/Local Gov. administration","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",24
"7","4771","8520",-0.463775380263083,"Clothing","Primary","Specialised retail - other","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",119
"8","7820","8520",-0.496700231204712,"Temporary employment agencies","Primary","Employment activities","Education","Business services","Government administrative functions, Education, Health",175
"9","5610","8520",-0.627728811713127,"Restaurants, mobile food service","Primary","Food, beverage service","Education","Other Service activities","Government administrative functions, Education, Health",68
"10","8411","8520",0.42806743956269,"General public administration","Primary","Central/Local Gov. administration","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",805
"11","8690","8520",-0.676949018333751,"Other","Primary","Human health activities","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",61
"12","8542","8520",-0.442258599721017,"Tertiary","Primary","Education","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",84
"13","8121","8520",-0.231311336527144,"General cleaning of buildings","Primary","Buildings, landscape activities","Education","Business services","Government administrative functions, Education, Health",165
"14","4719","8520",-0.477188177495723,"Other non specialised","Primary","Non specialised retail stores","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",59
"15","8899","8520",-0.0228905416504805,"Other","Primary","Non residential social work","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",236
"16","6910","8520",-0.677314785673821,"Legal activities","Primary","Legal and accounting activities","Education","Business services ","Government administrative functions, Education, Health",22
"17","4120","8520",-0.673448458172229,"Residential, non-residential buildings","Primary","Construction of buildings","Education","Construction (including development of real estate)","Government administrative functions, Education, Health",30
"18","7112","8520",-0.672467356147426,"Engineering/tech consultancy","Primary","Architectural, eng/tech testing","Education","Business services","Government administrative functions, Education, Health",28
"19","6190","8520",-0.743193487789605,"Other","Primary","Telecommunications","Education","Information and Communication","Government administrative functions, Education, Health",16
"20","6920","8520",-0.485635782328414,"Accounting, auditing; tax consltcy","Primary","Legal and accounting activities","Education","Business services","Government administrative functions, Education, Health",39
"21","5621","8520",-0.432863135985309,"Event catering","Primary","Food, beverage service","Education","Other Service activities","Government administrative functions, Education, Health",70
"22","5630","8520",-0.303899864307072,"Beverage serving","Primary","Food, beverage service","Education","Other Service activities","Government administrative functions, Education, Health",111
"23","4931","8520",-0.8000339355264,"Urban/suburban passenger transport","Primary","Land, pipeline transport","Education","Transportation and Storage","Government administrative functions, Education, Health",10
"24","6820","8520",-0.380650374720833,"Renting, operating own or leased ","Primary","Real estate activities","Education","Business services ","Government administrative functions, Education, Health",53
"25","4511","8520",-0.757476124301469,"Sale of cars, light motor vehicles","Primary","Motor vehicle/cycle trade, repair","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",12
"26","8010","8520",-0.807337449781462,"Private security","Primary","Security, investigation activities","Education","Business services","Government administrative functions, Education, Health",10
"27","6202","8520",-0.803614353984504,"Consultancy activities","Primary","Computer programming, consultancy","Education","Information and Communication","Government administrative functions, Education, Health",11
"28","8810","8520",-0.245790774407339,"Elderly, disabled","Primary","Non residential social work","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",93
"29","8790","8520",-0.237969007419886,"Other","Primary","Residential care activities","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",99
"30","9200","8520",-0.396635880670208,"Gambling, betting activities","Primary","Gambling, betting","Education","Other Service activities","Government administrative functions, Education, Health",27
"31","6622","8520",-0.734003362251463,"Insurance agents/brokers activities","Primary","Auxiliary financial services","Education","Business services","Government administrative functions, Education, Health",10
"32","7022","8520",-0.520286560394557,"Business, other management","Primary","Head offices; mgment consultancy","Education","Business services","Government administrative functions, Education, Health",34
"33","8532","8520",0.00670594755142754,"Technical, vocational secondary","Primary","Education","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",104
"34","5510","8520",-0.46555813286768,"Hotels and similar","Primary","Accommodation","Education","Other Service activities","Government administrative functions, Education, Health",38
"35","8730","8520",-0.339231707597763,"Elderly, disabled","Primary","Residential care activities","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",84
"36","8531","8520",0.533062355149307,"General secondary","Primary","Education","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",361
"37","4299","8520",-0.657953995763207,"Other civil engineering nec","Primary","Civil engineering","Education","Construction (including development of real estate)","Government administrative functions, Education, Health",19
