"","StartIndst","FinalIndst","weight","SubActivity_StartIndst","SubActivity_FinalIndst","MainActivity_StartIndst","MainActivity_FinalIndst","MainIndustry_StartIndst","MainIndustry_FinalIndst","Counts"
"38","8710","8520",-0.475039680507911,"Residential nursing care","Primary","Residential care activities","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",38
"39","8423","8520",-0.565449575112844,"Justice, judicial activities","Primary","Central/Local Gov. administration","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",22
"40","4321","8520",-0.727285853791992,"Electrical installation","Primary","Specialised activities","Education","Construction (including development of real estate)","Government administrative functions, Education, Health",14
"41","8110","8520",-0.312020279211944,"Combined facilities support","Primary","Buildings, landscape activities","Education","Business services","Government administrative functions, Education, Health",54
"42","8891","8520",0.284793290808123,"Child day-care","Primary","Non residential social work","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",136
"43","8559","8520",-0.0835307262569833,"Other education nec","Primary","Other education","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",75
"44","8621","8520",-0.440265570342125,"General medical practices","Primary","Human health activities","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",26
"45","6831","8520",-0.559148222597255,"Agencies fee/contract basis","Primary","Real estate activities","Education","Business services ","Government administrative functions, Education, Health",12
"46","4520","8520",-0.643552446774485,"Maintenance/repair of vehicles","Primary","Motor vehicle/cycle trade, repair","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",10
"47","8412","8520",-0.485163275394715,"Health care, education etc","Primary","Central/Local Gov. administration","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",29
"48","6629","8520",-0.639094515489755,"Other insurance & pension services","Primary","Auxiliary financial services","Education","Business services ","Government administrative functions, Education, Health",15
"49","8425","8520",0.129818939367993,"Fire service activities","Primary","Central/Local Gov. administration","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",37
"50","7810","8520",-0.126884101166652,"Employment placement agencies","Primary","Employment activities","Education","Business services","Government administrative functions, Education, Health",38
"51","4752","8520",-0.253757414753084,"Hardware, paints, glass","Primary","Specialised retail - household","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",19
"52","4778","8520",-0.34658683550596,"Other new goods","Primary","Specialised retail - other","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",20
"53","8299","8520",-0.445608176427777,"Other","Primary","Office admin, business support","Education","Business services","Government administrative functions, Education, Health",25
"54","9311","8520",0.0321638898676197,"Operation of sports facilities","Primary","Sports activities and recreation","Education","Other Service activities","Government administrative functions, Education, Health",51
"55","6832","8520",0.194944675286451,"Managament of fee/contract basis","Primary","Real estate activities","Education","Business services ","Government administrative functions, Education, Health",59
"56","4759","8520",-0.337319027921406,"Furniture, lighting, other","Primary","Specialised retail - household","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",12
"57","9499","8520",0.198815732880116,"Other nec","Primary","Membership organisations activities","Education","Other Service activities","Government administrative functions, Education, Health",56
"58","4772","8520",-0.433553966618149,"Footwear, leather goods","Primary","Specialised retail - other","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",13
"59","4773","8520",-0.345278765780551,"Dispensing chemist","Primary","Specialised retail - other","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",10
"60","5813","8520",0.000585537230408899,"Newspapers","Primary","Publishing activities","Education","Information and Communication","Government administrative functions, Education, Health",24
"61","4764","8520",-0.301130360692985,"Sporting equipment","Primary","Specialised retail - other","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",18
"62","4322","8520",-0.284936011781021,"Plumbing, heat, air con inst","Primary","Specialised activities","Education","Construction (including development of real estate)","Government administrative functions, Education, Health",13
"63","4762","8520",-0.415866685657314,"Newspapers, stationery","Primary","Specialised retail - other","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",11
"64","9602","8520",-0.363128144605255,"Hairdressing, beauty treatment","Primary","Other personal service activities","Education","Other Service activities","Government administrative functions, Education, Health",10
"65","9312","8520",0.0616660691556338,"Activities of sport clubs","Primary","Sports activities and recreation","Education","Other Service activities","Government administrative functions, Education, Health",53
"66","8720","8520",-0.531494893646188,"Learning, mental, substance abuse","Primary","Residential care activities","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",11
"67","7010","8520",-0.524308825780949,"Head office activities","Primary","Head offices; mgment consultancy","Education","Business services","Government administrative functions, Education, Health",10
"68","8220","8520",-0.514421027705423,"Activities of call centres","Primary","Office admin, business support","Education","Business services","Government administrative functions, Education, Health",10
"69","9609","8520",0.0998032072677165,"Other","Primary","Other personal service activities","Education","Other Service activities","Government administrative functions, Education, Health",26
"70","8623","8520",-0.203866909966223,"Dental practices","Primary","Human health activities","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",11
"71","9700","8520",0.410323135807248,"Households as employers","Primary","Domestic personnel employment","Education","Other Service activities","Government administrative functions, Education, Health",86
"72","9491","8520",0.179794027961567,"Religious organisations","Primary","Membership organisations activities","Education","Other Service activities","Government administrative functions, Education, Health",19
"73","8541","8520",-0.000142794949934653,"Post-secondary non-tertiary","Primary","Education","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",28
"74","4791","8520",-0.170544106985616,"Via mail order houses, Internet","Primary","Other retail","Education","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",13
"75","7490","8520",-0.0344683407696756,"Other","Primary","Other professional, scientific/tech","Education","Business services","Government administrative functions, Education, Health",25
"76","5629","8520",0.0600429062524232,"Other food service","Primary","Food, beverage service","Education","Other Service activities","Government administrative functions, Education, Health",28
"77","8510","8520",0.526439344286106,"Pre-primary","Primary","Education","Education","Government administrative functions, Education, Health","Government administrative functions, Education, Health",41
"78","4211","8520",0.187005800155134,"Roads, motorways","Primary","Civil engineering","Education","Construction (including development of real estate)","Government administrative functions, Education, Health",10
"79","9001","8520",0.353084790498185,"Performing arts","Primary","Creative, arts and entertainment","Education","Other Service activities","Government administrative functions, Education, Health",11
"80","9329","8520",0.388599211777293,"Other amusement, recreation","Primary","Sports activities and recreation","Education","Other Service activities","Government administrative functions, Education, Health",10
"81","8122","8520",0.137465469996339,"Other industrial cleaning","Primary","Buildings, landscape activities","Education","Business services","Government administrative functions, Education, Health",10
"82","9319","8520",0.279913116207073,"Other sports activities","Primary","Sports activities and recreation","Education","Other Service activities","Government administrative functions, Education, Health",10
"83","9313","8520",0.313560950611748,"Fitness facilities","Primary","Sports activities and recreation","Education","Other Service activities","Government administrative functions, Education, Health",11
"84","9101","8520",0.619166783082988,"Library and archive activities","Primary","Libraries, archives, museums","Education","Other Service activities","Government administrative functions, Education, Health",13
"85","8520","8610",-0.738277921173325,"Primary","Hospital activities","Education","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",198
"86","8610","8610",1,"Hospital activities","Hospital activities","Human health activities","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",6655
"87","6419","8610",-0.902765907289619,"Other monetary intermediation","Hospital activities","Financial, insurance, pension","Human health activities","Business services","Government administrative functions, Education, Health",17
"88","4711","8610",-0.644527235757671,"Food, beverages, tobacco mainly","Hospital activities","Non specialised retail stores","Human health activities","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",93
"89","4771","8610",-0.596461434820455,"Clothing","Hospital activities","Specialised retail - other","Human health activities","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",53
"90","7820","8610",0.0509835638752013,"Temporary employment agencies","Hospital activities","Employment activities","Human health activities","Business services","Government administrative functions, Education, Health",372
"91","5610","8610",-0.580097914357075,"Restaurants, mobile food service","Hospital activities","Food, beverage service","Human health activities","Other Service activities","Government administrative functions, Education, Health",51
"92","8411","8610",-0.808776606078503,"General public administration","Hospital activities","Central/Local Gov. administration","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",22
"93","8690","8610",0.57656983650747,"Other","Hospital activities","Human health activities","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",761
"94","8542","8610",-0.0339418563963251,"Tertiary","Hospital activities","Education","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",131
"95","8121","8610",-0.568012308158918,"General cleaning of buildings","Hospital activities","Buildings, landscape activities","Human health activities","Business services","Government administrative functions, Education, Health",47
"96","4719","8610",-0.448187430110382,"Other non specialised","Hospital activities","Non specialised retail stores","Human health activities","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",41
"97","8899","8610",-0.408303973718898,"Other","Hospital activities","Non residential social work","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",67
"98","7112","8610",-0.804469768706947,"Engineering/tech consultancy","Hospital activities","Architectural, eng/tech testing","Human health activities","Business services","Government administrative functions, Education, Health",10
"99","6920","8610",-0.620991575373835,"Accounting, auditing; tax consltcy","Hospital activities","Legal and accounting activities","Human health activities","Business services","Government administrative functions, Education, Health",17
"100","5621","8610",-0.754136584375231,"Event catering","Hospital activities","Food, beverage service","Human health activities","Other Service activities","Government administrative functions, Education, Health",16
"101","5630","8610",-0.50618790273544,"Beverage serving","Hospital activities","Food, beverage service","Human health activities","Other Service activities","Government administrative functions, Education, Health",44
"102","6820","8610",-0.76814353708307,"Renting, operating own or leased ","Hospital activities","Real estate activities","Human health activities","Business services ","Government administrative functions, Education, Health",10
"103","8010","8610",-0.716514456815723,"Private security","Hospital activities","Security, investigation activities","Human health activities","Business services","Government administrative functions, Education, Health",10
"104","6202","8610",-0.734071030674685,"Consultancy activities","Hospital activities","Computer programming, consultancy","Human health activities","Information and Communication","Government administrative functions, Education, Health",10
"105","8810","8610",-0.179324367930184,"Elderly, disabled","Hospital activities","Non residential social work","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",69
"106","8790","8610",-0.135723431327301,"Other","Hospital activities","Residential care activities","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",79
"107","7022","8610",-0.645180339360202,"Business, other management","Hospital activities","Head offices; mgment consultancy","Human health activities","Business services","Government administrative functions, Education, Health",15
"108","8532","8610",-0.610868112115075,"Technical, vocational secondary","Hospital activities","Education","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",16
"109","5510","8610",-0.596489969025053,"Hotels and similar","Hospital activities","Accommodation","Human health activities","Other Service activities","Government administrative functions, Education, Health",17
"110","8730","8610",-0.0421572603862346,"Elderly, disabled","Hospital activities","Residential care activities","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",101
"111","8531","8610",-0.752997963230953,"General secondary","Hospital activities","Education","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",10
"112","8710","8610",0.330623920753353,"Residential nursing care","Hospital activities","Residential care activities","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",137
"113","8423","8610",-0.546526079283854,"Justice, judicial activities","Hospital activities","Central/Local Gov. administration","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",15
"114","8110","8610",-0.573819055413676,"Combined facilities support","Hospital activities","Buildings, landscape activities","Human health activities","Business services","Government administrative functions, Education, Health",18
"115","8891","8610",-0.461614356153128,"Child day-care","Hospital activities","Non residential social work","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",18
"116","8559","8610",-0.702534426703142,"Other education nec","Hospital activities","Other education","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",10
"117","8621","8610",0.492514751356384,"General medical practices","Hospital activities","Human health activities","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",127
"118","7219","8610",-0.431122284634901,"Other natural sciences, engineering","Hospital activities","Scientific research, development","Human health activities","Business services","Government administrative functions, Education, Health",15
"119","8412","8610",0.490580438578129,"Health care, education etc","Hospital activities","Central/Local Gov. administration","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",158
"120","7810","8610",-0.30122667156656,"Employment placement agencies","Hospital activities","Employment activities","Human health activities","Business services","Government administrative functions, Education, Health",17
"121","8299","8610",-0.377838115707147,"Other","Hospital activities","Office admin, business support","Human health activities","Business services","Government administrative functions, Education, Health",19
"122","9311","8610",-0.407302717624213,"Operation of sports facilities","Hospital activities","Sports activities and recreation","Human health activities","Other Service activities","Government administrative functions, Education, Health",13
"123","4646","8610",-0.293662967997942,"Pharmaceutical goods","Hospital activities","Household goods wholesale","Human health activities","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",10
"124","9312","8610",-0.253664743129718,"Activities of sport clubs","Hospital activities","Sports activities and recreation","Human health activities","Other Service activities","Government administrative functions, Education, Health",18
"125","8720","8610",0.648896329927693,"Learning, mental, substance abuse","Hospital activities","Residential care activities","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",109
"126","8220","8610",-0.336227720568897,"Activities of call centres","Hospital activities","Office admin, business support","Human health activities","Business services","Government administrative functions, Education, Health",10
"127","8623","8610",0.415488470551587,"Dental practices","Hospital activities","Human health activities","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",26
"128","9700","8610",-0.074280774261701,"Households as employers","Hospital activities","Domestic personnel employment","Human health activities","Other Service activities","Government administrative functions, Education, Health",20
"129","7490","8610",-0.267099070828445,"Other","Hospital activities","Other professional, scientific/tech","Human health activities","Business services","Government administrative functions, Education, Health",10
"130","4779","8610",0.250017779602021,"Other second hand goods","Hospital activities","Specialised retail - other","Human health activities","Wholesale and retail,motor vehicle repair,sale of fuel","Government administrative functions, Education, Health",10
"131","8622","8610",0.636934348235552,"Specialist medical practices","Hospital activities","Human health activities","Human health activities","Government administrative functions, Education, Health","Government administrative functions, Education, Health",21
"132","8520","6419",-0.883567417370844,"Primary","Other monetary intermediation","Education","Financial, insurance, pension","Government administrative functions, Education, Health","Business services",35
"133","8610","6419",-0.938606536640425,"Hospital activities","Other monetary intermediation","Human health activities","Financial, insurance, pension","Government administrative functions, Education, Health","Business services",10
"134","6419","6419",1,"Other monetary intermediation","Other monetary intermediation","Financial, insurance, pension","Financial, insurance, pension","Business services","Business services",3370
"135","4711","6419",-0.542135561293256,"Food, beverages, tobacco mainly","Other monetary intermediation","Non specialised retail stores","Financial, insurance, pension","Wholesale and retail,motor vehicle repair,sale of fuel","Business services",55
"136","8424","6419",-0.707289638515693,"Police, public order, safety activ.","Other monetary intermediation","Central/Local Gov. administration","Financial, insurance, pension","Government administrative functions, Education, Health","Business services",10
"137","4771","6419",-0.37536933808523,"Clothing","Other monetary intermediation","Specialised retail - other","Financial, insurance, pension","Wholesale and retail,motor vehicle repair,sale of fuel","Business services",41
"138","7820","6419",-0.144986770283201,"Temporary employment agencies","Other monetary intermediation","Employment activities","Financial, insurance, pension","Business services","Business services",108
"139","5610","6419",-0.564516896001699,"Restaurants, mobile food service","Other monetary intermediation","Food, beverage service","Financial, insurance, pension","Other Service activities","Business services",23
"140","8411","6419",-0.799192303775255,"General public administration","Other monetary intermediation","Central/Local Gov. administration","Financial, insurance, pension","Government administrative functions, Education, Health","Business services",10
"141","8542","6419",-0.715773161867642,"Tertiary","Other monetary intermediation","Education","Financial, insurance, pension","Government administrative functions, Education, Health","Business services",10
"142","8121","6419",-0.760342714826413,"General cleaning of buildings","Other monetary intermediation","Buildings, landscape activities","Financial, insurance, pension","Business services","Business services",10
"143","4719","6419",-0.356051452278604,"Other non specialised","Other monetary intermediation","Non specialised retail stores","Financial, insurance, pension","Wholesale and retail,motor vehicle repair,sale of fuel","Business services",22
"144","8899","6419",-0.745740855548667,"Other","Other monetary intermediation","Non residential social work","Financial, insurance, pension","Government administrative functions, Education, Health","Business services",10
"145","6910","6419",-0.451813221025054,"Legal activities","Other monetary intermediation","Legal and accounting activities","Financial, insurance, pension","Business services ","Business services",12
"146","6190","6419",-0.366274475177148,"Other","Other monetary intermediation","Telecommunications","Financial, insurance, pension","Information and Communication","Business services",14
"147","6920","6419",-0.174558971117102,"Accounting, auditing; tax consltcy","Other monetary intermediation","Legal and accounting activities","Financial, insurance, pension","Business services","Business services",22
"148","5630","6419",-0.379349683595878,"Beverage serving","Other monetary intermediation","Food, beverage service","Financial, insurance, pension","Other Service activities","Business services",26
"149","6202","6419",-0.192790903892531,"Consultancy activities","Other monetary intermediation","Computer programming, consultancy","Financial, insurance, pension","Information and Communication","Business services",19
"150","9200","6419",-0.269243995745037,"Gambling, betting activities","Other monetary intermediation","Gambling, betting","Financial, insurance, pension","Other Service activities","Business services",10
"151","6622","6419",-0.28867890821613,"Insurance agents/brokers activities","Other monetary intermediation","Auxiliary financial services","Financial, insurance, pension","Business services","Business services",10
"152","7022","6419",-0.427825361079559,"Business, other management","Other monetary intermediation","Head offices; mgment consultancy","Financial, insurance, pension","Business services","Business services",12
"153","6512","6419",-0.00240963122760452,"Non-life insurance","Other monetary intermediation","Financial, insurance, pension","Financial, insurance, pension","Business services","Business services",16
"154","6831","6419",-0.0823393053327336,"Agencies fee/contract basis","Other monetary intermediation","Real estate activities","Financial, insurance, pension","Business services ","Business services",10
"155","6629","6419",-0.265011933951889,"Other insurance & pension services","Other monetary intermediation","Auxiliary financial services","Financial, insurance, pension","Business services ","Business services",11
"156","6619","6419",0.504390519187359,"Other financial services","Other monetary intermediation","Auxiliary financial services","Financial, insurance, pension","Business services","Business services",39
"157","7810","6419",-0.0635977388316282,"Employment placement agencies","Other monetary intermediation","Employment activities","Financial, insurance, pension","Business services","Business services",12
"158","6511","6419",0.584523678110167,"Life insurance","Other monetary intermediation","Financial, insurance, pension","Financial, insurance, pension","Business services","Business services",35
"159","8299","6419",-0.28867890821613,"Other","Other monetary intermediation","Office admin, business support","Financial, insurance, pension","Business services","Business services",10
"160","6612","6419",0.876757369261564,"Security,commodity contract broking","Other monetary intermediation","Auxiliary financial services","Financial, insurance, pension","Business services","Business services",147
"161","8220","6419",0.0713828550529657,"Activities of call centres","Other monetary intermediation","Office admin, business support","Financial, insurance, pension","Business services","Business services",10
"162","6492","6419",0.777945808179182,"Other credit granting","Other monetary intermediation","Financial, insurance, pension","Financial, insurance, pension","Business services","Business services",43
"163","6630","6419",0.589415266323557,"Fund management activities","Other monetary intermediation","Auxiliary financial services","Financial, insurance, pension","Business services ","Business services",10
"164","8520","4711",-0.510281055428984,"Primary","Food, beverages, tobacco mainly","Education","Non specialised retail stores","Government administrative functions, Education, Health","Wholesale and retail,motor vehicle repair,sale of fuel",239
"165","8610","4711",-0.786982732735863,"Hospital activities","Food, beverages, tobacco mainly","Human health activities","Non specialised retail stores","Government administrative functions, Education, Health","Wholesale and retail,motor vehicle repair,sale of fuel",49
"166","6419","4711",-0.442848981031464,"Other monetary intermediation","Food, beverages, tobacco mainly","Financial, insurance, pension","Non specialised retail stores","Business services","Wholesale and retail,motor vehicle repair,sale of fuel",72
"167","4711","4711",1,"Food, beverages, tobacco mainly","Food, beverages, tobacco mainly","Non specialised retail stores","Non specialised retail stores","Wholesale and retail,motor vehicle repair,sale of fuel","Wholesale and retail,motor vehicle repair,sale of fuel",3289
"168","5310","4711",-0.722809650430818,"Under universal service obligation","Food, beverages, tobacco mainly","Postal, courier activities","Non specialised retail stores","Transportation and Storage","Wholesale and retail,motor vehicle repair,sale of fuel",15
"169","8424","4711",-0.767247582920744,"Police, public order, safety activ.","Food, beverages, tobacco mainly","Central/Local Gov. administration","Non specialised retail stores","Government administrative functions, Education, Health","Wholesale and retail,motor vehicle repair,sale of fuel",10
"170","4771","4711",0.0617889493876207,"Clothing","Food, beverages, tobacco mainly","Specialised retail - other","Non specialised retail stores","Wholesale and retail,motor vehicle repair,sale of fuel","Wholesale and retail,motor vehicle repair,sale of fuel",133
"171","7820","4711",-0.213592950204707,"Temporary employment agencies","Food, beverages, tobacco mainly","Employment activities","Non specialised retail stores","Business services","Wholesale and retail,motor vehicle repair,sale of fuel",122
"172","5610","4711",0.233225931523177,"Restaurants, mobile food service","Food, beverages, tobacco mainly","Food, beverage service","Non specialised retail stores","Other Service activities","Wholesale and retail,motor vehicle repair,sale of fuel",173
"173","8411","4711",-0.68262132019978,"General public administration","Food, beverages, tobacco mainly","Central/Local Gov. administration","Non specialised retail stores","Government administrative functions, Education, Health","Wholesale and retail,motor vehicle repair,sale of fuel",22
"174","8690","4711",-0.768439960311306,"Other","Food, beverages, tobacco mainly","Human health activities","Non specialised retail stores","Government administrative functions, Education, Health","Wholesale and retail,motor vehicle repair,sale of fuel",15
"175","8542","4711",-0.562550544082197,"Tertiary","Food, beverages, tobacco mainly","Education","Non specialised retail stores","Government administrative functions, Education, Health","Wholesale and retail,motor vehicle repair,sale of fuel",22
"176","8121","4711",-0.114313182623719,"General cleaning of buildings","Food, beverages, tobacco mainly","Buildings, landscape activities","Non specialised retail stores","Business services","Wholesale and retail,motor vehicle repair,sale of fuel",76
"177","4719","4711",0.0883617454003265,"Other non specialised","Food, beverages, tobacco mainly","Non specialised retail stores","Non specialised retail stores","Wholesale and retail,motor vehicle repair,sale of fuel","Wholesale and retail,motor vehicle repair,sale of fuel",72
"178","8899","4711",-0.562858227016979,"Other","Food, beverages, tobacco mainly","Non residential social work","Non specialised retail stores","Government administrative functions, Education, Health","Wholesale and retail,motor vehicle repair,sale of fuel",25
"179","6910","4711",-0.610676370540305,"Legal activities","Food, beverages, tobacco mainly","Legal and accounting activities","Non specialised retail stores","Business services ","Wholesale and retail,motor vehicle repair,sale of fuel",10
"180","4120","4711",-0.695209047710352,"Residential, non-residential buildings","Food, beverages, tobacco mainly","Construction of buildings","Non specialised retail stores","Construction (including development of real estate)","Wholesale and retail,motor vehicle repair,sale of fuel",10
"181","7112","4711",-0.598300446637561,"Engineering/tech consultancy","Food, beverages, tobacco mainly","Architectural, eng/tech testing","Non specialised retail stores","Business services","Wholesale and retail,motor vehicle repair,sale of fuel",13
"182","6190","4711",-0.594250731124329,"Other","Food, beverages, tobacco mainly","Telecommunications","Non specialised retail stores","Information and Communication","Wholesale and retail,motor vehicle repair,sale of fuel",10
"183","6920","4711",-0.411272562689148,"Accounting, auditing; tax consltcy","Food, beverages, tobacco mainly","Legal and accounting activities","Non specialised retail stores","Business services","Wholesale and retail,motor vehicle repair,sale of fuel",17
"184","5621","4711",-0.196122459956914,"Event catering","Food, beverages, tobacco mainly","Food, beverage service","Non specialised retail stores","Other Service activities","Wholesale and retail,motor vehicle repair,sale of fuel",43
