StartIndst,FinalIndst,Counts
8520,8520,19443
8610,8610,15390
4711,4711,7484
6419,6419,5592
5610,5610,3951
8424,8424,3545
7820,7820,3453
4771,4771,3079
8411,8411,3019
8520,8531,2790
8690,8690,2666
8542,8542,2627
8520,8411,2522
5310,5310,2511
8121,8121,2272
6910,6910,1919
4719,4719,1819
8899,8899,1702
6920,6920,1684
4120,4120,1639
5630,5630,1626
7112,7112,1528
8610,8690,1403
8411,8520,1365
8690,8610,1360
6190,6190,1268
8810,8810,1245
4931,4931,1240
6820,6820,1193
8531,8531,1193
8531,8520,1177
6202,6202,1167
4511,4511,1113
8010,8010,1061
8430,8413,1032
4941,4941,1026
8790,8790,1018
8413,8430,1018
5510,5510,1010
7820,8610,1001
7022,7022,984
9200,9200,959
8710,8710,931
8423,8423,866
8730,8730,865
6622,6622,849
8110,8110,825
8520,8899,821
8532,8532,804
3513,3513,793
8610,7820,791
5621,5629,762
4673,4673,744
5210,5210,741
3030,3030,732
5221,5221,730
5110,5110,703
8891,8891,700
5320,5320,698
8621,8621,671
5621,5621,646
4754,4754,634
4321,4321,633
4299,4299,623
5629,5629,609
6512,6512,599
4520,4520,596
6831,6831,591
8559,8559,578
4711,8520,574
6209,6209,563
8899,8520,539
4752,4752,535
4910,4910,534
5610,4711,502
7820,8520,478
8412,8412,470
6201,6201,460
6619,6619,455
5610,5630,450
8710,8610,442
7219,7219,439
8425,8425,439
5630,5610,439
8520,4711,430
7010,7010,418
8299,8299,415
8610,8621,409
9311,9311,403
8520,8610,401
4299,4120,394
8610,8710,389
7911,7911,381
8891,8520,380
3511,3513,374
8730,8710,369
9602,9602,361
6629,6629,355
8422,8422,354
4778,4778,352
8520,7820,351
4773,4773,351
4759,4759,349
8220,8220,349
4771,4711,348
8121,8110,348
8220,7022,348
8710,8810,347
3811,3811,343
7311,7311,340
8430,8430,338
4669,4669,336
8520,8121,334
3522,3522,324
8121,8520,322
8520,8891,320
8790,8730,319
2910,2910,319
7500,7500,319
3600,3600,318
4399,4399,316
7820,4711,315
8690,8412,314
7810,7820,311
4639,4639,310
6832,6832,308
7820,7810,306
4711,5610,306
8710,8730,305
