Id,Label,timeset,subactivity,mainindustry,componentnumber,modularity_class,mainactivity,clustering,triangles,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality
7415,,,"Management activities of other non-financial holding companies,production holding companies, construction holding companies, wholesale holding companies, motor trades holding companies, retail holding companies",Buisness activities,0,5,Other Business Activities,0.036565,43,49,17.987916,5,0.431902,0.501136,12096.66408,0.782153
7450,,,Labour recruitment and provision of personnel,Buisness activities,0,0,Other Business Activities,0.046122,66,54,10.225564,5,0.430318,0.501515,11146.36915,1
4521,,,Construction of commercial buildings,Construction,0,4,Construction,0.086207,35,29,13.574289,5,0.37931,0.431676,4883.101412,0.436219
7487,,,Other business activities not elsewhere classified,Buisness activities,0,3,Other Business Activities,0.168091,59,27,12.781887,5,0.394619,0.447964,3909.716203,0.73418
7484,,,,,0,3,,0.108374,44,29,10.575407,5,0.400455,0.452462,3724.816332,0.690065
5540,,,"Licensed clubs,Independent public houses and bars,Tenanted public houses and bars,Managed public houses and bars",Hotels and Restaurants,0,1,Hotels and Restaurants,0.118227,48,29,9.867187,5,0.353769,0.410843,3215.390186,0.490783
5211,,,"Retail sale by confectioners, tobacconists and newsagents (CTNs), non-specialised stores holding an alcohol licence, with food, beverages or tobacco predominating",Retail,0,1,"Retail Trade, Not Motors; Repairs",0.05848,10,19,4.994124,6,0.337488,0.383428,3106.619697,0.244492
5248,,,"Retail sale of photographic, optical and precision equipment, office supplies and equipment (incl. computers),Retail sale of sports goods, games and toys, stamps and coins, Retail sale of mobile telephones",Retail,0,9,"Retail Trade, Not Motors; Repairs",0.108374,44,29,10.764268,6,0.358452,0.415294,2942.465496,0.522376
6024,,,"Freight transport by road n.e.c.,Furniture removal activities",Transport,0,0,Transport,0.07619,16,21,8.82349,5,0.362513,0.409186,2884.510128,0.315473
3430,,,Manufacture of parts and accessories for motor vehicles and their engines,Manufacture of Transport Equipment,0,7,Manufacture of Transport Equipment,0.105263,20,20,12.35657,5,0.374867,0.420597,2583.546427,0.333068
7420,,,"Architectural,Urban planning and landscape architectural activities, Engineering design activities for industrial process and production, Engineering related scientific and technical consulting activities,Engineering consultative and design activities",Buisness activities,0,4,Other Business Activities,0.15,45,25,9.467135,5,0.372487,0.423248,2529.924992,0.556024
2222,,,Other printing,Manufacture Paper; Publishing; Printing,0,9,Manufacture Paper; Publishing; Printing,0.10989,10,14,9.838791,6,0.315978,0.352509,2359.583365,0.180051
5147,,,"""Wholesale of photographic goods",Retail,0,9,Wholesale of other household goods n.e.c.,0.138528,32,22,12.044951,5,0.361396,0.409754,2048.426315,0.457253
5165,,,,,0,7,,0.103896,24,22,11.960225,5,0.358087,0.406297,1858.48071,0.366828
