Id,Label,timeset,east,east midlands,london,north east,north west,scotland,south east,south west,wales,west midlands,yorkshire and the humber,total,description,log_east,log_east_midlands,log_london,log_north_east,log_north_west,log_scotland,log_south_east,log_south_west,log_wales,log_west_midlands,log_yorkshire_and_the_humber,log_total,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,mainindustry,mainactivity,subactivity,componentnumber,%total,%total north west,%total london,lq north west,lq london,Degree,Weighted Degree,clustering,triangles,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
7820,,,97000,95000,139000,22000,75000,38000,85000,42000,24000,75000,71000,763000,Temporary employment agency activities,16.565697,16.53564,17.084725,14.425216,16.194603,15.213712,16.375175,15.358102,14.550747,16.194603,16.115531,19.541324,276,1,0,3,0,6,7,1,2,5,0,0,5,0,4,4,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Business services,Employment activities,Temporary employment agencies,0,0.02675,0.023925,0.028415,0.894387,1.062225,116,43.083003,0.025937,173,1,4,0.519481,0.621296,26563.50295
8520,,,96000,75000,145000,38000,118000,60000,160000,84000,50000,94000,96000,1016000,Primary education,16.550747,16.194603,17.145693,15.213712,16.848427,15.872675,17.287712,16.358102,15.60964,16.520373,16.550747,19.954469,299,12,9,9,7,8,8,7,7,6,6,6,6,6,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"Government administrative functions, Education, Health",Education,Primary,0,0.03562,0.037642,0.029641,1.056762,0.832148,37,12.080675,0.102102,68,0.335398,6,0.357498,0.42037,4257.182408
4711,,,106000,72000,127000,39000,112000,93000,149000,98000,52000,84000,76000,1008000,"Retail sale in non-specialised stores with food, beverages or tobacco predominating",16.693705,16.135709,16.954469,15.251187,16.773139,16.504943,17.184953,16.580494,15.666224,16.358102,16.213712,19.943064,169,13,7,7,7,8,8,7,7,6,6,6,6,6,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"Wholesale and retail,motor vehicle repair,sale of fuel",Non specialised retail stores,"Food, beverages, tobacco mainly",0,0.03534,0.035728,0.025962,1.010989,0.734631,64,19.357436,0.098214,198,0.855705,6,0.407701,0.49537,4226.246103
8299,,,21000,22000,61000,8000,33000,11000,28000,26000,5000,14000,16000,245000,Other business support service activities n.e.c.,14.358102,14.425216,15.896522,12.965784,15.010178,13.425216,14.773139,14.666224,12.287712,13.773139,13.965784,17.902422,290,10,8,8,3,5,4,4,5,4,5,5,4,5,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Business services,"Office admin, business support",Other,0,0.00859,0.010527,0.01247,1.225566,1.451744,50,19.959069,0.19102,234,0.958483,5,0.456274,0.519028,3450.218821
7112,,,32000,18000,55000,26000,36000,48000,51000,43000,12000,30000,25000,376000,Engineering activities and related technical consultancy,14.965784,14.135709,15.747144,14.666224,15.135709,15.550747,15.63821,15.392049,13.550747,14.872675,14.60964,18.520373,259,4,3,2,2,0,1,2,0,0,2,2,1,2,3,3,2,3,3,3,0,3,2,1,2,1,1,1,1,2,1,2,2,1,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,Business services,"Architectural, eng/tech testing",Engineering/tech consultancy,0,0.013182,0.011484,0.011243,0.871171,0.852906,38,22.67164,0.147937,104,0.482907,6,0.401338,0.461713,3142.498757
1812,,,8000,10000,12000,7000,8000,3500,14000,7000,5000,6000,11000,91500,Other printing,12.965784,13.287712,13.550747,12.773139,12.965784,11.773139,13.773139,12.773139,12.287712,12.550747,13.425216,16.481484,39,3,1,0,4,2,7,1,2,5,0,0,5,0,4,4,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,All other Manufacturing,Printing,Other,0,0.003208,0.002552,0.002453,0.795532,0.764692,14,11.520811,0.065934,6,0.151891,5,0.392157,0.431759,2626.128081
7010,,,29000,24000,84000,4500,17000,10000,42000,11000,4000,23000,21000,269500,Activities of head offices,14.823765,14.550747,16.358102,12.135709,14.053247,13.287712,15.358102,13.425216,11.965784,14.489346,14.358102,18.039926,255,11,2,1,8,7,6,6,4,3,1,1,3,1,3,3,2,3,3,3,0,3,2,1,2,1,1,1,1,2,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Business services,Head offices; mgment consultancy,Head office activities,0,0.009448,0.005423,0.017172,0.573957,1.817384,34,19.874793,0.153298,86,0.56093,5,0.408627,0.465278,2466.32175
7022,,,35000,17000,156000,7000,38000,21000,72000,31000,6000,27000,18000,428000,Business and other management consultancy activities,15.095067,14.053247,17.251187,12.773139,15.213712,14.358102,16.135709,14.919981,12.550747,14.720672,14.135709,18.707251,257,10,8,8,3,5,4,4,5,4,5,5,4,5,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Business services,Head offices; mgment consultancy,"Business, other management",0,0.015005,0.012122,0.03189,0.807846,2.125236,49,23.232052,0.154762,182,0.779114,6,0.418118,0.488472,2428.778666
5630,,,46000,33000,50000,28000,65000,37000,79000,42000,24000,44000,53000,501000,Beverage serving activities,15.489346,15.010178,15.60964,14.773139,15.988152,15.175238,16.269565,15.358102,14.550747,15.425216,15.693705,18.934451,218,13,7,7,7,8,8,7,7,6,6,6,6,6,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Other Service activities,"Food, beverage service",Beverage serving,0,0.017565,0.020735,0.010221,1.180496,0.581914,55,17.403381,0.156229,232,0.940037,5,0.414269,0.491435,2392.059878
4771,,,29000,18000,73000,12000,39000,30000,47000,26000,14000,27000,27000,342000,Retail sale of clothing in specialised stores,14.823765,14.135709,16.155609,13.550747,15.251187,14.872675,15.520373,14.666224,13.773139,14.720672,14.720672,18.383637,187,13,7,7,7,8,8,7,7,6,6,6,6,6,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"Wholesale and retail,motor vehicle repair,sale of fuel",Specialised retail - other,Clothing,0,0.01199,0.012441,0.014923,1.037594,1.244581,47,19.216102,0.172063,186,0.762566,6,0.390456,0.463657,2020.968964
