Id,Label,timeset,east,east midlands,london,north east,north west,scotland,south east,south west,wales,west midlands,yorkshire and the humber,total,description,log_east,log_east_midlands,log_london,log_north_east,log_north_west,log_scotland,log_south_east,log_south_west,log_wales,log_west_midlands,log_yorkshire_and_the_humber,log_total,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,mainindustry,mainactivity,subactivity,componentnumber,%total,%total north west,%total london,lq north west,lq london,Degree,Weighted Degree,clustering,triangles,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
8121,,,56000,16000,85000,12000,35000,26000,58000,21000,10000,25000,30000,374000,General cleaning of buildings,15.773139,13.965784,16.375175,13.550747,15.095067,14.666224,15.823765,14.358102,13.287712,14.60964,14.872675,18.512679,281,11,2,1,8,7,6,6,4,6,6,6,6,6,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Business services,"Buildings, landscape activities",General cleaning of buildings,0,0.013112,0.011165,0.017376,0.851501,1.325176,32,12.516118,0.118952,59,0.494238,5,0.393873,0.44875,2006.768272
4941,,,25000,24000,11000,8000,29000,16000,21000,19000,10000,30000,25000,218000,Freight transport by road,14.60964,14.550747,13.425216,12.965784,14.823765,13.965784,14.358102,14.213712,13.287712,14.872675,14.60964,17.733969,201,7,4,6,6,4,2,3,1,1,3,3,0,3,0,0,0,1,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Transportation and Storage,"Land, pipeline transport",Road freight transport,0,0.007643,0.009251,0.002249,1.210404,0.294213,25,15.90977,0.153333,46,0.317333,5,0.404949,0.452454,1785.636659
5610,,,67000,45000,195000,29000,90000,86000,120000,81000,36000,58000,58000,865000,Restaurants and mobile food service activities,16.031873,15.457637,17.573115,14.823765,16.457637,16.392049,16.872675,16.305634,15.135709,15.823765,15.823765,19.722341,215,13,7,7,7,8,8,7,7,6,6,6,6,6,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Other Service activities,"Food, beverage service","Restaurants, mobile food service",0,0.030326,0.02871,0.039862,0.946707,1.314452,51,16.180361,0.158431,202,0.837595,6,0.398671,0.474676,1776.889229
9312,,,13000,9000,14000,3500,19000,16000,22000,12000,6000,10000,10000,134500,Activities of sport clubs,13.666224,13.135709,13.773139,11.773139,14.213712,13.965784,14.425216,13.550747,12.550747,13.287712,13.287712,17.037247,327,13,7,7,7,8,8,7,7,6,6,6,6,6,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Other Service activities,Sports activities and recreation,Activities of sport clubs,0,0.004715,0.006061,0.002862,1.285347,0.606921,34,11.647189,0.272727,153,0.724248,5,0.414269,0.470509,1676.804516
4120,,,44000,18000,35000,15000,27000,34000,52000,27000,14000,33000,26000,325000,Construction of residential and non-residential buildings,15.425216,14.135709,15.095067,13.872675,14.720672,15.053247,15.666224,14.720672,13.773139,15.010178,14.666224,18.31008,119,4,3,2,2,0,1,2,0,0,2,2,1,2,3,3,2,3,3,3,0,3,2,1,2,1,1,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Construction (including development of real estate),Construction of buildings,"Residential, non-residential buildings",0,0.011394,0.008613,0.007155,0.755909,0.62793,26,18.269827,0.172308,56,0.282147,6,0.364372,0.41375,1665.902061
4669,,,15000,8000,5000,3000,14000,7000,18000,10000,4500,16000,12000,112500,Wholesale of other machinery and equipment,13.872675,12.965784,12.287712,11.550747,13.773139,12.773139,14.135709,13.287712,12.135709,13.965784,13.550747,16.779565,160,4,3,2,2,0,1,2,0,0,2,2,1,2,3,3,2,3,3,3,0,3,2,1,2,1,1,1,1,2,1,2,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Wholesale and retail,motor vehicle repair,sale of fuel","Other m/c, equipment wholesale",Other,0,0.003944,0.004466,0.001022,1.132308,0.259146,20,15.532827,0.152632,29,0.283913,5,0.409556,0.451898,1507.3474
8411,,,41000,41000,110000,41000,75000,88000,64000,43000,53000,50000,56000,662000,General public administration activities,15.323336,15.323336,16.747144,15.323336,16.194603,16.425216,15.965784,15.392049,15.693705,15.60964,15.773139,19.336472,291,12,9,9,7,8,8,7,7,6,6,6,6,6,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"Government administrative functions, Education, Health",Central/Local Gov. administration,General public administration,0,0.023209,0.023925,0.022487,1.030842,0.96886,20,8.416288,0.1,19,0.170484,6,0.346154,0.390463,1387.440355
6202,,,32000,15000,98000,9000,29000,18000,81000,18000,3500,24000,16000,343500,Computer consultancy activities,14.965784,13.872675,16.580494,13.135709,14.823765,14.135709,16.305634,14.135709,11.773139,14.550747,13.965784,18.389951,232,10,8,8,3,5,4,4,5,4,5,5,4,5,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Information and Communication,"Computer programming, consultancy",Consultancy activities,0,0.012043,0.009251,0.020033,0.768175,1.663511,30,15.28154,0.218391,95,0.485983,6,0.393443,0.446435,1358.446734
7219,,,27000,4000,16000,5000,6000,11000,34000,8000,2000,3000,5000,121000,Other research and experimental development on natural sciences and engineering,14.720672,11.965784,13.965784,12.287712,12.550747,13.425216,15.053247,12.965784,10.965784,11.550747,12.287712,16.884648,262,2,5,4,1,1,3,0,6,4,5,5,4,5,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Business services,"Scientific research, development","Other natural sciences, engineering",0,0.004242,0.001914,0.003271,0.451185,0.771012,15,11.253803,0.152381,16,0.176346,6,0.358923,0.399398,1343.115183
6920,,,40000,12000,100000,9000,49000,20000,50000,30000,3500,25000,17000,355500,"Accounting, bookkeeping and auditing activities; tax consultancy",15.287712,13.550747,16.60964,13.135709,15.580494,14.287712,15.60964,14.872675,11.773139,14.60964,14.053247,18.43949,254,6,8,8,3,5,4,4,5,4,5,5,4,5,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Business services,Legal and accounting activities,"Accounting, auditing; tax consltcy",0,0.012464,0.015631,0.020442,1.254138,1.640162,34,12.61446,0.219251,123,0.603916,5,0.429082,0.481065,1342.796114
7311,,,7000,2250,48000,1000,9000,4500,16000,6000,600,4000,12000,110350,Advertising agencies,12.773139,11.135709,15.550747,9.965784,13.135709,12.135709,13.965784,12.550747,9.228819,11.965784,13.550747,16.751727,264,10,8,8,3,5,4,4,5,4,5,5,4,5,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Business services,"Advertising,market research",Advertising agencies,0,0.003869,0.002871,0.009812,0.742094,2.536268,22,15.538034,0.212121,49,0.453734,5,0.421546,0.463704,1308.065678
2651,,,7000,4500,1250,900,4500,4500,10000,7000,1750,4000,3000,48400,"Manufacture of instruments and appliances for measuring, testing and navigation",12.773139,12.135709,10.287712,9.813781,12.135709,12.135709,13.287712,12.773139,10.773139,11.965784,11.550747,15.562719,81,5,3,2,2,0,1,2,0,0,2,2,1,2,3,3,2,3,3,3,0,3,2,1,2,1,1,1,1,2,1,2,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Manufacture computer, electronic, light electrical","Computer, electronic, optical","Measuring, testing appliances",0,0.001697,0.001436,0.000256,0.845972,0.150588,11,9.122749,0.127273,7,0.139795,5,0.380952,0.417731,1290.229975
2229,,,6000,6000,2250,2250,7000,2500,5000,3500,2500,7000,4500,48500,Manufacture of other plastic products,12.550747,12.550747,11.135709,11.135709,12.773139,11.287712,12.287712,11.773139,11.287712,12.773139,12.135709,15.565697,58,3,1,0,4,2,7,1,2,5,0,0,5,0,4,4,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,All other Manufacturing,Rubber and plastic products,Other plastic,0,0.0017,0.002233,0.00046,1.313244,0.2705,9,7.918299,0.194444,7,0.107958,5,0.36961,0.404861,1288.266484
9499,,,10000,8000,18000,9000,11000,8000,17000,12000,5000,11000,9000,118000,Activities of other membership organisations n.e.c.,13.287712,12.965784,14.135709,13.135709,13.425216,12.965784,14.053247,13.550747,12.287712,13.425216,13.135709,16.848427,333,12,9,9,7,8,8,7,7,6,6,6,6,6,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Other Service activities,Membership organisations activities,Other nec,0,0.004137,0.003509,0.00368,0.848203,0.88944,24,9.208107,0.293478,81,0.542787,6,0.383387,0.435046,1275.785088
8220,,,4000,5000,6000,8000,16000,17000,12000,7000,5000,8000,17000,105000,Activities of call centres,11.965784,12.287712,12.550747,12.965784,13.965784,14.053247,13.550747,12.773139,12.287712,12.965784,14.053247,16.68003,287,6,8,8,3,5,4,4,5,4,5,5,4,5,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Business services,"Office admin, business support",Activities of call centres,0,0.003681,0.005104,0.001227,1.386499,0.333187,23,12.414356,0.221344,56,0.417281,5,0.417633,0.460694,1265.522898
4649,,,6000,3500,7000,1500,12000,2000,11000,4500,1250,6000,8000,62750,Wholesale of other household goods,12.550747,11.773139,12.773139,10.550747,13.550747,10.965784,13.425216,12.135709,10.287712,12.550747,12.965784,15.937328,156,13,7,7,7,8,8,7,7,6,6,6,6,6,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"Wholesale and retail,motor vehicle repair,sale of fuel",Household goods wholesale,Other,0,0.0022,0.003828,0.001431,1.740029,0.650445,18,12.051691,0.20915,32,0.362874,5,0.408163,0.449907,1215.753702
9311,,,13000,10000,17000,4500,15000,13000,26000,14000,9000,11000,12000,144500,Operation of sports facilities,13.666224,13.287712,14.053247,12.135709,13.872675,13.666224,14.666224,13.773139,13.135709,13.425216,13.550747,17.14071,326,13,7,7,7,8,8,7,7,6,6,6,6,6,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Other Service activities,Sports activities and recreation,Operation of sports facilities,0,0.005066,0.004785,0.003475,0.944523,0.685973,28,12.869675,0.243386,92,0.547727,6,0.386681,0.441898,1173.033295
150,,,,,,,,,,,,,,,Mixed farming,,,,,,,,,,,,,6,0,0,3,0,6,0,1,2,5,0,0,5,0,4,4,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Agriculture, Forestry, Fishing, Veterinary","Animal production, hunting",Mixed farming,0,0,0,0,,,5,4.151083,0.2,2,0.027779,6,0.298755,0.322824,1086.694786
8110,,,14000,5000,39000,7000,23000,32000,18000,7000,6000,18000,12000,181000,Combined facilities support activities,13.773139,12.287712,15.251187,12.773139,14.489346,14.965784,14.135709,12.773139,12.550747,14.135709,13.550747,17.46563,280,11,2,1,2,0,1,2,0,0,2,2,1,2,3,3,2,3,3,3,0,3,2,1,2,1,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Business services,"Buildings, landscape activities",Combined facilities support,0,0.006346,0.007337,0.007972,1.156214,1.256355,25,13.92506,0.243333,73,0.409515,5,0.385852,0.435046,1071.745883
4673,,,14000,9000,13000,4500,12000,10000,18000,10000,5000,15000,11000,121500,"Wholesale of wood, construction materials and sanitary equipment",13.773139,13.135709,13.666224,12.135709,13.550747,13.287712,14.135709,13.287712,12.287712,13.872675,13.425216,16.890597,163,8,1,0,4,2,7,1,2,5,0,0,5,0,4,4,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Wholesale and retail,motor vehicle repair,sale of fuel",Other wholesale,"Wood, construction, sanitary equip",0,0.00426,0.003828,0.002657,0.898657,0.623869,19,13.844569,0.169591,29,0.27255,5,0.39604,0.439676,1058.356699
8559,,,15000,15000,37000,9000,19000,17000,36000,14000,12000,19000,18000,211000,Other education n.e.c.,13.872675,13.872675,15.175238,13.135709,14.213712,14.053247,15.135709,13.773139,13.550747,14.213712,14.135709,17.686883,305,12,9,9,7,8,8,7,7,6,6,6,6,6,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"Government administrative functions, Education, Health",Other education,Other education nec,0,0.007398,0.006061,0.007564,0.819332,1.022458,23,8.794229,0.375494,95,0.499323,5,0.42204,0.464074,1055.402445
113,,,,,,,,,,,,,,,"Growing of vegetables and melons, roots and tubers",,,,,,,,,,,,,1,0,0,3,0,6,0,1,2,5,0,0,5,0,4,4,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Agriculture, Forestry, Fishing, Veterinary",Growing crops,"Vegetables, melons, roots, tubers",0,0,0,0,,,7,5.355923,0.190476,4,0.095292,5,0.376963,0.407917,1044.267725
2361,,,1500,3000,150,300,900,1250,1250,900,400,1500,2500,13650,Manufacture of concrete products for construction purposes,10.550747,11.550747,7.228819,8.228819,9.813781,10.287712,10.287712,9.813781,8.643856,10.550747,11.287712,13.736613,64,11,2,1,8,7,6,6,4,3,1,1,3,1,3,3,2,3,3,3,0,3,2,1,2,1,1,1,1,2,1,2,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,All other Manufacturing,"Concrete, cement and plaster",Concrete products for construction,0,0.000479,0.000287,0.000031,0.599928,0.064074,6,5.194368,0.333333,5,0.084279,5,0.361446,0.392685,1036.82449
8542,,,30000,29000,72000,19000,40000,49000,72000,27000,23000,31000,36000,428000,Tertiary education,14.872675,14.823765,16.135709,14.213712,15.287712,15.580494,16.135709,14.720672,14.489346,14.919981,15.135709,18.707251,303,12,9,9,7,8,8,7,7,6,6,6,6,6,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"Government administrative functions, Education, Health",Education,Tertiary,0,0.015005,0.01276,0.014718,0.850365,0.980878,25,10.074819,0.123333,37,0.305738,6,0.35225,0.402269,965.934215
2562,,,9000,11000,3500,5000,13000,8000,14000,10000,5000,14000,9000,101500,Machining,13.135709,13.425216,11.773139,12.287712,13.666224,12.965784,13.773139,13.287712,12.287712,13.773139,13.135709,16.63112,74,4,3,2,2,0,1,2,0,0,2,2,1,2,3,3,2,3,3,3,0,3,2,1,2,1,1,1,1,2,1,2,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,All other Manufacturing,Other fabricated metal products,Machining,0,0.003559,0.004147,0.000715,1.165377,0.201061,18,14.418507,0.202614,31,0.241374,5,0.402235,0.44287,954.685391
5510,,,22000,17000,60000,13000,42000,51000,48000,38000,19000,24000,20000,354000,Hotels and similar accommodation,14.425216,14.053247,15.872675,13.666224,15.358102,15.63821,15.550747,15.213712,14.213712,14.550747,14.287712,18.43339,212,13,7,7,7,8,8,7,7,6,6,6,6,6,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Other Service activities,Accommodation,Hotels and similar,0,0.012411,0.013398,0.012265,1.079531,0.988267,37,13.596884,0.261261,174,0.766038,6,0.397351,0.459491,929.981755
2811,,,4000,6000,40,1750,500,400,1750,350,1000,2000,700,18490,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",11.965784,12.550747,5.321928,10.773139,8.965784,8.643856,10.773139,8.451211,9.965784,10.965784,9.451211,14.174458,88,5,3,2,2,0,1,2,0,0,2,2,1,2,3,3,2,3,3,3,0,3,2,1,2,1,1,1,1,2,1,2,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Manufacture machinery, vehicle, transport",General machinery,"Engines, turbines",0,0.000648,0.00016,0.000008,0.246049,0.012614,9,7.53104,0.194444,7,0.138882,5,0.375783,0.410694,855.130047
4759,,,9000,8000,15000,2500,14000,7000,15000,9000,5000,8000,5000,97500,"Retail sale of furniture, lighting equipment and other household articles in specialised stores",13.135709,12.965784,13.872675,11.287712,13.773139,12.773139,13.872675,13.135709,12.287712,12.965784,12.287712,16.573115,181,8,1,0,4,2,7,1,2,5,0,0,5,0,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"Wholesale and retail,motor vehicle repair,sale of fuel",Specialised retail - household,"Furniture, lighting, other",0,0.003418,0.004466,0.003066,1.306509,0.897042,15,9.33211,0.380952,40,0.352434,5,0.393873,0.434861,781.203176
1039,,,2500,5000,2250,300,2500,450,2500,500,250,3000,1250,20500,Other processing and preserving of fruit and vegetables,11.287712,12.287712,11.135709,8.228819,11.287712,8.813781,11.287712,8.965784,7.965784,11.550747,10.287712,14.323336,16,1,0,3,0,6,7,1,2,5,0,0,5,0,4,4,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Manufacture food, drink, tobacco","Food products - fruit, vegetables","Other fruit, vegetable",0,0.000719,0.000798,0.00046,1.109622,0.639963,8,7.204262,0.285714,8,0.124493,5,0.366226,0.398704,737.470092
6492,,,3000,1250,4000,2250,4500,3500,6000,800,1250,3000,3500,33050,Other credit granting,11.550747,10.287712,11.965784,11.135709,12.135709,11.773139,12.550747,9.643856,10.287712,11.550747,11.773139,15.012363,239,6,8,8,3,5,4,4,5,4,5,5,4,5,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Business services,"Financial, insurance, pension",Other credit granting,0,0.001159,0.001436,0.000818,1.238882,0.705691,13,8.890001,0.25641,20,0.288739,5,0.396913,0.435093,735.50824
4511,,,20000,13000,11000,6000,17000,18000,27000,16000,14000,16000,14000,172000,Sale of cars and light motor vehicles,14.287712,13.666224,13.425216,12.550747,14.053247,14.135709,14.720672,13.965784,13.773139,13.965784,13.773139,17.392049,133,7,4,6,6,4,2,3,1,1,3,3,0,3,0,0,0,1,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Wholesale and retail,motor vehicle repair,sale of fuel","Motor vehicle/cycle trade, repair","Sale of cars, light motor vehicles",0,0.00603,0.005423,0.002249,0.89931,0.372898,15,9.441391,0.171429,18,0.201908,6,0.348837,0.387685,725.761429
4321,,,18000,18000,17000,8000,17000,19000,29000,21000,10000,19000,15000,191000,Electrical installation,14.135709,14.135709,14.053247,12.965784,14.053247,14.213712,14.823765,14.358102,13.287712,14.213712,13.872675,17.543213,125,4,3,2,2,0,1,2,0,0,2,2,1,2,3,3,2,3,3,3,0,3,2,1,2,1,1,1,1,2,1,2,2,1,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,Construction (including development of real estate),Specialised activities,Electrical installation,0,0.006696,0.005423,0.003475,0.80985,0.518969,22,14.741529,0.21645,50,0.321682,6,0.376176,0.422917,724.935601
2813,,,500,700,250,350,1250,2000,2500,2000,40,1250,2500,13340,Manufacture of other pumps and compressors,8.965784,9.451211,7.965784,8.451211,10.287712,10.965784,11.287712,10.965784,5.321928,10.287712,11.287712,13.703471,89,5,3,2,2,0,1,2,0,0,2,2,1,2,3,3,2,3,3,3,0,3,2,1,2,1,1,1,1,2,1,2,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Manufacture machinery, vehicle, transport",General machinery,"Other pumps, compressors",0,0.000468,0.000399,0.000051,0.852596,0.109272,4,3.979254,0,0,0.017695,6,0.280811,0.300185,719.792886
