Id,Label,timeset,east,east midlands,london,north east,north west,scotland,south east,south west,wales,west midlands,yorkshire and the humber,total,description,log_east,log_east_midlands,log_london,log_north_east,log_north_west,log_scotland,log_south_east,log_south_west,log_wales,log_west_midlands,log_yorkshire_and_the_humber,log_total,%total,%total north west,%total london,lq north west,lq london,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,mainindustry,mainactivity,subactivity,componentnumber,Degree,Weighted Degree,clustering,triangles,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
4212,,,1000,450,1500,75,900,800,400,300,175,150,1750,7500,Construction of railways and underground railways,9.965784,8.813781,10.550747,6.228819,9.813781,9.643856,8.643856,8.228819,7.451211,7.228819,10.773139,12.872675,0.000263,0.000287,0.000307,1.091868,1.166155,132,3,3,4,3,3,6,5,3,2,2,4,5,5,6,5,2,0,1,2,4,Construction (including development of real estate),Civil engineering,"Railways, underground railways",2,1,0.999161,0,0,0.00201,7,0.233615,0.242738,0
3317,,,250,1250,4000,600,1500,600,900,500,350,1000,1750,12700,Repair and maintenance of transport equipment n.e.c.,7.965784,10.287712,11.965784,9.228819,10.550747,9.228819,9.813781,8.965784,8.451211,9.965784,10.773139,13.632541,0.000445,0.000479,0.000818,1.074673,1.836464,116,3,3,4,3,3,6,5,3,2,2,4,5,5,6,5,2,0,1,2,4,Machinery repair excluding motor vehicles,Repair/installation excl. household,Transport equipment nec,2,3,2.952168,0,0,0.028573,6,0.304569,0.324167,364.179335
2825,,,3500,1250,500,1250,1250,1750,4000,2000,700,2250,2000,20450,Manufacture of non-domestic cooling and ventilation equipment,11.773139,10.287712,8.965784,10.287712,10.287712,10.773139,11.965784,10.965784,9.451211,11.135709,10.965784,14.319813,0.000717,0.000399,0.000102,0.556168,0.142562,97,1,3,4,3,3,6,5,3,2,2,4,5,5,6,5,2,0,1,2,4,"Manufacture machinery, vehicle, transport",General machinery,Non-domestic cooling/ventilation eq,2,6,5.088781,0.133333,2,0.086091,5,0.364004,0.395509,527.631751
2733,,,500,450,125,150,500,20,1000,225,250,100,300,3620,Manufacture of wiring devices,8.965784,8.813781,6.965784,7.228819,8.965784,4.321928,9.965784,7.813781,7.965784,6.643856,8.228819,11.821774,0.000127,0.00016,0.000026,1.256754,0.201339,89,1,3,4,3,3,6,5,3,2,2,4,5,5,6,5,2,0,1,2,4,"Manufacture computer, electronic, light electrical",Electrical equipment,Wiring devices,2,1,0.999005,0,0,0.004916,6,0.267062,0.279676,0
4763,,,450,250,500,200,400,350,500,350,125,350,250,3725,Retail sale of music and video recordings in specialised stores,8.813781,7.965784,8.965784,7.643856,8.643856,8.451211,8.965784,8.451211,6.965784,8.451211,7.965784,11.863025,0.000131,0.000128,0.000102,0.977063,0.782654,196,6,5,8,5,5,4,3,5,3,4,6,3,3,4,3,4,2,3,4,2,"Wholesale and retail,motor vehicle repair,sale of fuel",Specialised retail - other,"Music, video recordings",2,1,0.998983,0,0,0.001501,8,0.208938,0.219993,0
4761,,,1000,700,2000,400,1250,1000,1500,1250,500,1000,500,11100,Retail sale of books in specialised stores,9.965784,9.451211,10.965784,8.643856,10.287712,9.965784,10.550747,10.287712,8.965784,9.965784,8.965784,13.438272,0.000389,0.000399,0.000409,1.024651,1.05059,194,6,5,8,5,5,4,3,5,3,4,6,3,3,4,3,4,2,3,4,2,"Wholesale and retail,motor vehicle repair,sale of fuel",Specialised retail - other,Books,2,2,1.076105,0,0,0.018026,7,0.26393,0.286396,359
4677,,,1250,1250,1250,500,1500,1250,1250,900,350,1500,1250,12250,Wholesale of waste and scrap,10.287712,10.287712,10.287712,8.965784,10.550747,10.287712,10.287712,9.813781,8.451211,10.550747,10.287712,13.580494,0.000429,0.000479,0.000256,1.114151,0.594977,178,7,7,5,4,4,3,1,4,4,3,5,2,5,6,5,2,0,1,2,4,"Wholesale and retail,motor vehicle repair,sale of fuel",Other wholesale,"Waste, scrap",2,1,0.998904,0,0,0.002217,7,0.233766,0.242903,0
3832,,,4500,3500,1250,900,1500,1750,2500,900,4000,4000,2000,26800,Recovery of sorted materials,12.135709,11.773139,10.287712,9.813781,10.550747,10.773139,11.287712,9.813781,11.965784,11.965784,10.965784,14.709945,0.00094,0.000479,0.000256,0.509267,0.271958,128,7,7,5,4,4,3,1,4,4,3,5,2,5,6,5,2,0,1,2,4,"Utilities, sewerage, waste and recycling",Materials recovery/recycling,Recovery of sorted materials,2,4,3.890844,0.166667,1,0.031395,6,0.304826,0.324769,361.822048
1729,,,1000,1750,125,800,1750,450,800,500,225,800,1250,9450,Manufacture of other articles of paper and paperboard n.e.c.,9.965784,10.773139,6.965784,9.643856,10.773139,8.813781,9.643856,8.965784,7.813781,9.643856,10.287712,13.206099,0.000331,0.000558,0.000026,1.684982,0.077127,41,2,9,1,8,2,2,0,1,6,7,2,6,6,2,5,5,0,1,2,4,All other Manufacturing,Paper and paper products,Other,2,3,2.989373,0.333333,1,0.013841,6,0.285941,0.302731,18.061964
1722,,,300,1000,10,400,2250,225,800,20,1250,175,20,6450,Manufacture of household and sanitary goods and of toilet requisites,8.228819,9.965784,3.321928,8.643856,11.135709,7.813781,9.643856,4.321928,10.287712,7.451211,4.321928,12.655083,0.000226,0.000718,0.000002,3.174035,0.00904,39,2,9,1,8,2,2,0,1,6,7,2,6,6,2,5,5,0,1,2,4,All other Manufacturing,Paper and paper products,"Household, sanitary, toilet goods",2,2,1.971334,0,0,0.028181,6,0.292921,0.313009,45.559861
2751,,,800,150,15,125,1000,150,800,2500,1000,1250,1250,9040,Manufacture of electric domestic appliances,9.643856,7.228819,3.906891,6.965784,9.965784,7.228819,9.643856,11.287712,9.965784,10.287712,10.287712,13.142107,0.000317,0.000319,0.000003,1.006516,0.009675,91,0,3,4,3,3,6,5,3,2,2,4,5,5,6,5,2,0,1,2,4,"Manufacture computer, electronic, light electrical",Electrical equipment,Electric domestic appliances,2,1,0.998807,0,0,0.005185,6,0.265683,0.277685,0
4643,,,4000,1250,4500,600,3000,450,7000,3000,1250,3500,1250,29800,Wholesale of electrical household appliances,11.965784,10.287712,12.135709,9.228819,11.550747,8.813781,12.773139,11.550747,10.287712,11.773139,10.287712,14.863025,0.001045,0.000957,0.00092,0.915997,0.880486,163,0,3,4,3,3,6,5,3,2,2,4,5,5,6,5,2,0,1,2,4,"Wholesale and retail,motor vehicle repair,sale of fuel",Household goods wholesale,Electrical appliances,2,5,4.41023,0.4,4,0.094771,5,0.361446,0.390972,362.67916
113,,,0,0,0,0,0,0,0,0,0,0,0,0,"Growing of vegetables and melons, roots and tubers",,,,,,,,,,,,,0,0,0,,,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,"Agriculture, Forestry, Fishing, Veterinary",Growing crops,"Vegetables, melons, roots, tubers",2,7,5.355923,0.190476,4,0.095292,5,0.376963,0.407917,1044.267725
119,,,0,0,0,0,0,0,0,0,0,0,0,0,Growing of other non-perennial crops,,,,,,,,,,,,,0,0,0,,,1,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,"Agriculture, Forestry, Fishing, Veterinary",Growing crops,Other non-perennial crops,2,1,0.998769,0,0,0.005386,6,0.273973,0.286065,0
2363,,,400,800,300,500,400,400,700,300,225,1000,700,5725,Manufacture of ready-mixed concrete,8.643856,9.643856,8.228819,8.965784,8.643856,8.643856,9.451211,8.228819,7.813781,9.965784,9.451211,12.48306,0.000201,0.000128,0.000061,0.635731,0.305543,68,10,2,2,8,2,2,0,1,1,1,3,1,1,3,1,1,1,2,1,1,All other Manufacturing,"Concrete, cement and plaster",Ready-mixed concrete,2,3,2.991727,0.333333,1,0.007029,6,0.267062,0.282546,9.027255
2399,,,600,450,350,225,1250,150,900,10,900,450,600,5885,Manufacture of other non-metallic mineral products n.e.c.,9.228819,8.813781,8.451211,7.813781,10.287712,7.228819,9.813781,3.321928,9.813781,8.813781,9.228819,12.522827,0.000206,0.000399,0.000072,1.932647,0.346775,69,10,2,2,8,2,2,0,1,1,1,3,1,1,3,1,1,1,2,1,1,All other Manufacturing,Other non-metallic mineral products,Non-metallic mineral nec,2,2,1.993976,0,0,0.006331,6,0.266864,0.282037,12.194048
2016,,,800,800,225,800,2000,500,600,250,1000,1000,1000,8975,Manufacture of plastics in primary forms,9.643856,9.643856,7.813781,9.643856,10.965784,8.965784,9.228819,7.965784,9.965784,9.965784,9.965784,13.131696,0.000315,0.000638,0.000046,2.02761,0.146175,48,1,4,3,1,7,7,2,2,6,7,2,6,6,2,5,5,0,1,2,4,"Manufacture coke, petroleum, chemicals, pharmaceuticals","Chemicals, chemical products",Plastics in primary forms,2,4,3.589593,0.333333,2,0.058832,5,0.344828,0.37463,503.10271
2012,,,175,75,40,600,400,300,300,10,350,300,500,3050,Manufacture of dyes and pigments,7.451211,6.228819,5.321928,9.228819,8.643856,8.228819,8.228819,3.321928,8.451211,8.228819,8.965784,11.574594,0.000107,0.000128,0.000008,1.193299,0.076469,46,1,4,3,1,7,7,2,2,6,7,2,6,6,2,5,5,0,1,2,4,"Manufacture coke, petroleum, chemicals, pharmaceuticals","Chemicals, chemical products",Dyes and pigments,2,2,1.997444,1,1,0.004963,6,0.25788,0.272454,0
2014,,,175,250,250,2500,1250,500,700,20,700,800,2250,9395,Manufacture of other organic basic chemicals,7.451211,7.965784,7.965784,11.287712,10.287712,8.965784,9.451211,4.321928,9.451211,9.643856,11.135709,13.197677,0.000329,0.000399,0.000051,1.210604,0.155156,47,1,4,3,1,7,7,2,2,6,7,2,6,6,2,5,5,0,1,2,4,"Manufacture coke, petroleum, chemicals, pharmaceuticals","Chemicals, chemical products",Other organic basic chemicals,2,5,4.985947,0.2,2,0.010611,6,0.264123,0.283287,29.486565
3103,,,450,300,200,100,1750,125,600,900,40,250,1750,6465,Manufacture of mattresses,8.813781,8.228819,7.643856,6.643856,10.773139,6.965784,9.228819,9.813781,5.321928,7.965784,10.773139,12.658435,0.000227,0.000558,0.000041,2.462966,0.18038,109,5,4,3,1,7,7,2,2,6,7,2,6,6,2,0,5,5,1,2,4,All other Manufacturing,Furniture,Mattresses,2,1,0.998643,0,0,0.004501,6,0.262966,0.274954,0
3109,,,3500,7000,3000,2250,3000,1250,2500,3500,2000,3500,6000,37500,Manufacture of other furniture,11.773139,12.773139,11.550747,11.135709,11.550747,10.287712,11.287712,11.773139,10.965784,11.773139,12.550747,15.194603,0.001315,0.000957,0.000613,0.727912,0.466462,110,5,4,3,1,7,7,2,2,6,7,2,6,6,2,0,5,5,1,2,4,All other Manufacturing,Furniture,Other,2,5,4.490724,0.3,3,0.079462,5,0.356436,0.385741,365.136454
1920,,,125,125,20,100,1500,1250,1500,300,600,700,2250,8470,Manufacture of refined petroleum products,6.965784,6.965784,4.321928,6.643856,10.550747,10.287712,10.550747,8.228819,9.228819,9.451211,11.135709,13.048146,0.000297,0.000479,0.000004,1.611376,0.013768,45,1,4,3,1,7,7,2,2,6,7,2,6,6,2,5,5,0,1,2,4,"Manufacture coke, petroleum, chemicals, pharmaceuticals","Coke, refined petroleum",Refined petroleum products,2,4,3.987611,0.166667,1,0.009783,6,0.26393,0.281759,364.941958
610,,,400,75,2250,150,0,10000,1000,150,0,0,5,14030,Extraction of crude petroleum,8.643856,6.228819,11.135709,7.228819,,13.287712,9.965784,7.228819,,,2.321928,13.776227,0.000492,0,0.00046,0,0.935085,8,1,4,3,1,7,7,2,2,6,7,2,6,6,2,5,5,0,1,2,4,"Mining, Quarrying (inc extraction of petroleum and gas)","Crude petroleum, natural gas",Crude petroleum extraction,2,1,0.998521,0,0,0.001251,7,0.208938,0.217798,0
4636,,,500,450,900,300,600,900,1250,350,200,1250,1000,7700,Wholesale of sugar and chocolate and sugar confectionery,8.965784,8.813781,9.813781,8.228819,9.228819,9.813781,10.287712,8.451211,7.643856,10.287712,9.965784,12.910643,0.00027,0.000191,0.000184,0.709005,0.681519,159,4,0,3,1,7,7,2,2,6,7,2,6,6,2,0,5,5,1,2,4,"Wholesale and retail,motor vehicle repair,sale of fuel","Food, beverages, tobacco wholesale","Sugar, chocolate",2,1,0.998485,0,0,0.004477,6,0.261059,0.27287,0
1082,,,900,3000,250,900,2000,700,1750,1000,700,2500,3500,17200,"Manufacture of cocoa, chocolate and sugar confectionery",9.813781,11.550747,7.965784,9.813781,10.965784,9.451211,10.773139,9.965784,9.451211,11.287712,11.773139,14.070121,0.000603,0.000638,0.000051,1.058012,0.08475,22,4,0,3,1,7,7,2,2,6,7,2,6,6,2,0,5,5,1,2,4,"Manufacture food, drink, tobacco",Food products - other,"Cocoa, choc, sugar confectionery",2,4,3.334415,0.166667,1,0.081124,5,0.352941,0.381343,390.896002
1105,,,2000,800,700,600,1750,1250,1000,1000,600,2000,2500,14200,Manufacture of beer,10.965784,9.643856,9.451211,9.228819,10.773139,10.287712,9.965784,9.965784,9.228819,10.965784,11.287712,13.793603,0.000498,0.000558,0.000143,1.121343,0.287433,28,7,7,7,6,8,8,7,6,7,5,7,7,7,7,6,6,3,5,5,3,"Manufacture food, drink, tobacco",Beverages,Beer,2,2,1.794431,0,0,0.047619,6,0.311419,0.333565,14.137782
4634,,,1500,1250,7000,450,2500,3500,3500,3000,500,2500,2000,27700,Wholesale of beverages,10.550747,10.287712,12.773139,8.813781,11.287712,11.773139,11.773139,11.550747,8.965784,11.287712,10.965784,14.757598,0.000971,0.000798,0.001431,0.8212,1.473481,157,7,7,7,6,8,8,1,4,4,3,5,2,2,2,2,5,4,1,2,4,"Wholesale and retail,motor vehicle repair,sale of fuel","Food, beverages, tobacco wholesale",Beverages,2,3,2.216289,0.333333,1,0.06946,5,0.348837,0.376944,107.72246
2444,,,150,100,0,0,75,0,45,100,0,700,500,1670,Copper production,7.228819,6.643856,,,6.228819,,5.491853,6.643856,,9.451211,8.965784,10.705632,0.000059,0.000024,0,0.408633,0,71,3,3,4,3,3,6,5,3,2,2,4,5,5,6,5,2,0,1,2,4,All other Manufacturing,Basic metals,Copper,2,1,0.998448,0,0,0.004949,7,0.247083,0.259497,0
3312,,,2250,4500,1500,1250,3000,6000,3000,1250,1750,3500,4500,32500,Repair of machinery,11.135709,12.135709,10.550747,10.287712,11.550747,12.550747,11.550747,10.287712,10.773139,11.773139,12.135709,14.988152,0.001139,0.000957,0.000307,0.839899,0.269113,112,3,3,4,3,3,6,5,3,2,2,4,5,5,6,5,2,0,1,2,4,Machinery repair excluding motor vehicles,Repair/installation excl. household,Machinery,2,10,9.537287,0.244444,11,0.083178,6,0.327869,0.358843,613.073873
