Id,Label,timeset,east,east midlands,london,north east,north west,scotland,south east,south west,wales,west midlands,yorkshire and the humber,total,description,log_east,log_east_midlands,log_london,log_north_east,log_north_west,log_scotland,log_south_east,log_south_west,log_wales,log_west_midlands,log_yorkshire_and_the_humber,log_total,%total,%total north west,%total london,lq north west,lq london,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,mainindustry,mainactivity,subactivity,componentnumber,Degree,Weighted Degree,clustering,triangles,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
4623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0.999919,0,0,0.000617,1,1,1,0
4611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0.999919,0,0,0.000617,1,1,1,0
2731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.999858,0,0,0.000617,1,1,1,0
2732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.999858,0,0,0.000617,1,1,1,0
142,,,0,0,0,0,0,0,0,0,0,0,0,0,Raising of other cattle and buffaloes,,,,,,,,,,,,,0,0,0,,,3,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,"Agriculture, Forestry, Fishing, Veterinary","Animal production, hunting","Raising of other cattle, buffaloes",2,1,0.999789,0,0,0.000796,8,0.187402,0.194392,0
141,,,0,0,0,0,0,0,0,0,0,0,0,0,Raising of dairy cattle,,,,,,,,,,,,,0,0,0,,,2,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,"Agriculture, Forestry, Fishing, Veterinary","Animal production, hunting",Raising of dairy cattle,2,2,1.998088,0,0,0.002785,7,0.230474,0.242784,359
1712,,,350,225,30,125,2500,1500,1000,900,600,600,700,8530,Manufacture of paper and paperboard,8.451211,7.813781,4.906891,6.965784,11.287712,10.550747,9.965784,9.813781,9.228819,9.228819,9.451211,13.05833,0.000299,0.000798,0.000006,2.666735,0.020507,37,2,9,1,8,2,2,0,1,6,7,2,6,6,2,5,5,0,1,2,4,All other Manufacturing,Paper and paper products,"Paper, paperboard",2,1,0.999712,0,0,0.001076,7,0.220318,0.228459,0
1813,,,450,900,1500,600,900,300,800,400,300,600,2000,8750,Pre-press and pre-media services,8.813781,9.813781,10.550747,9.228819,9.813781,8.228819,9.643856,8.643856,8.228819,9.228819,10.965784,13.095067,0.000307,0.000287,0.000307,0.935887,0.999561,43,2,9,1,8,2,2,0,1,6,7,2,6,6,2,5,5,0,1,2,4,All other Manufacturing,Printing,"Pre-press, pre-media services",2,2,1.991745,0,0,0.008968,6,0.282353,0.298194,359
2362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0.999663,0,0,0.000617,1,1,1,0
812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0.999663,0,0,0.000617,1,1,1,0
3040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,0.99965,0,0,0.000617,1,1,1,0
3311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,0.99965,0,0,0.000617,1,1,1,0
2899,,,1250,700,400,350,900,700,1000,600,500,1000,1250,8650,Manufacture of other special-purpose machinery n.e.c.,10.287712,9.451211,8.643856,8.451211,9.813781,9.451211,9.965784,9.228819,8.965784,9.965784,10.287712,13.078484,0.000303,0.000287,0.000082,0.946707,0.269631,101,5,4,3,1,7,7,2,2,6,7,2,6,6,2,5,5,0,1,2,4,"Manufacture machinery, vehicle, transport",Special purpose machinery,Other,2,2,1.999137,0,0,0.001604,7,0.213523,0.223188,359
2620,,,1250,700,500,225,450,500,1250,900,25,700,450,6950,Manufacture of computers and peripheral equipment,10.287712,9.451211,8.965784,7.813781,8.813781,8.965784,10.287712,9.813781,4.643856,9.451211,8.813781,12.762797,0.000244,0.000144,0.000102,0.589138,0.41948,82,5,4,3,1,7,7,2,2,6,7,2,6,6,2,5,5,0,1,2,4,"Manufacture computer, electronic, light electrical","Computer, electronic, optical","Computers, peripheral equipment",2,1,0.999604,0,0,0.000735,8,0.176039,0.181921,0
1200,,,20,400,0,0,40,0,0,150,0,0,20,630,Manufacture of tobacco products,4.321928,8.643856,,,5.321928,,,7.228819,,,4.321928,9.299208,0.000022,0.000013,0,0.577708,0,30,11,8,6,7,6,5,4,7,5,6,1,4,4,5,4,6,3,5,5,3,"Manufacture food, drink, tobacco",Tobacco,Tobacco products,2,2,1.974041,1,1,0.047619,6,0.313862,0.333611,0
4635,,,50,200,350,0,35,20,150,50,20,100,100,1075,Wholesale of tobacco products,5.643856,7.643856,8.451211,,5.129283,4.321928,7.228819,5.643856,4.321928,6.643856,6.643856,10.070121,0.000038,0.000011,0.000072,0.296243,1.898392,158,11,8,6,7,6,5,4,7,5,6,1,4,4,5,4,6,3,5,5,3,"Wholesale and retail,motor vehicle repair,sale of fuel","Food, beverages, tobacco wholesale",Tobacco products,2,2,1.967329,1,1,0.047619,6,0.313862,0.333611,0
2312,,,1000,1000,1000,450,1250,800,1000,250,900,1000,1250,9900,Shaping and processing of flat glass,9.965784,9.965784,9.965784,8.813781,10.287712,9.643856,9.965784,7.965784,9.813781,9.965784,10.287712,13.273213,0.000347,0.000399,0.000204,1.148851,0.588967,63,5,4,3,1,7,7,2,2,6,7,2,6,6,2,0,5,0,1,2,4,All other Manufacturing,Glass products,"Flat glass shaping, processing",2,3,2.559553,0.333333,1,0.066323,5,0.344828,0.373704,359
2311,,,30,0,0,0,400,0,0,0,0,0,500,930,Manufacture of flat glass,4.906891,,,,8.643856,,,,,,8.965784,9.861087,0.000033,0.000128,0,3.913506,0,62,5,4,3,1,7,7,2,2,6,7,2,6,6,2,0,5,0,1,2,4,All other Manufacturing,Glass products,Flat glass manufacture,2,1,0.99955,0,0,0.003828,6,0.256593,0.268843,0
2896,,,300,300,225,200,350,300,350,250,75,250,150,2750,Manufacture of plastics and rubber machinery,8.228819,8.228819,7.813781,7.643856,8.451211,8.228819,8.451211,7.965784,6.228819,7.965784,7.228819,11.425216,0.000096,0.000112,0.000046,1.158042,0.477063,100,5,4,3,1,7,7,2,2,6,7,2,6,6,2,5,5,0,1,2,4,"Manufacture machinery, vehicle, transport",Special purpose machinery,"Plastics, rubber machinery",2,2,1.996845,0,0,0.006846,6,0.27088,0.28625,716
2812,,,300,500,150,225,1000,1000,1000,1250,75,1500,350,7350,Manufacture of fluid power equipment,8.228819,8.965784,7.228819,7.813781,9.965784,9.965784,9.965784,10.287712,6.228819,10.550747,8.451211,12.843529,0.000258,0.000319,0.000031,1.237946,0.118995,93,1,3,4,3,3,6,5,3,2,2,4,5,5,6,5,2,0,1,2,4,"Manufacture machinery, vehicle, transport",General machinery,Fluid power equipment,2,1,0.999529,0,0,0.000769,8,0.18018,0.186558,0
2814,,,700,350,150,800,1500,600,450,2250,300,900,1000,9000,Manufacture of other taps and valves,9.451211,8.451211,7.228819,9.643856,10.550747,9.228819,8.813781,11.135709,8.228819,9.813781,9.965784,13.135709,0.000316,0.000479,0.000031,1.516484,0.09718,95,1,3,4,3,3,6,5,3,2,2,4,5,5,6,5,2,0,1,2,4,"Manufacture machinery, vehicle, transport",General machinery,"Other taps, valves",2,2,1.997903,0,0,0.002239,7,0.219646,0.230496,359
3313,,,1250,250,75,125,125,200,600,600,300,450,400,4375,Repair of electronic and optical equipment,10.287712,7.965784,6.228819,6.965784,6.965784,7.643856,9.228819,9.228819,8.228819,8.813781,8.643856,12.095067,0.000153,0.00004,0.000015,0.259969,0.099956,113,14,1,9,2,1,6,5,3,2,2,4,5,5,6,5,2,0,1,2,4,Machinery repair excluding motor vehicles,Repair/installation excl. household,"Electronic, optical equipment",2,2,1.991597,0,0,0.008581,6,0.277564,0.29287,26.375862
2660,,,700,150,75,25,500,100,2250,50,300,300,10,4460,"Manufacture of irradiation, electromedical and electrotherapeutic equipment",9.451211,7.228819,6.228819,4.643856,8.965784,6.643856,11.135709,5.643856,8.228819,8.228819,3.321928,12.122828,0.000156,0.00016,0.000015,1.020056,0.098051,86,14,1,9,2,1,1,2,2,2,2,4,5,5,6,5,2,0,1,2,4,"Manufacture computer, electronic, light electrical","Computer, electronic, optical","Irradiation, electromedical equip",2,2,1.997675,0,0,0.005819,6,0.268057,0.2825,9.026934
2222,,,4000,3500,700,1250,3000,700,1750,1500,1250,1750,2500,21900,Manufacture of plastic packing goods,11.965784,11.773139,9.451211,10.287712,11.550747,9.451211,10.773139,10.550747,10.287712,10.773139,11.287712,14.418643,0.000768,0.000957,0.000143,1.246425,0.186372,59,5,4,3,1,7,7,2,2,6,7,2,6,6,2,5,5,0,1,2,4,All other Manufacturing,Rubber and plastic products,Plastic packing goods,2,4,3.538776,0.5,3,0.063431,5,0.346821,0.375926,359
2592,,,450,1250,100,40,900,300,350,100,1000,300,600,5390,Manufacture of light metal packaging,8.813781,10.287712,6.643856,5.321928,9.813781,8.228819,8.451211,6.643856,9.965784,8.228819,9.228819,12.39607,0.000189,0.000287,0.00002,1.519297,0.108178,78,5,4,3,1,7,7,2,2,6,7,2,6,6,2,5,5,0,1,2,4,All other Manufacturing,Other fabricated metal products,Light metal packaging,2,1,0.999374,0,0,0.003786,6,0.257695,0.269861,0
150,,,0,0,0,0,0,0,0,0,0,0,0,0,Mixed farming,,,,,,,,,,,,,0,0,0,,,6,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,"Agriculture, Forestry, Fishing, Veterinary","Animal production, hunting",Mixed farming,2,5,4.151083,0.2,2,0.027779,6,0.298755,0.322824,1086.694786
145,,,0,0,0,0,0,0,0,0,0,0,0,0,Raising of sheep and goats,,,,,,,,,,,,,0,0,0,,,4,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,"Agriculture, Forestry, Fishing, Veterinary","Animal production, hunting","Raising of sheep, goats",2,1,0.99935,0,0,0.002156,7,0.230179,0.240933,0
2611,,,2250,1250,300,700,1750,2500,1500,900,900,450,500,13000,Manufacture of electronic components,11.135709,10.287712,8.228819,9.451211,10.773139,11.287712,10.550747,9.813781,9.813781,8.813781,8.965784,13.666224,0.000456,0.000558,0.000061,1.224852,0.134556,80,2,9,1,8,2,2,0,1,2,2,4,5,5,6,5,2,0,1,2,4,"Manufacture computer, electronic, light electrical","Computer, electronic, optical",Electronic components,2,2,1.99262,0,0,0.008757,6,0.27972,0.294907,22.557685
2612,,,1750,1500,175,350,250,1500,900,1250,400,600,250,8925,Manufacture of loaded electronic boards,10.773139,10.550747,7.451211,8.451211,7.965784,10.550747,9.813781,10.287712,8.643856,9.228819,7.965784,13.123636,0.000313,0.00008,0.000036,0.254871,0.114329,81,2,9,1,8,2,2,0,1,6,7,2,6,6,2,5,5,0,1,2,4,"Manufacture computer, electronic, light electrical","Computer, electronic, optical",Loaded electronic boards,2,2,1.990127,0,0,0.00939,6,0.283912,0.299769,28.85896
147,,,0,0,0,0,0,0,0,0,0,0,0,0,Raising of poultry,,,,,,,,,,,,,0,0,0,,,5,4,0,3,1,7,7,2,2,6,7,2,6,6,2,0,5,5,1,2,4,"Agriculture, Forestry, Fishing, Veterinary","Animal production, hunting",Raising of poultry,2,3,2.980459,0.333333,1,0.009554,6,0.259179,0.275231,359
1091,,,1000,900,0,50,1250,700,400,1000,700,800,900,7700,Manufacture of prepared feeds for farm animals,9.965784,9.813781,,5.643856,10.287712,9.451211,8.643856,9.965784,9.451211,9.643856,9.813781,12.910643,0.00027,0.000399,0,1.477094,0,26,4,0,3,1,7,7,2,2,6,7,2,6,6,2,0,5,5,1,2,4,"Manufacture food, drink, tobacco",Food products - other,Prepared farm animals feeds,2,1,0.999197,0,0,0.001174,7,0.20595,0.214233,0
1107,,,1250,900,900,300,800,1500,600,600,600,600,1750,9800,Manufacture of soft drinks; production of mineral waters and other bottled waters,10.287712,9.813781,9.813781,8.228819,9.643856,10.550747,9.228819,9.228819,9.228819,9.228819,10.773139,13.258566,0.000344,0.000255,0.000184,0.742767,0.535479,29,4,0,3,1,7,7,2,2,6,7,2,6,6,2,0,5,5,1,2,4,"Manufacture food, drink, tobacco",Beverages,Soft drinks; waters,2,2,1.99198,1,1,0.00767,6,0.268456,0.282361,0
1032,,,150,30,100,0,100,0,25,1000,0,150,10,1565,Manufacture of fruit and vegetable juice,7.228819,4.906891,6.643856,,6.643856,,4.643856,9.965784,,7.228819,3.321928,10.611947,0.000055,0.000032,0.00002,0.581399,0.372573,16,4,0,3,1,7,7,2,2,6,7,2,6,6,2,0,5,5,1,2,4,"Manufacture food, drink, tobacco","Food products - fruit, vegetables","Fruit, vegetable juice",2,2,1.996384,1,1,0.00767,6,0.268456,0.282361,0
