StartIndst,FinalIndst,Counts
8610,8610,8466
8520,8520,8198
4711,4711,4046
5610,5610,2349
6419,6419,1826
8424,8424,1739
7820,7820,1641
8411,8411,1587
8121,8121,1497
8520,8411,1480
8542,8542,1314
4771,4771,1307
8690,8690,1266
8520,8531,1191
6910,6910,945
6920,6920,889
5630,5630,848
8531,8531,822
4719,4719,822
8531,8520,814
4120,4120,756
8899,8899,733
8810,8810,694
7112,7112,685
8610,8690,679
5110,5110,678
8411,8520,628
7820,8610,598
8110,8110,577
8690,8610,570
4931,4931,554
5510,5510,541
6202,6202,537
6190,6190,536
6820,6820,524
9200,9200,521
8790,8790,517
8423,8423,516
4511,4511,502
4941,4941,488
8710,8710,481
7022,7022,481
8010,8010,468
4673,4673,454
5210,5210,448
8610,7820,443
8520,8899,442
5629,5629,413
5310,5310,411
6622,6622,410
8730,8730,406
8891,8891,392
8220,7022,388
3513,3513,387
3030,3030,385
8621,8621,361
8532,8532,335
4910,4910,325
8710,8810,316
5610,4711,313
4711,8520,306
7010,7010,298
4520,4520,296
4752,4752,295
8710,8610,290
7820,8520,290
4754,4754,290
4321,4321,287
6831,6831,280
5621,5621,279
8559,8559,278
5610,5630,275
8891,8520,267
6201,6201,262
5630,5610,257
8899,8520,253
8121,8110,253
5629,5621,252
8425,8425,250
9311,9311,249
4299,4299,247
8412,8412,245
6512,6512,243
7820,7810,228
9700,9700,228
8430,8430,227
6209,6209,224
8520,4711,224
8520,8610,220
6619,6619,219
8299,8299,219
8610,8621,218
4773,4773,214
5221,5221,208
5320,5320,201
9602,9602,200
8520,8891,198
7820,4711,198
4771,4711,194
8520,7820,191
8623,8623,191
8121,8520,190
8810,8710,188
7500,7500,188
8710,8730,186
8730,8610,185
4711,5610,185
7311,7311,183
7820,5210,182
8810,8730,180
8621,8610,180
7219,7219,179
8610,8520,178
8899,8411,178
8520,8121,172
8110,8121,170
8422,8422,170
4639,4639,169
4222,4222,169
2910,2910,167
4711,8610,163
4778,4778,161
4399,4399,160
5610,5510,158
4759,4759,156
4669,4669,154
8220,8220,153
4711,7820,149
8010,8110,149
8220,8299,148
8520,9700,148
3600,3600,145
4724,4724,145
9700,8520,144
4711,6419,143
6492,6492,143
8542,8610,142
8810,8790,141
8810,8520,140
8520,8810,140
9312,9312,140
8810,8610,139
6629,6622,139
3811,3811,139
2120,7219,138
4719,4711,138
8710,8790,137
6020,6020,137
8790,8730,135
4777,4777,135
5510,5610,133
4322,4322,132
4791,4791,132
4711,4771,132
4646,4646,131
7810,7810,129
8520,8559,129
8610,8542,128
4764,4764,128
8790,8810,125
