StartIndst,FinalIndst,Counts
8520,8520,11774
8610,8610,7737
6419,6419,4031
4711,4711,3704
5310,5310,2533
8424,8424,1843
4771,4771,1816
8520,8531,1707
7820,7820,1650
5610,5610,1508
8411,8411,1465
8690,8690,1417
8121,8121,1323
8542,8542,1291
8520,8411,1286
8413,8430,1105
8430,8413,1048
8899,8899,1006
4719,4719,1003
8690,8610,979
8411,8520,900
6910,6910,874
4120,4120,863
8610,8690,841
5621,5629,813
6190,6190,792
7112,7112,768
5630,5630,727
6920,6920,703
4931,4931,654
6820,6820,625
4511,4511,567
8010,8010,566
6202,6202,542
5221,5221,538
3513,3513,529
4941,4941,484
8810,8810,482
8790,8790,479
5320,5210,472
4941,5320,452
9200,9200,449
7820,8610,446
5320,5320,442
8610,7820,438
8532,8532,427
6622,6622,423
8531,8520,413
5510,5510,404
7022,7022,404
8730,8730,403
5621,5621,401
4299,4120,373
4299,4299,371
8520,8899,369
8423,8423,364
8710,8710,356
6512,6512,318
4711,8520,313
8531,8531,310
4321,4321,306
3030,3030,304
4673,4673,296
8110,8110,295
4754,4754,294
8899,8520,293
8891,8891,291
8610,8710,289
3522,3522,289
8621,8621,287
3511,3513,287
8559,8559,284
6209,6209,283
8690,8412,280
8730,8710,268
8520,4711,262
8412,8690,261
4520,4520,256
6831,6831,253
8520,8610,246
8425,8425,245
5911,6020,245
7219,7219,241
7911,7911,239
5210,5210,234
3513,3511,233
7820,8520,226
6629,8220,224
8790,8730,223
7810,7820,223
8520,8121,214
5610,4711,211
6619,6619,211
8610,8621,210
8121,8520,207
8422,8422,207
8121,7010,207
8412,8412,202
4910,4910,199
8412,8610,197
4321,4299,196
4752,4752,193
6629,6629,191
7320,7320,187
6511,6511,185
5223,5223,183
8520,7820,181
6419,6629,181
8423,8110,180
8559,8532,178
5610,5630,177
8730,8790,174
4778,4778,174
9311,9311,174
8610,8412,173
6201,6201,169
6612,6419,168
8621,8610,166
8891,8520,165
8730,8810,164
8710,8610,163
4321,4120,163
6832,6832,162
3511,3511,161
5630,5610,160
8542,8610,159
8520,8532,158
4669,4669,158
8520,8891,158
8299,8299,157
8520,8810,156
8610,8520,154
9499,9499,154
4759,4759,154
3600,3600,153
4771,4711,151
4772,4772,151
8110,8220,149
8430,8430,147
4939,4931,147
8121,8110,147
2910,2910,143
4771,8520,142
2120,2120,142
4646,4646,142
7820,4711,141
9312,9312,141
4399,4399,141
5813,5813,141
4120,4221,140
4773,4773,138
3811,3811,138
8423,8411,136
8520,8542,136
8520,8110,136
8720,8610,135
8790,8810,133
8899,8710,132
4931,4939,132
4762,4762,132
4764,4764,132
7820,6419,131
8520,9700,129
4639,4639,128
5630,8520,127
7022,7112,127
7820,8810,127
7311,7311,127
4531,4531,125
2120,7219,125
8010,8110,125
8532,8520,124
8730,8610,123
4711,7820,123
4322,4322,123
5814,5814,123
5630,4711,122
8710,8730,122
7500,7500,122
8790,8520,120
7219,2120,120
4711,5610,120
8520,8559,119
9602,9602,119
8520,8790,118
6419,6619,117
8730,8899,116
1812,1812,116
7010,7010,116
6202,6201,115
8220,8220,115
5621,5610,115
9700,9700,114
5630,5510,113
4724,4724,113
8899,8810,112
4651,4651,112
8411,8423,112
1089,1085,112
6311,6311,112
1039,1085,111
8423,8220,111
1071,1071,111
5229,5229,110
8810,8899,109
8110,8121,109
